,UNC80 (285175)
ACH-000004,-0.209051456273
ACH-000007,-0.15292198558599998
ACH-000009,0.0040979541933
ACH-000011,-0.29647963058800003
ACH-000012,-0.320143618866
ACH-000013,-0.11881832724500001
ACH-000014,-0.299909504866
ACH-000015,-0.11854597758199999
ACH-000017,-0.082541809208
ACH-000018,-0.08197011940389999
ACH-000019,0.0710569676643
ACH-000021,-0.065223750235
ACH-000022,0.06979146961419999
ACH-000025,-0.00144538864138
ACH-000028,-0.265609949088
ACH-000030,-0.131821262163
ACH-000035,-0.06669425858580001
ACH-000036,-0.280407857661
ACH-000037,-0.529354581691
ACH-000039,0.0734305834759
ACH-000040,-0.054801843962599996
ACH-000041,-0.129344028927
ACH-000042,-0.161962848836
ACH-000045,-0.282972864707
ACH-000047,-0.0466985945079
ACH-000052,-0.12424740044299999
ACH-000053,-0.053440132545600004
ACH-000054,-0.223330241974
ACH-000055,-0.190944935085
ACH-000060,-0.421773631782
ACH-000067,-0.120163995431
ACH-000070,0.0586858575638
ACH-000075,-0.17557936764499998
ACH-000078,-0.09868599119619999
ACH-000082,-0.303295188566
ACH-000085,-0.630465899553
ACH-000086,-0.161593297768
ACH-000087,-0.423511673874
ACH-000092,-0.23113122018100002
ACH-000095,-0.37835186516099995
ACH-000097,-0.25047470599300004
ACH-000098,-0.220947065458
ACH-000099,-0.379677309208
ACH-000108,-0.225354493794
ACH-000113,-0.298210774266
ACH-000115,-0.252902724036
ACH-000116,-0.14947291863
ACH-000118,-0.120433358054
ACH-000120,-0.26153087751299997
ACH-000123,-0.127049055852
ACH-000127,-0.14700734221200001
ACH-000128,0.056834735513300004
ACH-000132,-0.0809841422673
ACH-000133,-0.251939405137
ACH-000137,-0.372068077359
ACH-000138,-0.282988961869
ACH-000142,-0.2022384368
ACH-000143,-0.17071675115899998
ACH-000146,0.02590411524
ACH-000148,-0.407234202684
ACH-000150,0.0572731276714
ACH-000152,-0.22492686554900002
ACH-000153,-0.215077326407
ACH-000159,-0.321370991309
ACH-000160,-0.243717180389
ACH-000163,-0.335017659206
ACH-000167,-0.632274191583
ACH-000168,0.0517061648742
ACH-000169,-0.0909190744617
ACH-000178,-0.190406121866
ACH-000182,-0.163305589155
