,SCPEP1 (59342)
ACH-000004,-0.45826545541599994
ACH-000007,-0.421121527148
ACH-000009,-0.537842717132
ACH-000011,-0.356272187761
ACH-000012,-0.516095754931
ACH-000013,-0.300572520751
ACH-000014,-0.274107382746
ACH-000015,-0.406881719893
ACH-000017,-0.255267858871
ACH-000018,-0.434393574325
ACH-000019,-0.741560752145
ACH-000021,-0.279605139313
ACH-000022,-0.24656430018800002
ACH-000025,-0.31435080443
ACH-000028,-0.484027558393
ACH-000030,-0.35156224806999997
ACH-000035,-0.313289165425
ACH-000036,-0.48915168438100004
ACH-000037,-0.34645768704499996
ACH-000039,-0.37417773864299997
ACH-000040,-0.21440486983600002
ACH-000041,-0.480142508191
ACH-000042,-0.582724255221
ACH-000045,-0.14634975839199998
ACH-000047,-0.515189896879
ACH-000052,-0.21894340582199998
ACH-000053,-0.326265020264
ACH-000054,-0.473674551944
ACH-000055,-0.34464088899800005
ACH-000060,-0.312197860758
ACH-000067,-0.0221846615038
ACH-000070,-0.239936098599
ACH-000075,-0.5450769256229999
ACH-000078,-0.388330939687
ACH-000082,-0.35582630477300004
ACH-000085,-0.380918115144
ACH-000086,-0.417423805755
ACH-000087,-0.35388039304700003
ACH-000092,-0.277842957705
ACH-000095,-0.44799580866000005
ACH-000097,-0.34447127582599996
ACH-000098,-0.33789106302
ACH-000099,-0.607023188743
ACH-000108,-0.432409678882
ACH-000113,-0.33513026550700004
ACH-000115,-0.415968617439
ACH-000116,-0.284447691273
ACH-000118,-0.26830522592399997
ACH-000120,-0.6133670285189999
ACH-000123,-0.38221070401699997
ACH-000127,-0.245197869719
ACH-000128,-0.403845634005
ACH-000132,-0.228134645803
ACH-000133,-0.273870666375
ACH-000137,-0.21447334768399998
ACH-000138,-0.540796889422
ACH-000142,-0.285821585807
ACH-000143,-0.346111613179
ACH-000146,-0.276281391048
ACH-000148,-0.29133863082199996
ACH-000150,-0.404904294855
ACH-000152,-0.559830790628
ACH-000153,-0.23820001721
ACH-000159,-0.43317736280599994
ACH-000160,-0.456376358265
ACH-000163,-0.504507570867
ACH-000167,-0.215616797084
ACH-000168,-0.191679104578
ACH-000169,-0.380007139993
ACH-000178,-0.25762771264199996
ACH-000182,-0.193191263198
ACH-000183,-0.428906608471
ACH-000188,-0.283256145093
ACH-000189,-0.285677370033
ACH-000190,-0.310005921008
ACH-000198,-0.286791621454
ACH-000204,-0.374019001385
ACH-000206,-0.209889250645
ACH-000207,-0.5251124451420001
ACH-000211,-0.426798562623
ACH-000215,-0.292241836079
ACH-000221,-0.435740268846
ACH-000222,-0.17331080769499999
ACH-000223,-0.291418129019
ACH-000226,-0.29238028962699997
ACH-000227,-0.660421324505
ACH-000228,-0.240426420341
ACH-000231,-0.386158719689
ACH-000232,-0.35317451374200004
ACH-000233,-0.33659658441
ACH-000234,-0.39370214501999995
ACH-000235,-0.379106140222
ACH-000237,-0.339342855321
