,NAP1L5 (266812)
ACH-000004,-0.128619795411
ACH-000007,-0.0212083227189
ACH-000009,0.08991329804639998
ACH-000011,0.00679522001699
ACH-000012,0.11705972032199999
ACH-000013,0.029823080927300002
ACH-000014,-0.11847068121200001
ACH-000015,-0.129173764236
ACH-000017,-0.026301865244900004
ACH-000018,-0.181616007044
ACH-000019,-0.190200693753
ACH-000021,-0.021548568805400004
ACH-000022,-0.0474320993276
ACH-000025,-0.18946015691100002
ACH-000028,-0.09143366906960002
ACH-000030,-0.0038560244888600002
ACH-000035,0.0619547455316
ACH-000036,-0.0951571005677
ACH-000037,-0.180996596139
ACH-000039,0.0365333804101
ACH-000040,0.0402754770656
ACH-000041,-0.272794659929
ACH-000042,-0.04947398130530001
ACH-000045,0.007615123393819999
ACH-000047,-0.0462194517906
ACH-000052,-0.0321892156571
ACH-000053,-0.0118020770714
ACH-000054,-0.12363513305700001
ACH-000055,-0.0265407643065
ACH-000060,-0.184278051818
ACH-000067,-0.340490224314
ACH-000070,0.0645378636507
ACH-000075,-0.005442546762100001
ACH-000078,-0.00032656824481599995
ACH-000082,0.033539127212799995
ACH-000085,-0.260732709232
ACH-000086,0.0218409545528
ACH-000087,0.0394226348605
ACH-000092,0.030029649537499998
ACH-000095,0.0100477735195
ACH-000097,-0.0448743654473
ACH-000098,-0.103005541557
ACH-000099,-0.22553403475000003
ACH-000108,-0.15978024445
ACH-000113,0.00397306002492
ACH-000115,-0.0805419772183
ACH-000116,-0.180222424752
ACH-000118,-0.12145094741599999
ACH-000120,-0.198857348193
ACH-000123,-0.07025317249730001
ACH-000127,-0.0230080422857
ACH-000128,-0.0025721695660300002
ACH-000132,-0.0845100622793
ACH-000133,-0.005788373466189999
ACH-000137,-0.11703697938799999
ACH-000138,0.0444381475084
ACH-000142,-0.18303031214899998
ACH-000143,-0.153026983355
ACH-000146,-0.0751080581043
ACH-000148,-0.11098273004
ACH-000150,-0.0843704902889
ACH-000152,0.00034695606843
ACH-000153,-0.000712650083848
ACH-000159,-0.129329772653
ACH-000160,0.23423011109499997
ACH-000163,-0.09769221824799999
ACH-000167,0.23715432794500002
ACH-000168,-0.136238289422
ACH-000169,0.0839259719573
ACH-000178,-0.0920589040668
ACH-000182,-0.08384668917179999
ACH-000183,-0.195578928477
