,NPEPPS (9520)
ACH-000004,-0.33796662353600004
ACH-000007,-0.37464222583800005
ACH-000009,-0.554184080789
ACH-000011,-1.00899097465
ACH-000012,-0.578165240054
ACH-000013,-0.65515083983
ACH-000014,-0.6902401489509999
ACH-000015,-0.403926343301
ACH-000017,-0.726914160817
ACH-000018,-0.6023084442159999
ACH-000019,-0.8008151463150001
ACH-000021,-0.39070218848899996
ACH-000022,-1.05119066574
ACH-000025,-0.546308829221
ACH-000028,-0.666730469516
ACH-000030,-0.597637241217
ACH-000035,-0.510997582287
ACH-000036,-0.6818712564280001
ACH-000037,-0.43955508383
ACH-000039,-0.7016870324529999
ACH-000040,-0.475894956076
ACH-000041,-0.726634679874
ACH-000042,-0.686053612337
ACH-000045,-0.426791753745
ACH-000047,-0.605048283838
ACH-000052,-0.935181609904
ACH-000053,-0.8563303808339999
ACH-000054,-0.627560213333
ACH-000055,-0.431362042465
ACH-000060,-0.684382161299
ACH-000067,-0.697202002943
ACH-000070,-0.48471997801399996
ACH-000075,-0.375160226509
ACH-000078,-0.446691841463
ACH-000082,-0.6689261051259999
ACH-000085,-0.747746326597
ACH-000086,-0.7562100239759999
ACH-000087,-0.806680435792
ACH-000092,-0.6861755244519999
ACH-000095,-0.734546475504
ACH-000097,-0.768098618943
ACH-000098,-0.480313309979
ACH-000099,-0.443986668857
ACH-000108,-0.9451766512190001
ACH-000113,-0.547470761076
ACH-000115,-1.25848430976
ACH-000116,-0.597039623007
ACH-000118,-0.6979426640340001
ACH-000120,-0.645713751298
ACH-000123,-0.666129875849
ACH-000127,-0.351261817037
ACH-000128,-0.7254513934450001
ACH-000132,-0.714252894091
ACH-000133,-0.382501590424
ACH-000137,-0.5367133365
ACH-000138,-1.2689382139
ACH-000142,-0.5701880914249999
ACH-000143,-0.787085607923
ACH-000146,-0.812187522896
ACH-000148,-0.644807128113
ACH-000150,-0.6444170224870001
ACH-000152,-0.7365249576690001
ACH-000153,-0.34633578241499996
ACH-000159,-0.471361365495
ACH-000160,-0.760202084146
ACH-000163,-0.7001649487880001
ACH-000167,-0.35496577749700003
ACH-000168,-0.660801847184
ACH-000169,-0.6232280072699999
ACH-000178,-0.6609640188979999
ACH-000182,-0.655074207277
ACH-000183,-0.616211635967
ACH-000188,-0.437082661605
ACH-000189,-0.947039350957
ACH-000190,-0.5746284775230001
ACH-000198,-0.596498944967
ACH-000204,-0.41669754376100004
ACH-000206,-0.839467673235
ACH-000207,-0.602833070872
ACH-000211,-0.9878032113959999
ACH-000215,-0.7728692523270001
ACH-000221,-0.686012568157
ACH-000222,-0.931230550494
ACH-000223,-0.645127974106
ACH-000226,-0.8622765254700001
ACH-000227,-0.915482109457
ACH-000228,-0.808016662323
ACH-000231,-0.722231162069
ACH-000232,-0.567034830331
ACH-000233,-0.675192154646
ACH-000234,-0.632043178538
ACH-000235,-0.756050128833
ACH-000237,-0.586096799532
ACH-000238,-0.475333850581
ACH-000243,-0.70892732502
ACH-000244,-0.45361653253999995
ACH-000246,-0.507880127454
ACH-000248,-0.7017948893889999
ACH-000250,-0.648941928775
ACH-000251,-0.7928874547499999
ACH-000253,-0.7812804743999999
ACH-000255,-0.670681652421
ACH-000256,-0.535186935612
ACH-000257,-0.243980164937
ACH-000258,-0.959968158077
ACH-000259,-0.608753512407
ACH-000260,-0.475609219052
ACH-000261,-0.54085517345
ACH-000262,-0.475734131946
ACH-000263,-0.683904045323
ACH-000264,-0.61021056708
ACH-000265,-0.52461076352
ACH-000266,-0.7986135724600001
ACH-000272,-0.940864900428
ACH-000273,-0.769644063479
ACH-000274,-0.758537365071
