,CTCF (10664)
ACH-000004,-1.5952493442299998
ACH-000007,-1.7152186475100002
ACH-000009,-1.38251909071
ACH-000011,-1.75678951932
ACH-000012,-1.35350090493
ACH-000013,-1.72594097185
ACH-000014,-1.6059301662
ACH-000015,-1.15321618139
ACH-000017,-1.50584745049
ACH-000018,-1.12296121636
ACH-000019,-1.1633273183700001
ACH-000021,-1.02827757861
ACH-000022,-1.52092748125
ACH-000025,-1.59403315005
ACH-000028,-1.26778600231
ACH-000030,-1.54091666622
ACH-000035,-1.19930570805
ACH-000036,-1.52480684234
ACH-000037,-1.64603177866
ACH-000039,-1.14882700821
ACH-000040,-1.6608987480700002
ACH-000041,-1.7009876857
ACH-000042,-1.62481188102
ACH-000045,-1.8169490013499998
ACH-000047,-1.44545328917
ACH-000052,-1.39722084076
ACH-000053,-1.3851947961200002
ACH-000054,-1.38628784303
ACH-000055,-1.5727302241799999
ACH-000060,-1.5660798109799998
ACH-000067,-1.62225290756
ACH-000070,-1.55101891464
ACH-000075,-1.2926735275399999
ACH-000078,-1.5083866807100001
ACH-000082,-1.5632980518700001
ACH-000085,-1.7047037969299998
ACH-000086,-1.40596364639
ACH-000087,-1.74278296158
ACH-000092,-1.3954458702
ACH-000095,-1.6048161526299998
ACH-000097,-1.46792347905
ACH-000098,-1.69296744371
ACH-000099,-1.4420063461200001
ACH-000108,-1.42820234472
ACH-000113,-1.69523125494
ACH-000115,-2.3488238086
ACH-000116,-1.57066041178
ACH-000118,-1.52389808839
ACH-000120,-1.26500714782
ACH-000123,-1.36177910909
ACH-000127,-1.4969096234200001
ACH-000128,-1.6470585444499999
ACH-000132,-1.58717609378
ACH-000133,-1.4782790207499998
ACH-000137,-1.6476886954799999
ACH-000138,-1.3212744898200002
ACH-000142,-1.28097194114
ACH-000143,-1.51235070105
ACH-000146,-1.5024271689700002
ACH-000148,-1.59666236128
ACH-000150,-1.48763261808
ACH-000152,-1.41635652603
ACH-000153,-1.52661684836
ACH-000159,-1.44994169776
ACH-000160,-0.963844871463
ACH-000163,-1.37217070551
ACH-000167,-1.34981783807
ACH-000168,-1.5567663387900001
ACH-000169,-1.64506867092
ACH-000178,-1.35751067092
ACH-000182,-1.57805643971
ACH-000183,-1.5193893975900001
ACH-000188,-1.4942752204299998
ACH-000189,-1.3741643171200002
ACH-000190,-0.9651479030429999
ACH-000198,-1.65260574163
ACH-000204,-1.30633573934
ACH-000206,-1.72114748449
ACH-000207,-1.08617075687
ACH-000211,-1.70621785912
ACH-000215,-1.63161988409
ACH-000221,-1.5845046320899998
ACH-000222,-1.6993164219799999
ACH-000223,-1.3008799774200002
ACH-000226,-1.45194142747
ACH-000227,-1.3882690351
ACH-000228,-1.29570989434
ACH-000231,-1.39944723429
ACH-000232,-1.7009079920299999
ACH-000233,-1.6342945982600001
ACH-000234,-1.499286904
ACH-000235,-1.55745189959
ACH-000237,-1.5047984564599999
ACH-000238,-1.2618637823299999
ACH-000243,-1.46665333669
ACH-000244,-1.49328280104
ACH-000246,-1.52947627289
ACH-000248,-1.72657067634
ACH-000250,-1.64629286192
ACH-000251,-1.38101995287
ACH-000253,-1.8320555033099997
ACH-000255,-1.4778301918
ACH-000256,-1.5609173353999999
ACH-000257,-1.8148817626700002
ACH-000258,-1.84113849245
ACH-000259,-1.5013609262
ACH-000260,-1.42481755368
ACH-000261,-1.62161168345
ACH-000262,-1.39684480301
ACH-000263,-1.5098695919299998
ACH-000264,-1.49764480021
ACH-000265,-1.59552661812
ACH-000266,-1.6766776069
ACH-000272,-1.37217581227
ACH-000273,-1.53639791754
ACH-000274,-1.3426299854799997
ACH-000277,-1.93513598846
ACH-000278,-1.9209488716499998
ACH-000279,-1.31305453679
ACH-000280,-1.25299705282
ACH-000281,-1.87211228135
ACH-000288,-1.2892157154100001
ACH-000291,-1.61975483454
ACH-000293,-1.90516191178
ACH-000294,-1.54475100978
ACH-000295,-1.8000542584
ACH-000296,-1.5260294352700001
ACH-000302,-1.6179310901
ACH-000304,-1.9241171692099996
ACH-000307,-1.41813915766
ACH-000308,-1.5576174086
ACH-000310,-1.23753942085
ACH-000311,-1.7599658550400001
ACH-000312,-1.5212971686599999
ACH-000315,-1.43791982635
ACH-000316,-1.78561913426
