,EPM2AIP1 (9852)
ACH-000004,-0.0632605921095
ACH-000007,-0.00562133769927
ACH-000009,-0.207245707588
ACH-000011,-0.134693863198
ACH-000012,-0.24281988098299997
ACH-000013,-0.103460383228
ACH-000014,-0.109119612677
ACH-000015,-0.164829943024
ACH-000017,-0.300495018959
ACH-000018,-0.101535024223
ACH-000019,0.125630955593
ACH-000021,-0.15204572341199998
ACH-000022,-0.18101645012000003
ACH-000025,-0.300620849601
ACH-000028,-0.06571847597630001
ACH-000030,-0.181553366909
ACH-000035,-0.252938431426
ACH-000036,-0.26721398932100004
ACH-000037,-0.324192337067
ACH-000039,-0.20527528773200002
ACH-000040,-0.276513409961
ACH-000041,-0.10751007055299999
ACH-000042,-0.293121916983
ACH-000045,-0.13098359382400002
ACH-000047,-0.172105965783
ACH-000052,-0.107350968542
ACH-000053,-0.26152684256299996
ACH-000054,-0.17824111639
ACH-000055,-0.151117405794
ACH-000060,-0.356559668109
ACH-000067,-0.252526191994
ACH-000070,-0.338500025083
ACH-000075,-0.268440681854
ACH-000078,-0.36331484595200003
ACH-000082,-0.0672661728529
ACH-000085,-0.278291859933
ACH-000086,-0.218757039375
ACH-000087,0.0195910815925
ACH-000092,-0.317525944931
ACH-000095,-0.26519704794599996
ACH-000097,-0.0706728618061
ACH-000098,-0.357693631567
ACH-000099,-0.23815333482599998
ACH-000108,-0.19093349889199998
ACH-000113,-0.12911158849999999
ACH-000115,-0.293978107436
ACH-000116,-0.233220142166
ACH-000118,-0.10908214031300001
ACH-000120,-0.135330125503
ACH-000123,-0.22649898015
ACH-000127,-0.278138689789
ACH-000128,-0.0738547168123
ACH-000132,-0.242158064245
ACH-000133,-0.24322964089899998
ACH-000137,-0.174874052359
ACH-000138,-0.287707629162
ACH-000142,-0.05103878082769999
ACH-000143,-0.009811859583940001
ACH-000146,-0.33781088631399997
ACH-000148,-0.149301612636
ACH-000150,-0.30360635315400003
ACH-000152,-0.052890147987
ACH-000153,-0.05616558264219999
ACH-000159,-0.302706134703
ACH-000160,-0.12460148016799999
ACH-000163,-0.0665348974364
ACH-000167,-0.18119153486900003
ACH-000168,-0.5073356582199999
