,KARS (3735)
ACH-000004,-2.0679450949500002
ACH-000007,-1.47034116181
ACH-000009,-1.48099310488
ACH-000011,-1.4792362059600002
ACH-000012,-1.71382697834
ACH-000013,-1.57129701128
ACH-000014,-1.6861432451299998
ACH-000015,-1.49940318075
ACH-000017,-1.7639566540599998
ACH-000018,-1.36065793887
ACH-000019,-1.8308236824500002
ACH-000021,-1.7476163866
ACH-000022,-1.61626180957
ACH-000025,-1.7404290030200003
ACH-000028,-1.3438007867100001
ACH-000030,-1.5544523524399998
ACH-000035,-1.3761894539500001
ACH-000036,-1.44215429194
ACH-000037,-1.20945598752
ACH-000039,-1.79305734197
ACH-000040,-1.46157671128
ACH-000041,-1.74166686526
ACH-000042,-1.8062311098800001
ACH-000045,-1.4942182878799999
ACH-000047,-1.7905747138199999
ACH-000052,-1.71389012063
ACH-000053,-1.80370366156
ACH-000054,-1.50014757919
ACH-000055,-1.22205674867
ACH-000060,-1.47760903909
ACH-000067,-1.20124451824
ACH-000070,-1.60989819704
ACH-000075,-1.5065101526299998
ACH-000078,-1.7821439752000001
ACH-000082,-1.7886224150599999
ACH-000085,-1.45542145113
ACH-000086,-1.74612002051
ACH-000087,-1.33522805773
ACH-000092,-1.40459853306
ACH-000095,-1.8234776017299998
ACH-000097,-1.7052006821799999
ACH-000098,-1.6536484094400001
ACH-000099,-1.6642072022299998
ACH-000108,-1.4915734721599998
ACH-000113,-1.46833700137
ACH-000115,-2.4341685867
ACH-000116,-1.43296369065
ACH-000118,-1.4478554874
ACH-000120,-1.5918932796
ACH-000123,-1.49331305637
ACH-000127,-1.6558595646399998
ACH-000128,-1.50909990595
ACH-000132,-1.7312638624799999
ACH-000133,-1.4866529418
ACH-000137,-1.6808782527700001
ACH-000138,-1.59933801204
ACH-000142,-1.41244508451
ACH-000143,-1.6969649178900001
ACH-000146,-1.8939374683400003
ACH-000148,-1.8187950826400003
ACH-000150,-1.47842664979
ACH-000152,-1.5973298806600003
ACH-000153,-2.11856044594
ACH-000159,-1.66723230356
ACH-000160,-1.7716318281299999
ACH-000163,-1.39538694812
ACH-000167,-1.9149510680400001
ACH-000168,-1.6545192739899999
ACH-000169,-1.6248904556400001
ACH-000178,-1.42632720837
ACH-000182,-1.64040451067
ACH-000183,-1.64009811135
ACH-000188,-1.39675711562
ACH-000189,-1.30869568559
ACH-000190,-1.95097954022
ACH-000198,-1.67422148538
ACH-000204,-1.56801320178
ACH-000206,-1.44763703294
ACH-000207,-1.6584855937399998
ACH-000211,-1.64229091851
ACH-000215,-1.6691146110600001
ACH-000221,-1.55101063012
ACH-000222,-1.8711359921000001
ACH-000223,-1.32581651818
ACH-000226,-1.6552752961700001
ACH-000227,-1.59965879357
ACH-000228,-1.58691444965
ACH-000231,-1.46967267493
ACH-000232,-1.7053538875799998
ACH-000233,-1.47758850419
ACH-000234,-1.7121663854799998
ACH-000235,-1.68604812123
ACH-000237,-1.6472479935799997
ACH-000238,-1.62897344375
ACH-000243,-1.4835657047
ACH-000244,-1.26319455206
ACH-000246,-1.5434375476299997
ACH-000248,-1.57395099655
ACH-000250,-1.50714930755
ACH-000251,-1.51100640977
ACH-000253,-1.9165826855900001
ACH-000255,-1.3887492803600001
ACH-000256,-1.5745155915
ACH-000257,-1.82516581997
ACH-000258,-1.05433769212
ACH-000259,-1.5379987320500002
ACH-000260,-1.49045959628
ACH-000261,-1.5470738029
ACH-000262,-1.7210690852200001
ACH-000263,-1.8879843520200001
ACH-000264,-1.7971128800299998
ACH-000265,-1.5761912045
ACH-000266,-1.6953244265
ACH-000272,-1.43114541898
ACH-000273,-1.59732700141
ACH-000274,-1.87936527628
ACH-000277,-1.67247136436
ACH-000278,-1.58566012254
ACH-000279,-1.8327631193
ACH-000280,-1.4540442516999998
ACH-000281,-1.82166301116
ACH-000288,-1.62068338807
ACH-000291,-1.61431403782
ACH-000293,-1.65134607824
ACH-000294,-1.74856291508
ACH-000295,-1.6362113165399998
ACH-000296,-1.6212300149899999
ACH-000302,-1.59798074385
ACH-000304,-1.59032465841
ACH-000307,-1.53348081538
ACH-000308,-1.76280748405
ACH-000310,-2.47126598037
ACH-000311,-1.6213642848700003
ACH-000312,-1.6071635839700003
ACH-000315,-1.3769843177599999
ACH-000316,-1.3597945165099998
ACH-000317,-1.4509592416600001
ACH-000318,-1.44057075579
ACH-000319,-1.67777389159
ACH-000320,-1.8333862678
ACH-000322,-1.78833908004
ACH-000323,-1.6351427245399999
ACH-000324,-1.62390057688
ACH-000329,-1.38511957183
ACH-000330,-1.9670577445099997
ACH-000331,-1.4491395206400002
ACH-000332,-1.66200500206
ACH-000334,-1.72248478215
ACH-000335,-1.28143563214
ACH-000336,-1.5577098042299997
ACH-000337,-1.46882031095
ACH-000339,-1.4145634829799998
ACH-000341,-1.56492793936
ACH-000348,-1.61359910123
ACH-000350,-1.86194603208
ACH-000352,-1.4904103149799999
ACH-000356,-1.43610479243
ACH-000361,-1.1023197299299998
ACH-000362,-1.68301353097
ACH-000363,-1.81793143893
ACH-000364,-1.3802387677
ACH-000365,-1.7146965691100002
ACH-000366,-1.54904684589
ACH-000368,-1.50789514148
ACH-000374,-1.6666875902
ACH-000375,-1.9076994451400002
ACH-000376,-1.55394356586
ACH-000381,-1.6988816871099999
ACH-000383,-1.91329677137
ACH-000387,-1.50162730269
ACH-000389,-1.7154494272299998
ACH-000390,-1.4260978480000002
ACH-000393,-1.49703375352
ACH-000395,-1.691477718
ACH-000397,-1.7951374257599997
ACH-000401,-1.643880999
ACH-000402,-1.85361860102
ACH-000403,-1.71273325288
ACH-000404,-1.5853650422299999
ACH-000406,-1.73278318975
ACH-000407,-1.6201590135
ACH-000408,-1.21494554134
ACH-000410,-1.43727904095
ACH-000411,-1.4327586411000002
ACH-000414,-1.6446044967700002
ACH-000415,-1.52911611501
ACH-000416,-1.40457331925
ACH-000420,-1.59026698739
ACH-000421,-1.54689583079
ACH-000424,-1.6400874843200002
ACH-000425,-1.68275249508
ACH-000426,-1.7625462557
ACH-000427,-1.81393819643
ACH-000433,-1.53466332593
ACH-000436,-1.70488144095
ACH-000444,-1.75408893374
ACH-000445,-1.2562816679200002
ACH-000448,-1.52398109519
ACH-000450,-1.09405775863
ACH-000452,-1.53401398511
ACH-000454,-1.06482668661
ACH-000458,-1.39392312018
ACH-000459,-1.19533533571
ACH-000460,-1.4129411736500002
ACH-000461,-1.61329392242
ACH-000463,-1.59888773687
ACH-000464,-1.54940453165
ACH-000466,-1.42295601558
ACH-000467,-1.49396745056
ACH-000468,-1.76652691024
ACH-000469,-1.54387468493
ACH-000470,-1.7136316841299999
ACH-000471,-1.7778569248299998
ACH-000472,-1.7438886960099997
ACH-000473,-1.4259398167
ACH-000475,-1.7233380692500002
ACH-000476,-1.61336799656
ACH-000477,-1.35444202604
ACH-000480,-1.2853151249099999
ACH-000481,-1.7644520136099997
ACH-000483,-1.7555761140700001
ACH-000484,-1.37630506632
ACH-000485,-1.6051669451
ACH-000486,-1.40775350182
ACH-000487,-1.59715052681
ACH-000488,-1.53510789253
ACH-000490,-1.65713783674
ACH-000491,-1.53047820063
ACH-000495,-1.54554131971
ACH-000496,-1.52331700943
ACH-000499,-1.56032739474
ACH-000500,-2.0387261642700003
ACH-000502,-1.51869164308
ACH-000503,-1.4085422285799998
ACH-000505,-1.63145857067
ACH-000507,-1.5953878011200002
ACH-000510,-1.73009146914
ACH-000511,-1.4497984210600001
ACH-000512,-1.2909174644499999
ACH-000516,-1.5831997163100002
ACH-000517,-1.8380865054400004
ACH-000518,-1.4990769779
ACH-000520,-1.3858803002700002
ACH-000521,-1.3848330969299998
ACH-000522,-1.5373744043900002
ACH-000524,-1.8732859321700002
ACH-000527,-1.5178589742299997
ACH-000528,-1.59771911701
ACH-000537,-1.74616718315
ACH-000541,-1.4065246451299998
ACH-000542,-1.66105003357
ACH-000544,-1.47979612956
ACH-000545,-1.4314074647200001
ACH-000547,-1.33394074748
ACH-000548,-1.43457047324
ACH-000549,-1.42229134681
ACH-000550,-1.4527359021700001
ACH-000552,-1.56762555231
ACH-000556,-1.2608311095
ACH-000557,-2.03361059248
ACH-000570,-1.59878185087
ACH-000571,-1.55025015135
ACH-000573,-1.68564243787
ACH-000576,-1.70026715893
ACH-000580,-1.7751058116299998
ACH-000584,-1.36616590866
ACH-000585,-1.54343865834
ACH-000588,-1.2955752275599999
ACH-000589,-1.30950458604
ACH-000591,-1.4236412528
ACH-000593,-1.58381059283
ACH-000600,-1.6237531039500002
ACH-000601,-1.5915606669799998
ACH-000604,-1.5662093182299999
ACH-000605,-1.8107884845500002
ACH-000606,-1.29003337513
ACH-000608,-1.7698042358500001
ACH-000614,-1.4634775890399998
ACH-000616,-1.37703140177
ACH-000618,-1.4030894908000002
ACH-000619,-1.4183265078799998
ACH-000620,-1.6394630716299998
ACH-000621,-1.8555544095599996
ACH-000622,-1.7494858777400002
ACH-000623,-1.80472387938
ACH-000624,-1.5109525833000002
ACH-000627,-1.7275590887999999
ACH-000630,-1.6112361441999998
ACH-000632,-1.7316221342900002
ACH-000633,-1.48563275465
ACH-000637,-1.4429474694799997
ACH-000638,-1.5476134383200002
ACH-000646,-2.13879778928
ACH-000647,-1.59497438924
ACH-000648,-1.3898550597600001
ACH-000649,-1.5574822752700002
ACH-000651,-1.3190967881
ACH-000652,-1.5559148000799998
ACH-000653,-1.68632797403
ACH-000657,-1.63732881814
ACH-000658,-1.66334719197
ACH-000661,-1.40857141622
ACH-000662,-1.79854088339
ACH-000663,-1.66561390181
ACH-000665,-1.4576201871799999
ACH-000671,-1.57341528054
ACH-000673,-1.4758488406499999
ACH-000676,-1.588130379
ACH-000677,-1.9510002782099998
ACH-000681,-1.71161043396
ACH-000682,-1.45410856787
ACH-000683,-1.75938941979
ACH-000684,-1.66030481648
ACH-000688,-2.10944719146
ACH-000693,-1.63259817903
ACH-000694,-1.50800660704
ACH-000695,-1.8018799900799998
ACH-000696,-1.5689966269100002
ACH-000697,-1.61031224046
ACH-000699,-1.70132528394
ACH-000701,-1.5006835022799998
ACH-000706,-1.3588945607
ACH-000711,-1.57385551693
ACH-000713,-1.5832726701100002
ACH-000714,-1.5034476881999999
ACH-000718,-1.6895067945299997
ACH-000720,-1.4297149786
ACH-000721,-1.4750640055700002
ACH-000724,-1.8210988721799999
ACH-000725,-1.8641217048199998
ACH-000732,-1.31015915071
ACH-000734,-1.7147956363499999
ACH-000735,-1.51355475306
ACH-000736,-1.4458295954299998
ACH-000738,-1.6560256666
ACH-000746,-1.92714630195
ACH-000747,-1.46370973932
ACH-000748,-1.62897568894
ACH-000753,-1.5540071458000002
ACH-000756,-1.5953505204
ACH-000757,-1.85503803995
ACH-000758,-1.56795680449
ACH-000760,-1.5466298922
ACH-000763,-1.7007667472799999
ACH-000764,-1.31062506345
ACH-000765,-1.6145640882199999
ACH-000766,-1.53560624822
ACH-000767,-2.1474622815599997
ACH-000768,-1.50619639701
ACH-000769,-1.53965010132
ACH-000770,-1.67529784374
ACH-000771,-1.20855532318
ACH-000773,-1.67821581769
ACH-000776,-1.58679201919
ACH-000777,-1.71816521912
ACH-000778,-1.8159241929299998
ACH-000781,-1.53977421792
ACH-000782,-1.61007857255
ACH-000783,-2.03568171413
ACH-000784,-1.65051974867
ACH-000785,-1.7521575923
ACH-000787,-1.5300015650499998
ACH-000788,-1.68828487441
ACH-000791,-1.6537377795500001
ACH-000792,-1.53427483891
ACH-000794,-1.4552744423800001
ACH-000796,-1.5259946019100001
ACH-000799,-1.5199448692500002
ACH-000800,-1.1181035118
ACH-000802,-1.71062186488
ACH-000804,-1.6303706182
ACH-000805,-1.6037243296500001
ACH-000809,-1.7597447520099998
ACH-000810,-1.5878846126
ACH-000811,-1.6487281630200001
ACH-000817,-1.4741992646700002
ACH-000819,-1.3673773389500001
ACH-000820,-1.7373534692800001
ACH-000821,-1.7298347680900001
ACH-000822,-2.0685551068400003
ACH-000823,-1.55733468657
ACH-000824,-1.78661270534
ACH-000827,-1.39838374787
ACH-000829,-1.4018109128999998
ACH-000831,-1.53992843716
ACH-000832,-1.25225436439
ACH-000833,-1.44223487644
ACH-000834,-1.3142136286
ACH-000835,-1.5872083934799999
ACH-000836,-1.68242849386
ACH-000837,-1.43024234228
ACH-000838,-1.62487011748
ACH-000839,-1.29168635345
ACH-000840,-1.3855445825100001
ACH-000841,-1.51054395824
ACH-000843,-1.36051931683
ACH-000846,-1.40487812804
ACH-000847,-1.3823396794799998
ACH-000848,-1.6026662520299997
ACH-000849,-1.7598435606
ACH-000851,-1.5736448557700002
ACH-000855,-1.31211769183
ACH-000856,-1.4955441644499998
ACH-000858,-1.36222409806
ACH-000859,-1.46665147545
ACH-000861,-1.48730574794
ACH-000862,-1.45205774486
ACH-000865,-1.3693073465099999
ACH-000866,-1.85546883427
ACH-000867,-1.6247838833300001
ACH-000869,-2.0502898581099998
ACH-000872,-1.3371005061
ACH-000873,-1.51080869218
ACH-000876,-1.7615606163
ACH-000878,-1.45521249074
ACH-000880,-1.33176789275
ACH-000881,-1.5036639755399999
ACH-000882,-1.59942256307
ACH-000884,-1.5172541703
ACH-000885,-1.80045597245
ACH-000887,-1.56162485281
ACH-000888,-1.59634820847
ACH-000889,-1.7514235070299997
ACH-000890,-1.7286011827599999
ACH-000896,-1.5001792650799999
ACH-000898,-1.5193030650100001
ACH-000900,-1.6631427952000002
ACH-000901,-1.56398521315
ACH-000905,-1.54410976834
ACH-000906,-1.7512794503
ACH-000907,-1.51324236146
ACH-000910,-1.81158302753
ACH-000911,-1.62422913808
ACH-000912,-1.36175938993
ACH-000913,-1.7984480523800002
ACH-000915,-1.3607426923100001
ACH-000916,-1.32348266721
ACH-000917,-1.47311952571
ACH-000921,-1.43867835898
ACH-000924,-1.3444829005599999
ACH-000926,-1.9666131930500002
ACH-000928,-1.52717014299
ACH-000929,-1.5736174744100002
ACH-000932,-1.60616618616
ACH-000935,-1.57295399007
ACH-000936,-1.64031968987
ACH-000937,-1.7749881426700003
ACH-000938,-1.58597992916
ACH-000939,-1.40171768951
ACH-000941,-1.488117967
ACH-000943,-1.54874403685
ACH-000946,-1.4419227245100001
ACH-000947,-1.6245259706400001
ACH-000948,-1.38471665221
ACH-000950,-1.6891526587299999
ACH-000953,-1.6659256421000002
ACH-000957,-1.39573580509
