,TPTE (7179)
ACH-000004,-0.23556170578000002
ACH-000007,-0.63938874271
ACH-000009,-0.0564099312811
ACH-000011,-0.550088123816
ACH-000012,-0.47607051508599996
ACH-000013,-0.389704981977
ACH-000014,-0.23572380234499998
ACH-000015,-0.16449524466600002
ACH-000017,-0.0124598140747
ACH-000018,-0.145138654673
ACH-000019,-0.317404407302
ACH-000021,-0.217276778946
ACH-000022,-0.202947020605
ACH-000025,-0.23587110825399998
ACH-000028,-0.231025582023
ACH-000030,-0.246428642718
ACH-000035,-0.281237238464
ACH-000036,-0.44627498995399995
ACH-000037,-0.197141824918
ACH-000039,-0.405757804441
ACH-000040,-0.32069880656800004
ACH-000041,-0.353433178108
ACH-000042,-0.272981730927
ACH-000045,-0.322254877598
ACH-000047,-0.22879861131499998
ACH-000052,-0.332884710805
ACH-000053,-0.183959010189
ACH-000054,-0.39469678067900005
ACH-000055,-0.299867177503
ACH-000060,-0.322033734769
ACH-000067,-0.5722341036509999
ACH-000070,-0.20293924888099998
ACH-000075,-0.23812465211
ACH-000078,-0.13255849952999998
ACH-000082,-0.18314290633299998
ACH-000085,-0.177294396193
ACH-000086,-0.17713738974100002
ACH-000087,-0.245074223889
ACH-000092,-0.13987737263
ACH-000095,-0.433804786078
ACH-000097,-0.09424201207939999
ACH-000098,-0.167599323661
ACH-000099,-0.347768800906
ACH-000108,-0.325270325094
ACH-000113,-0.09705956125229999
ACH-000115,-0.20596677791700002
ACH-000116,-0.16318407669399998
ACH-000118,-0.144960242823
ACH-000120,-0.310696443313
ACH-000123,-0.19180301577300002
ACH-000127,-0.29710837049600003
ACH-000128,-0.313316131793
ACH-000132,-0.279628888322
ACH-000133,-0.042226610855
ACH-000137,-0.308453057107
ACH-000138,-0.08053615501019999
ACH-000142,-0.06815870635219999
ACH-000143,-0.244374828313
ACH-000146,-0.184551705229
ACH-000148,-0.32316817217599997
ACH-000150,-0.108136177607
ACH-000152,-0.385899378174
ACH-000153,-0.23827800776500002
ACH-000159,-0.228824815082
ACH-000160,-0.29801128547600003
ACH-000163,-0.313630376492
ACH-000167,-0.369764279437
ACH-000168,-0.458638594869
ACH-000169,-0.286632454872
ACH-000178,-0.242890744781
ACH-000182,-0.28476969587400003
ACH-000183,-0.290110184594
ACH-000188,-0.32365119149599997
ACH-000189,-0.38866504325400003
ACH-000190,0.0055797018123
ACH-000198,-0.17389883034899997
ACH-000204,0.0165331652939
ACH-000206,-0.0200346074515
ACH-000207,-0.279040969586
ACH-000211,-0.158300082427
ACH-000215,-0.267833283455
ACH-000221,-0.25761633036200005
ACH-000222,-0.210576142168
ACH-000223,-0.227648898785
ACH-000226,-0.25168333968
ACH-000227,-0.273618229587
ACH-000228,-0.323626070638
ACH-000231,-0.161414012155
ACH-000232,-0.43994850423199994
ACH-000233,-0.197647643315
ACH-000234,-0.24634222712200002
ACH-000235,-0.161723336856
ACH-000237,-0.193852485636
ACH-000238,-0.27327263695799997
ACH-000243,-0.285085095751
ACH-000244,-0.234723091583
ACH-000246,-0.270658476063
ACH-000248,-0.131016865944
ACH-000250,-0.188909643347
ACH-000251,-0.189305227179
ACH-000253,-0.2981211766
ACH-000255,-0.36597572912299997
ACH-000256,-0.10816378902999998
ACH-000257,-0.23374687581
ACH-000258,-0.419466362133
ACH-000259,-0.302663614953
ACH-000260,-0.147920800037
ACH-000261,-0.162498473922
ACH-000262,-0.17746024410300001
ACH-000263,-0.069944580582
ACH-000264,-0.424558788096
ACH-000265,-0.33508384914
ACH-000266,-0.32250175530999997
ACH-000272,-0.252028182491
ACH-000273,-0.159519343544
ACH-000274,-0.136872595221
ACH-000277,-0.0167940613803
ACH-000278,-0.292711372339
ACH-000279,-0.290575787883
ACH-000280,-0.323472132455
ACH-000281,-0.16859631689399998
ACH-000288,-0.25359871113000004
ACH-000291,-0.23393330184500002
ACH-000293,-0.16809844396600002
ACH-000294,-0.29297758174000005
ACH-000295,-0.027745084461699997
ACH-000296,-0.29195727488699996
ACH-000302,-0.41564194330399995
ACH-000304,-0.552343186769
ACH-000307,-0.262058875995
ACH-000308,-0.301021436373
ACH-000310,-0.249583603475
ACH-000311,-0.25158118095
ACH-000312,-0.0980347726829
ACH-000315,-0.164457415202
ACH-000316,-0.08777078951339999
ACH-000317,-0.20680945414299998
ACH-000318,-0.171007037779
ACH-000319,-0.108548175678
ACH-000320,-0.48513536663900003
ACH-000322,-0.022574805082900003
ACH-000323,-0.0897234567056
ACH-000324,-0.22729713726
ACH-000329,-0.328357250993
ACH-000330,-0.131857071548
ACH-000331,-0.110800729626
ACH-000332,-0.090324956823
ACH-000334,-0.472078768895
ACH-000335,-0.014060698351
ACH-000336,-0.292368680705
ACH-000337,-0.34104052147
ACH-000339,-0.285975334477
ACH-000341,-0.167073969111
ACH-000348,-0.161603992583
ACH-000350,-0.131983080645
ACH-000352,-0.149927410071
ACH-000356,-0.239503105762
ACH-000361,-0.117000782746
ACH-000362,-0.259970469061
ACH-000363,-0.121530037604
ACH-000364,-0.277666232003
ACH-000365,-0.318182649438
ACH-000366,-0.0698770572997
ACH-000368,-0.244268464615
ACH-000374,-0.22113782233000004
ACH-000375,-0.209846896181
ACH-000376,-0.289962874117
ACH-000381,-0.385101413675
ACH-000383,-0.20748258798900002
ACH-000387,-0.283055783551
ACH-000389,-0.0113530060173
ACH-000390,-0.440293017724
