,SFT2D2 (375035)
ACH-000004,-0.312745506781
ACH-000007,-0.162501622395
ACH-000009,-0.150001828319
ACH-000011,0.0572170237405
ACH-000012,-0.183291233404
ACH-000013,-0.07835342553010001
ACH-000014,-0.13852918887000001
ACH-000015,-0.303106066201
ACH-000017,-0.247497787103
ACH-000018,-0.150694332122
ACH-000019,-0.0167963536394
ACH-000021,-0.158089199395
ACH-000022,-0.231868866545
ACH-000025,0.0643558993092
ACH-000028,0.0149734590928
ACH-000030,-0.054785334638
ACH-000035,0.0817523818333
ACH-000036,-0.25483805642499996
ACH-000037,0.0260453740393
ACH-000039,-0.140603009709
ACH-000040,-0.45020752204899994
ACH-000041,-0.0587367516861
ACH-000042,-0.0602125965216
ACH-000045,-0.0163648371519
ACH-000047,-0.174040712463
ACH-000052,-0.0888106079372
ACH-000053,-0.14986764026799998
ACH-000054,0.023683157300299996
ACH-000055,-0.301719476397
ACH-000060,-0.158365084057
ACH-000067,0.111953275973
ACH-000070,-0.107646969021
ACH-000075,-0.141344027711
ACH-000078,-0.146279080572
ACH-000082,-0.056013581742599995
ACH-000085,1.14755670627
ACH-000086,-0.213009652592
ACH-000087,-0.045205631184400005
ACH-000092,-0.19037345002999997
ACH-000095,-0.18299987121800002
ACH-000097,-0.0936824231522
ACH-000098,-0.246275624985
ACH-000099,-0.0747098343317
ACH-000108,-0.114538344191
ACH-000113,-0.103892599342
ACH-000115,0.08487586383089998
ACH-000116,-0.147644557106
ACH-000118,0.0512424625731
ACH-000120,-0.0489414109753
ACH-000123,-0.0440915628041
ACH-000127,-0.0673475979082
ACH-000128,-0.110500388111
ACH-000132,-0.138878538118
ACH-000133,-0.122841138896
ACH-000137,0.046232208519699995
ACH-000138,-0.10308105692700001
ACH-000142,-0.131898585593
ACH-000143,-0.251391224744
ACH-000146,-0.10586637127599999
ACH-000148,-0.164380504547
ACH-000150,0.0207376730249
ACH-000152,-0.176485811481
ACH-000153,-0.148849994764
ACH-000159,-0.122091669135
ACH-000160,-0.13016758223400002
ACH-000163,-0.259706357821
ACH-000167,-0.185559865137
ACH-000168,0.0245520197808
ACH-000169,-0.020797560424799997
ACH-000178,-0.100607815366
ACH-000182,-0.12317418432800001
ACH-000183,-0.08777300230080001
ACH-000188,-0.14962175641699998
ACH-000189,-0.470322115047
ACH-000190,-0.30656641591899997
