,WASF3 (10810)
ACH-000004,-0.0412034785565
ACH-000007,-0.32763062154
ACH-000009,0.0143710527134
ACH-000011,-0.049066040894
ACH-000012,0.10837867507099999
ACH-000013,-0.111679085354
ACH-000014,-0.0029001383552399998
ACH-000015,-0.257231538965
ACH-000017,-0.018935496724599998
ACH-000018,0.140183417066
ACH-000019,-0.000546347023327
ACH-000021,-0.145311904629
ACH-000022,-0.08739858945969999
ACH-000025,-0.08246623425980001
ACH-000028,-0.16074576278799999
ACH-000030,-0.0859766743754
ACH-000035,-0.157054999778
ACH-000036,-0.16299357683399998
ACH-000037,0.000245849910638
ACH-000039,-0.10699875501700001
ACH-000040,-0.15205590934000002
ACH-000041,-0.07607313202549999
ACH-000042,-0.134304521888
ACH-000045,-0.00519755537034
ACH-000047,-0.0508691967076
ACH-000052,0.10104601886
ACH-000053,-0.122770802819
ACH-000054,-0.175726414412
ACH-000055,-0.23297836694899998
ACH-000060,-0.13234265063
ACH-000067,-0.31461599307
ACH-000070,-0.161219046414
ACH-000075,-0.163251494792
ACH-000078,-0.21781680856999996
ACH-000082,-0.08360996804210001
ACH-000085,0.0337041230544
ACH-000086,-0.209783555789
ACH-000087,0.014676494894900001
ACH-000092,-0.0924797756302
ACH-000095,-0.15877272465
ACH-000097,-0.242063138506
ACH-000098,0.0246632757217
ACH-000099,-0.0510106012153
ACH-000108,-0.0329021614747
ACH-000113,-0.108103654849
ACH-000115,0.0200680871351
ACH-000116,0.0312750561589
ACH-000118,-0.107220019636
ACH-000120,-0.10961938925300001
ACH-000123,-0.0295404606753
ACH-000127,-0.0949758092995
ACH-000128,-0.111087175868
ACH-000132,-0.152685694261
ACH-000133,-0.044140362043199995
ACH-000137,-0.0930962552556
ACH-000138,-0.020987312931
ACH-000142,-0.0342250439263
ACH-000143,-0.13780828986
ACH-000146,-0.055861153957799996
ACH-000148,0.036138065286800004
ACH-000150,0.00122676652339
ACH-000152,-0.23287493849
ACH-000153,0.181246118912
ACH-000159,-0.17453217883900002
ACH-000160,0.111913453878
ACH-000163,-0.006751879022560001
ACH-000167,0.0385713122899
ACH-000168,-0.08802473933530001
ACH-000169,-0.00665758924583
ACH-000178,-0.0864519407542
ACH-000182,-0.23820519421300002
ACH-000183,0.00434084638262
ACH-000188,-0.152450587901
ACH-000189,0.174510173343
ACH-000190,-0.325950636068
ACH-000198,-0.0794493519907
ACH-000204,-0.189500065126
ACH-000206,-0.0325578482618
ACH-000207,-0.20075978175999998
