,QARS (5859)
ACH-000004,-1.3682571612799999
ACH-000007,-1.12847663308
ACH-000009,-1.3264131860500001
ACH-000011,-1.3485887383500001
ACH-000012,-1.5364842248
ACH-000013,-1.37527653542
ACH-000014,-1.28974072831
ACH-000015,-1.5804169230899998
ACH-000017,-1.2663835668999999
ACH-000018,-1.35037992283
ACH-000019,-1.2373080175700002
ACH-000021,-1.3677706335600002
ACH-000022,-1.5643163733599998
ACH-000025,-1.19457644185
ACH-000028,-1.1815952664799998
ACH-000030,-1.33688709194
ACH-000035,-1.24369726831
ACH-000036,-1.05388616174
ACH-000037,-0.8533836585519999
ACH-000039,-1.49982729868
ACH-000040,-1.3258711236
ACH-000041,-1.29922473038
ACH-000042,-1.50280355348
ACH-000045,-1.2700100622900001
ACH-000047,-1.3534190162000002
ACH-000052,-1.5907593503200002
ACH-000053,-1.35253644503
ACH-000054,-1.5539750454799999
ACH-000055,-1.32959551294
ACH-000060,-1.34913821817
ACH-000067,-0.989020926568
ACH-000070,-1.25262614683
ACH-000075,-1.4200686471500001
ACH-000078,-1.38062469635
ACH-000082,-1.2731551481399999
ACH-000085,-1.4273616042200001
ACH-000086,-1.047895203
ACH-000087,-1.19661497251
ACH-000092,-1.40844635159
ACH-000095,-1.5462858628
ACH-000097,-1.34516227655
ACH-000098,-1.34504164782
ACH-000099,-1.31867928002
ACH-000108,-1.5320421898299998
ACH-000113,-1.44534647697
ACH-000115,-1.1592079387899998
ACH-000116,-1.10085996274
ACH-000118,-1.24165000519
ACH-000120,-1.31929705467
ACH-000123,-1.34088747062
ACH-000127,-1.60125767462
ACH-000128,-1.3840219794600002
ACH-000132,-1.32671494612
ACH-000133,-1.1790621956
ACH-000137,-1.3846430432199999
ACH-000138,-1.47863594794
ACH-000142,-1.30645059291
ACH-000143,-1.0927951332999999
ACH-000146,-1.3610812051899999
ACH-000148,-1.27126334235
ACH-000150,-1.19950744532
ACH-000152,-1.17715668503
ACH-000153,-1.0723707877700002
ACH-000159,-1.3780661576100002
ACH-000160,-1.4185177707299998
ACH-000163,-1.20921892995
ACH-000167,-1.23804928634
ACH-000168,-1.42347379974
ACH-000169,-1.39594174896
ACH-000178,-1.27037925696
ACH-000182,-1.36728108289
ACH-000183,-1.5270988232700002
ACH-000188,-1.4992754906099999
ACH-000189,-1.23003089714
ACH-000190,-1.4537167191100002
ACH-000198,-1.32982879992
ACH-000204,-1.37022284747
ACH-000206,-1.26636780516
ACH-000207,-0.8802970871
ACH-000211,-1.50573984537
ACH-000215,-1.36617256914
ACH-000221,-1.74919255307
ACH-000222,-1.37510199841
ACH-000223,-1.12723834746
ACH-000226,-1.23218296722
ACH-000227,-1.8516412854799997
ACH-000228,-1.6065968876499999
ACH-000231,-1.45027547169
ACH-000232,-1.21524520317
ACH-000233,-1.6086697601100002
ACH-000234,-1.5982838869
ACH-000235,-1.44067670254
ACH-000237,-1.31454563635
ACH-000238,-1.28621734687
ACH-000243,-1.2348722493100002
ACH-000244,-1.3037274028899999
ACH-000246,-1.44994185882
ACH-000248,-1.12668838148
ACH-000250,-1.5023226768399998
ACH-000251,-1.5270538286500002
ACH-000253,-1.81063613966
ACH-000255,-1.2817465969700002
ACH-000256,-1.24355918039
ACH-000257,-1.50892387842
ACH-000258,-2.309958477
ACH-000259,-1.3387540415
ACH-000260,-1.61096058391
ACH-000261,-1.4989220534099998
ACH-000262,-1.31181355934
ACH-000263,-1.6403166359499999
ACH-000264,-1.7935910387799998
ACH-000265,-1.59635685569
ACH-000266,-1.33198731105
ACH-000272,-1.3354192602700001
ACH-000273,-1.2693838804000002
ACH-000274,-1.38923351757
ACH-000277,-1.5215977095299997
ACH-000278,-1.2051630069600001
ACH-000279,-1.32756374694
ACH-000280,-1.02190407957
ACH-000281,-1.2334294854799999
ACH-000288,-1.26891029871
ACH-000291,-1.6443645953400001
ACH-000293,-1.5691376112900002
