,STIP1 (10963)
ACH-000004,-0.34665488323700006
ACH-000007,-0.502957854653
ACH-000009,-0.13434762934299999
ACH-000011,0.0957137006016
ACH-000012,-0.42879719351400003
ACH-000013,-0.10210713859500001
ACH-000014,-0.297568191438
ACH-000015,-0.0834494437379
ACH-000017,-0.323259628117
ACH-000018,-0.0554525332338
ACH-000019,-0.30209407077
ACH-000021,-0.253641950391
ACH-000022,-0.235655055744
ACH-000025,-0.11075874922599999
ACH-000028,-0.255732002036
ACH-000030,-0.18536151415999996
ACH-000035,-0.268331956633
ACH-000036,-0.09624267642510001
ACH-000037,-0.412555410791
ACH-000039,-0.268884857035
ACH-000040,0.08311355157150001
ACH-000041,-0.09677094979160002
ACH-000042,-0.321428124632
ACH-000045,-0.0568831049943
ACH-000047,-0.366817809293
ACH-000052,-0.145078223236
ACH-000053,-0.0274203481211
ACH-000054,-0.296813462205
ACH-000055,-0.28301708405000003
ACH-000060,-0.0881709470588
ACH-000067,-0.205463838491
ACH-000070,-0.334989512209
ACH-000075,-0.449105542887
ACH-000078,-0.267782019668
ACH-000082,-0.28788927925
ACH-000085,-0.28779725370700004
ACH-000086,-0.40798008993
ACH-000087,-0.255784675608
ACH-000092,-0.226542649209
ACH-000095,-0.0907845380113
ACH-000097,-0.119759483279
ACH-000098,-0.125131723009
ACH-000099,-0.348798450922
ACH-000108,-0.20787396608699998
ACH-000113,-0.416651498914
ACH-000115,0.0198885713873
ACH-000116,-0.344428051815
ACH-000118,-0.33661949574600003
ACH-000120,-0.162747561666
ACH-000123,-0.380655465159
ACH-000127,0.111883864592
ACH-000128,-0.25006544326499996
ACH-000132,-0.045480963459900006
ACH-000133,-0.51704045939
ACH-000137,-0.0303792896097
ACH-000138,-0.430054824867
ACH-000142,-0.464134622377
ACH-000143,0.226541004454
ACH-000146,-0.251439183748
ACH-000148,-0.19900080402800002
ACH-000150,0.0144908030691
ACH-000152,-0.048000131316400005
ACH-000153,-0.278980017558
ACH-000159,-0.078022367489
ACH-000160,-0.17596669070300003
ACH-000163,-0.482336141781
ACH-000167,-0.581248716473
ACH-000168,-0.191006989636
ACH-000169,-0.22799511801600003
ACH-000178,-0.0462956788303
ACH-000182,-0.287158864297
ACH-000183,-0.468031772936
ACH-000188,-0.453348040155
ACH-000189,-0.485708256694
ACH-000190,-0.31282888169100004
ACH-000198,-0.030915572944999997
ACH-000204,-0.508672945301
ACH-000206,-0.187123234267
ACH-000207,-0.300228113063
ACH-000211,-0.0380941369757
ACH-000215,-0.455098329714
ACH-000221,-0.255429824752
ACH-000222,-0.39634138208499997
ACH-000223,-0.36091499163400004
ACH-000226,0.06742896394730001
ACH-000227,-0.20650117197999998
ACH-000228,-0.35181466886699997
ACH-000231,-0.23483987156999997
ACH-000232,-0.007486398675149999
ACH-000233,-0.058705613520800004
ACH-000234,-0.329955524555
ACH-000235,-0.141937759079
ACH-000237,-0.245551398689
ACH-000238,-0.201499896533
ACH-000243,0.013147125377400001
ACH-000244,0.09669995521680001
ACH-000246,-0.17611950224599998
ACH-000248,-0.19313468842300002
ACH-000250,-0.39420244924500003
ACH-000251,0.12362584775999999
ACH-000253,0.0811750837874
ACH-000255,-0.16960337059500002
ACH-000256,-0.29133941439
ACH-000257,-0.19740316235
ACH-000258,-0.0374382151977
ACH-000259,-0.140177741419
ACH-000260,0.0198394798113
ACH-000261,-0.349089381935
ACH-000262,-0.349315643292
ACH-000263,-0.302748878344
ACH-000264,-0.21310986889000003
ACH-000265,-0.338550786453
ACH-000266,-0.36284820213200003
ACH-000272,-0.10371918877399999
ACH-000273,-0.41789276391400004
ACH-000274,-0.47077763497599995
ACH-000277,0.18977586203
ACH-000278,-0.266297113941
ACH-000279,-0.12825406712600002
ACH-000280,-0.218550106178
ACH-000281,-0.378988037218
ACH-000288,-0.406809131802
ACH-000291,-0.050886118265500005
ACH-000293,-0.333175989036
ACH-000294,-0.349748188935
ACH-000295,-0.466369472011
ACH-000296,-0.09840274411080001
ACH-000302,-0.060164720291099996
ACH-000304,-0.190189444532
ACH-000307,-0.284614545886
ACH-000308,-0.238983031792
ACH-000310,0.0733337890313
ACH-000311,-0.06480081335030001
ACH-000312,-0.0441345925225
ACH-000315,-0.206277396309
ACH-000316,-0.324840066557
ACH-000317,-0.380097782188
ACH-000318,-0.39373547425800004
ACH-000319,-0.0674028673628
ACH-000320,0.174002272172
ACH-000322,-0.549043331047
ACH-000323,-0.22786254898000002
ACH-000324,-0.12188642585300001
ACH-000329,-0.0100484020606
ACH-000330,-0.401396781162
ACH-000331,-0.12970821080199998
ACH-000332,-0.0758474574855
ACH-000334,-0.287213775322
ACH-000335,-0.102938850909
ACH-000336,-0.477554222726
ACH-000337,-0.279678983832
ACH-000339,-0.0703159620862
ACH-000341,-0.104587579179
ACH-000348,-0.188663560945
ACH-000350,-0.301139302177
ACH-000352,-0.44627139688699996
ACH-000356,-0.6852825703200001
ACH-000361,-0.25411983322
ACH-000362,-0.217481000458
ACH-000363,-0.27188096182300003
ACH-000364,-0.5871703639729999
ACH-000365,-0.205766848369
ACH-000366,-0.328311637569
ACH-000368,-0.33096044879700004
ACH-000374,-0.398178983597
ACH-000375,-0.0981285097957
ACH-000376,-0.422896424833
ACH-000381,-0.058318853499400004
ACH-000383,-0.317705035784
ACH-000387,-0.292185062674
ACH-000389,-0.190853099179
ACH-000390,-0.220428515007
ACH-000393,-0.046384043176499995
ACH-000395,-0.173128465256
ACH-000397,-0.205346851846
ACH-000401,0.00834413864736
