,UBC (7316)
ACH-000004,-0.563778095309
ACH-000007,-1.13360806501
ACH-000009,-0.38091827916599996
ACH-000011,-0.957245114196
ACH-000012,-0.711777355244
ACH-000013,-0.58423684122
ACH-000014,-0.939050328848
ACH-000015,-0.683562890168
ACH-000017,-1.50269515644
ACH-000018,-0.6898306007989999
ACH-000019,-1.0514920937799999
ACH-000021,-0.40637434309
ACH-000022,-0.749172406041
ACH-000025,-0.7411196673459999
ACH-000028,-0.8282204954350001
ACH-000030,-0.6530182314
ACH-000035,-0.399005679586
ACH-000036,-1.1327534624200002
ACH-000037,-1.8561816279199999
ACH-000039,-0.663600081771
ACH-000040,-1.12852118883
ACH-000041,-0.563757900757
ACH-000042,-0.651552111683
ACH-000045,-0.8307861779119999
ACH-000047,-0.9647975141320001
ACH-000052,-0.489790293618
ACH-000053,-0.653658460529
ACH-000054,-0.8799818939569999
ACH-000055,-0.9642459755589999
ACH-000060,-0.983470190698
ACH-000067,-0.52753611586
ACH-000070,-0.9563078650660001
ACH-000075,-0.907038580819
ACH-000078,-1.05764512236
ACH-000082,-0.408643737239
ACH-000085,-0.9334316314640001
ACH-000086,-0.5900140263979999
ACH-000087,-0.886017598055
ACH-000092,-0.606714942853
ACH-000095,-0.661346625461
ACH-000097,-1.02156712624
ACH-000098,-0.880828940974
ACH-000099,-0.7773592839710001
ACH-000108,-0.34609019048
ACH-000113,-0.9470478342640001
ACH-000115,-1.4126089686
ACH-000116,-0.983769010219
ACH-000118,-0.7147576305
ACH-000120,-0.744254180756
ACH-000123,-0.816409371376
ACH-000127,-0.6482832324719999
ACH-000128,-0.778385822503
ACH-000132,-0.332506521312
ACH-000133,-0.693701475089
ACH-000137,-0.49003029198299997
ACH-000138,-0.815326933612
ACH-000142,-0.9984127388740001
ACH-000143,-0.6961995870000001
ACH-000146,-0.743381934066
ACH-000148,-1.05653323096
ACH-000150,-0.83879357943
ACH-000152,-0.8953946734139999
ACH-000153,-0.307333115823
ACH-000159,-0.535649444347
ACH-000160,-0.10031137677200001
ACH-000163,-0.792108763532
ACH-000167,-0.563619353748
ACH-000168,-0.658211755788
ACH-000169,-1.04375115615
ACH-000178,-0.959430075651
ACH-000182,-1.05516023716
ACH-000183,-0.23406080114100003
ACH-000188,-1.0140900194700002
ACH-000189,-0.670850184584
ACH-000190,-1.17610793448
ACH-000198,-0.947962108132
ACH-000204,-0.9844489577069999
ACH-000206,-0.49178483893799996
ACH-000207,-1.5789622976100002
ACH-000211,-1.1800994863
ACH-000215,-0.797916616058
ACH-000221,-0.573437911665
ACH-000222,-0.614747547547
ACH-000223,-0.803375179151
ACH-000226,-0.715620772689
ACH-000227,-0.887454431135
ACH-000228,-0.49304919882700005
ACH-000231,-0.725444708423
ACH-000232,-0.7174067895990001
ACH-000233,-1.11274761198
ACH-000234,-1.40859816161
ACH-000235,-0.7780802816429999
ACH-000237,-1.20780369063
ACH-000238,-1.37965400185
ACH-000243,-1.1616476775799998
ACH-000244,-0.581468793514
ACH-000246,-1.03674569766
ACH-000248,-1.01145429825
ACH-000250,-1.07315205153
ACH-000251,-1.7225267690900001
ACH-000253,-0.695598069974
ACH-000255,-0.6608405599180001
ACH-000256,-1.02476781675
ACH-000257,-0.961262048826
ACH-000258,-0.400207292274
ACH-000259,-0.990688736795
ACH-000260,-0.88383903926
ACH-000261,-0.662132910624
ACH-000262,-1.15732874646
ACH-000263,-0.624849404209
ACH-000264,-0.525769333001
ACH-000265,-0.5188105630659999
ACH-000266,-1.0684690484100001
ACH-000272,-0.345674898116
ACH-000273,-0.8584531579520001
ACH-000274,-1.1407496344499999
ACH-000277,-0.948918254733
ACH-000278,-0.7966236219230001
ACH-000279,-0.7909454069499999
ACH-000280,-0.8704941814939999
ACH-000281,-0.620520612201
ACH-000288,-0.682636209609
ACH-000291,-0.685137253714
ACH-000293,-0.848924105665
ACH-000294,0.14628894226199998
ACH-000295,-0.959356714384
ACH-000296,-0.418268465859
ACH-000302,-0.591233567496
ACH-000304,-1.0172366033
ACH-000307,-0.46846497891500005
ACH-000308,-1.04479691604
ACH-000310,-0.475257116137
ACH-000311,-1.01193462627
ACH-000312,-0.507141063035
ACH-000315,-0.7444605030220001
ACH-000316,-0.326790553134
ACH-000317,-0.21427465819400002
ACH-000318,-0.521343322997
ACH-000319,-0.6932208264859999
ACH-000320,-0.47858462134199997
ACH-000322,-1.3820228326
ACH-000323,-0.930187538079
ACH-000324,-1.12132026574
ACH-000329,-0.932017793971
ACH-000330,-1.28463993872
ACH-000331,-0.9694617377920001
ACH-000332,-0.9717826529629999
ACH-000334,-0.779583563617
ACH-000335,-0.988068859414
ACH-000336,-0.675388448843
ACH-000337,-0.8125059480619999
ACH-000339,-0.986239117766
ACH-000341,0.163089444976
ACH-000348,-1.15073492931
ACH-000350,-0.376440446226
ACH-000352,-0.85281474154
ACH-000356,-0.260495068008
ACH-000361,-0.8099141462289999
ACH-000362,-0.443765616598
ACH-000363,-0.530021989001
ACH-000364,-0.731805302675
ACH-000365,-0.468596270502
ACH-000366,-0.515925724264
ACH-000368,-0.745046241152
ACH-000374,-0.5757762903670001
ACH-000375,-0.8693299889980001
ACH-000376,-0.8698168939409999
ACH-000381,-0.7118403533130001
ACH-000383,-1.0952793267899998
ACH-000387,-0.43088857523999996
ACH-000389,-0.971931801214
ACH-000390,-0.802071994134
ACH-000393,-0.426719330074
ACH-000395,-1.13005074669
ACH-000397,-0.995289618041
ACH-000401,-1.2941556156
ACH-000402,-0.512152834536
ACH-000403,-1.2083836317
ACH-000404,-1.0817224758700001
ACH-000406,-0.7344119795899999
