,GINS4 (84296)
ACH-000004,-0.9574712729479999
ACH-000007,-1.00799658863
ACH-000009,-1.0611690064700001
ACH-000011,-1.0178480359200002
ACH-000012,-1.18615691843
ACH-000013,-1.2025425821100002
ACH-000014,-1.28514317445
ACH-000015,-1.10276248952
ACH-000017,-1.3948992467899999
ACH-000018,-0.9430375069670001
ACH-000019,-1.3880308058000002
ACH-000021,-0.9085479781839999
ACH-000022,-1.36053525657
ACH-000025,-0.999301292307
ACH-000028,-1.16890375909
ACH-000030,-1.25452010595
ACH-000035,-1.2681904314299999
ACH-000036,-1.17885893912
ACH-000037,-0.7010086568420001
ACH-000039,-1.40813225389
ACH-000040,-1.3223914992299999
ACH-000041,-1.00928788919
ACH-000042,-0.988661504296
ACH-000045,-1.07464359135
ACH-000047,-1.18233660532
ACH-000052,-1.27201414219
ACH-000053,-1.09593862433
ACH-000054,-1.1593058937
ACH-000055,-0.946597029662
ACH-000060,-1.46556197592
ACH-000067,-0.96821078946
ACH-000070,-1.24423398051
ACH-000075,-1.30236908644
ACH-000078,-1.3006731627600001
ACH-000082,-1.2675678261799999
ACH-000085,-1.21752203561
ACH-000086,-1.28149339801
ACH-000087,-0.8941093516590001
ACH-000092,-1.28165612909
ACH-000095,-1.18257594799
ACH-000097,-0.925021995581
ACH-000098,-1.26804207242
ACH-000099,-1.26536586641
ACH-000108,-1.0319816052600002
ACH-000113,-1.24112440278
ACH-000115,-1.4546410452
ACH-000116,-0.90108385234
ACH-000118,-0.769220582356
ACH-000120,-1.2645134829200002
ACH-000123,-1.07767796848
ACH-000127,-1.2025398356299999
ACH-000128,-1.30526494876
ACH-000132,-1.4793361742200002
ACH-000133,-1.0017048736399998
ACH-000137,-1.57864775714
ACH-000138,-1.00798430926
ACH-000142,-1.0261160248399999
ACH-000143,-0.945715080537
ACH-000146,-1.2374026863299998
ACH-000148,-1.03627198778
ACH-000150,-1.4269858654499998
ACH-000152,-1.1818636369
ACH-000153,-1.1778305659200001
ACH-000159,-1.1995406071999999
ACH-000160,-1.31997342859
ACH-000163,-1.20109463596
ACH-000167,-0.962203422322
ACH-000168,-1.23571716035
ACH-000169,-0.9806293958700001
ACH-000178,-1.0308732558
ACH-000182,-1.2358271778899999
ACH-000183,-0.975667860449
ACH-000188,-1.13025339199
ACH-000189,-1.11644848373
ACH-000190,-1.22259752506
ACH-000198,-1.3923615765700001
ACH-000204,-1.03642408563
ACH-000206,-1.14376854085
ACH-000207,-1.32479397685
ACH-000211,-1.17163062001
ACH-000215,-1.2876211634399999
ACH-000221,-1.38350731014
ACH-000222,-1.01482827703
