,TMEM132D (121256)
ACH-000004,-0.1552679066
ACH-000007,0.0630046931813
ACH-000009,-0.026776109254299997
ACH-000011,0.00195809800999
ACH-000012,-0.176875161656
ACH-000013,-0.0034651806588000002
ACH-000014,-0.000599170432444
ACH-000015,-0.0754227882576
ACH-000017,0.034952878724099995
ACH-000018,-0.08958729379529999
ACH-000019,-0.0609326504724
ACH-000021,-0.191789505887
ACH-000022,-0.0818301435041
ACH-000025,-0.183870380508
ACH-000028,0.197999357947
ACH-000030,0.059664431858900004
ACH-000035,0.12949656276
ACH-000036,0.07961988719169999
ACH-000037,0.07165013027389999
ACH-000039,-0.29507184778
ACH-000040,0.0269075700878
ACH-000041,-0.137481498891
ACH-000042,-0.174653609167
ACH-000045,0.19130425847600002
ACH-000047,0.00291056602878
ACH-000052,-0.34532573372599995
ACH-000053,-0.0978495096159
ACH-000054,-0.055641195974
ACH-000055,-0.048039332945099995
ACH-000060,0.0264058436513
ACH-000067,-0.012178245667299999
ACH-000070,-0.07400932400139999
ACH-000075,-0.028966536688599998
ACH-000078,-0.137519282916
ACH-000082,0.0316008749899
ACH-000085,-0.00865508250485
ACH-000086,-0.20736806426100002
ACH-000087,-0.0818893546858
ACH-000092,0.0667896911866
ACH-000095,0.0142910933525
ACH-000097,0.10846241578600001
ACH-000098,-0.108619737575
ACH-000099,-0.0778903183127
ACH-000108,-0.177167998089
ACH-000113,-0.0435319749702
ACH-000115,-0.125640142808
ACH-000116,-0.0597874199991
ACH-000118,-0.122058207795
ACH-000120,-0.13963283083699998
ACH-000123,0.0875155437018
ACH-000127,0.0101250125095
ACH-000128,-0.080033677153
ACH-000132,0.177314066125
ACH-000133,0.09999436194860001
ACH-000137,-0.164071350694
ACH-000138,-0.07594658214380001
ACH-000142,-0.0703390965787
ACH-000143,-0.0899669493089
ACH-000146,-0.317680464039
ACH-000148,-0.0421196681463
ACH-000150,-0.142159241819
ACH-000152,-0.0674895671115
ACH-000153,0.0850396045693
ACH-000159,-0.02605723318
ACH-000160,-0.284166509314
ACH-000163,0.0496143190244
ACH-000167,-0.680747829974
ACH-000168,0.0312107120672
ACH-000169,-0.0604369083067
ACH-000178,-0.13692588879599998
ACH-000182,0.0690482654389
ACH-000183,0.155994574145
ACH-000188,0.15438572231
ACH-000189,0.0615706792418
ACH-000190,-0.186950563217
ACH-000198,-0.0168155491873
ACH-000204,0.0312652914987
ACH-000206,-0.158361520973
ACH-000207,-0.110821780635
ACH-000211,-0.0301156854454
ACH-000215,-0.111050732693
ACH-000221,-0.15889219295
ACH-000222,-0.107587313872
ACH-000223,0.0232619244557
ACH-000226,-0.0709767961183
ACH-000227,0.0742333722318
ACH-000228,-0.00804859538177
ACH-000231,0.0362565660904
ACH-000232,-0.0927057555025
ACH-000233,-0.0597278863495
ACH-000234,-0.169387052845
ACH-000235,-0.101904803079
ACH-000237,-0.0367773630048
ACH-000238,-0.06306552657480001
ACH-000243,-0.07146685096
ACH-000244,0.16777686530299998
ACH-000246,-0.0625667789767
ACH-000248,-0.08677378988050001
ACH-000250,0.0154189154092
ACH-000251,-0.122756079989
ACH-000253,-0.079193386149
ACH-000255,0.097170267345
ACH-000256,-0.0243774371108
ACH-000257,0.19347927719900002
ACH-000258,-0.377394341717
ACH-000259,-0.0392130738398
ACH-000260,-0.083602249155
ACH-000261,0.0566258458137
ACH-000262,-0.0177973778421
ACH-000263,-0.297892565319
ACH-000264,-0.039742058592500004
ACH-000265,-0.12049815342800001
ACH-000266,-0.15958833433
ACH-000272,0.167983844796
ACH-000273,0.0316694255597
ACH-000274,0.0521009095755
ACH-000277,-0.14281763802300002
ACH-000278,-0.175275531829
ACH-000279,-0.143417573163
ACH-000280,-0.0809362729532
ACH-000281,-0.310682760577
ACH-000288,-0.171951893466
ACH-000291,0.149597434526
ACH-000293,0.143729095495
ACH-000294,-0.179419315991
ACH-000295,-0.147869136842
ACH-000296,-0.051318254284499994
ACH-000302,-0.035350177786400004
ACH-000304,0.21760692246100002
ACH-000307,-0.23263359695900002
ACH-000308,0.0543594648699
ACH-000310,-0.26534538108600003
ACH-000311,-0.328985425047
ACH-000312,-0.174305098484
ACH-000315,-0.0230338987312
ACH-000316,-0.178986392721
ACH-000317,-0.12081620648199999
ACH-000318,-0.199359665329
ACH-000319,0.08886948039989999
ACH-000320,-0.240240396782
ACH-000322,0.255423886948
ACH-000323,0.07744275096719999
ACH-000324,-0.0180236863885
ACH-000329,-0.126646304736
ACH-000330,0.08861916065089999
ACH-000331,-0.00464680419338
ACH-000332,-0.0901980976759
ACH-000334,0.0827747208775
ACH-000335,0.0633680486236
ACH-000336,-0.0157448612567
ACH-000337,-0.13548648276699998
ACH-000339,-0.00491673472399
ACH-000341,-0.281452893635
