,PRPF19 (27339)
ACH-000004,-2.13816653776
ACH-000007,-1.9159892784499999
ACH-000009,-1.9311538604900003
ACH-000011,-2.13327355564
ACH-000012,-1.7806589632900003
ACH-000013,-1.70440587906
ACH-000014,-1.51282663627
ACH-000015,-1.4816776506099998
ACH-000017,-1.69619359245
ACH-000018,-1.62743247466
ACH-000019,-1.7279926729799997
ACH-000021,-1.9446010678599999
ACH-000022,-1.73625180718
ACH-000025,-1.81784453568
ACH-000028,-1.64966619842
ACH-000030,-1.8011566118900002
ACH-000035,-1.71116381071
ACH-000036,-1.9710733629700001
ACH-000037,-2.8020396761299997
ACH-000039,-1.6765207234900001
ACH-000040,-1.7158076394
ACH-000041,-1.73521404787
ACH-000042,-1.7332380519599997
ACH-000045,-1.8830154546400002
ACH-000047,-1.71942587276
ACH-000052,-1.80293494752
ACH-000053,-1.81425512449
ACH-000054,-1.6209434542299999
ACH-000055,-1.68993600158
ACH-000060,-1.8790267252900001
ACH-000067,-1.8357726383099997
ACH-000070,-1.9111795473099997
ACH-000075,-1.89825842854
ACH-000078,-2.0089404394
ACH-000082,-1.81339049613
ACH-000085,-1.5989179827700002
ACH-000086,-1.73123914618
ACH-000087,-1.6452463507700001
ACH-000092,-1.70257410235
ACH-000095,-1.9366479337400002
ACH-000097,-1.87542091651
ACH-000098,-2.11064380944
ACH-000099,-2.18351763963
ACH-000108,-1.7924330101800001
ACH-000113,-1.93225366792
ACH-000115,-2.26452503252
ACH-000116,-1.57858061391
ACH-000118,-1.7318922375099999
ACH-000120,-1.71591316748
ACH-000123,-1.8943312044999998
ACH-000127,-1.6811503576299998
ACH-000128,-1.88107160215
ACH-000132,-1.5429203221
ACH-000133,-1.7207558675999999
ACH-000137,-2.06977791595
ACH-000138,-1.78922667852
ACH-000142,-1.73670493404
ACH-000143,-1.8335525178799998
ACH-000146,-2.0480923608099997
ACH-000148,-1.87468461814
ACH-000150,-1.71115093933
ACH-000152,-1.88245243229
ACH-000153,-1.3656926523800001
ACH-000159,-1.9392815513599997
ACH-000160,-2.13519806197
ACH-000163,-1.77035202835
ACH-000167,-2.61910326433
ACH-000168,-1.4839887536899998
ACH-000169,-1.8487217639099998
ACH-000178,-1.6802883691400001
ACH-000182,-1.8689499199500001
ACH-000183,-1.76429194336
ACH-000188,-1.8647510003299999
ACH-000189,-1.80383123315
ACH-000190,-1.75474282676
ACH-000198,-1.8684168268299999
ACH-000204,-1.92726070065
ACH-000206,-1.76546645545
ACH-000207,-1.7314047298599997
ACH-000211,-1.76413402572
ACH-000215,-2.06082569178
ACH-000221,-1.7720699981799999
ACH-000222,-1.96641823558
ACH-000223,-2.0423334034000002
ACH-000226,-1.5612448779399999
ACH-000227,-2.76301059286
ACH-000228,-1.5664427972200001
ACH-000231,-1.97119559845
ACH-000232,-1.94578215189
ACH-000233,-2.0935590107700004
ACH-000234,-2.2948321247599996
ACH-000235,-1.81751447627
ACH-000237,-2.0887392954700004
ACH-000238,-1.55289801266
ACH-000243,-1.5746484043900002
ACH-000244,-1.8293992332799998
ACH-000246,-1.9131282613799998
ACH-000248,-1.6004336664399998
ACH-000250,-1.87271927372
ACH-000251,-1.13411079502
ACH-000253,-1.9006243188799998
ACH-000255,-1.6015357880899999
ACH-000256,-2.08365993266
ACH-000257,-2.03136512512
ACH-000258,-1.89745389057
ACH-000259,-1.76539469843
ACH-000260,-1.82752840775
ACH-000261,-1.78738713104
ACH-000262,-1.7988533852500002
ACH-000263,-1.9045517300099999
ACH-000264,-1.99229273757
ACH-000265,-1.7779306185599997
ACH-000266,-1.7252556109400001
ACH-000272,-1.8432455754900003
ACH-000273,-2.01133103843
ACH-000274,-2.07876485251
ACH-000277,-2.23289016593
ACH-000278,-1.8636075868000002
ACH-000279,-2.0512317307799997
ACH-000280,-1.4085938809099998
ACH-000281,-1.87180484595
ACH-000288,-1.9231937958200003
ACH-000291,-1.7721270362400001
ACH-000293,-1.9581300665599999
ACH-000294,-2.05349197538
ACH-000295,-1.8914747923599997
ACH-000296,-1.53411706958
ACH-000302,-1.8245328059200001
ACH-000304,-1.5111205995800001
ACH-000307,-1.6825806031000001
ACH-000308,-1.79697227457
ACH-000310,-2.01090316957
ACH-000311,-1.62380419669
ACH-000312,-1.72495307659
ACH-000315,-1.62603675444
ACH-000316,-1.7385920245299997
ACH-000317,-1.4809580761599999
ACH-000318,-1.81011519814
ACH-000319,-1.8364180516599997
ACH-000320,-1.7797186139099996
ACH-000322,-2.06589144945
ACH-000323,-1.8962376197400002
ACH-000324,-1.56930739837
ACH-000329,-2.25019602346
ACH-000330,-1.78254519018
ACH-000331,-1.5684775010699998
ACH-000332,-1.77553168616
ACH-000334,-1.9057472008200003
ACH-000335,-1.5635775126299998
ACH-000336,-1.9521949665400002
ACH-000337,-1.8774125702200002
ACH-000339,-1.9646850030400003
