,AMMECR1L (83607)
ACH-000004,0.109974936188
ACH-000007,0.0319351432638
ACH-000009,-0.113281091891
ACH-000011,-0.0717091651927
ACH-000012,-0.123635074226
ACH-000013,0.00314801337831
ACH-000014,0.0848088621185
ACH-000015,0.127781118659
ACH-000017,-0.070589929235
ACH-000018,0.151171249428
ACH-000019,0.20553065662099998
ACH-000021,0.00021381872796799999
ACH-000022,0.0637662508105
ACH-000025,-0.0195577024494
ACH-000028,0.00521258373383
ACH-000030,0.0563194221036
ACH-000035,0.00598759529412
ACH-000036,0.0162176194672
ACH-000037,-0.10631811591399999
ACH-000039,0.0569807121721
ACH-000040,-0.022473566009200002
ACH-000041,-0.00984163102831
ACH-000042,0.0823222253343
ACH-000045,-0.0559708969144
ACH-000047,-0.10413378057099999
ACH-000052,-0.030004257094400005
ACH-000053,0.0895379617539
ACH-000054,-0.0024177343174099997
ACH-000055,0.032138919769099994
ACH-000060,-0.008399943508729999
ACH-000067,0.11778137914
ACH-000070,0.136198637796
ACH-000075,-0.0136516318134
ACH-000078,0.09486878150049999
ACH-000082,-0.22103543981999996
ACH-000085,-0.227928132751
ACH-000086,0.036678681083100004
ACH-000087,0.47017653544200005
ACH-000092,-0.122942195315
ACH-000095,0.07519129401829999
ACH-000097,-0.00382549439097
ACH-000098,-0.0341743548149
ACH-000099,0.0711708849582
ACH-000108,-0.021436423198
ACH-000113,0.0988177523222
ACH-000115,0.033533222193
ACH-000116,-0.07514585592560001
ACH-000118,-0.0446263651427
ACH-000120,0.130120012289
ACH-000123,0.0742039709577
ACH-000127,0.158805558728
ACH-000128,-0.0275132605226
ACH-000132,0.21207998662900002
ACH-000133,-0.18758510753
ACH-000137,0.015709573296900002
ACH-000138,0.0049163946636099996
ACH-000142,-0.0442155199255
ACH-000143,-0.168612603425
ACH-000146,-0.0764478211349
ACH-000148,0.00166394266164
ACH-000150,0.138637244903
ACH-000152,-0.111659045091
ACH-000153,0.12580850329600002
ACH-000159,-0.100499910262
ACH-000160,0.09541962133960001
ACH-000163,0.0793097834942
ACH-000167,-0.376191351316
ACH-000168,0.0894997103255
ACH-000169,0.052040515702300005
ACH-000178,0.151815561254
ACH-000182,-0.00572953520189
ACH-000183,-0.111651208532
ACH-000188,0.0629975291666
ACH-000189,-0.12898378617
ACH-000190,0.23689026195000001
ACH-000198,0.112972913569
ACH-000204,-0.0229579713571
ACH-000206,0.10138617570800001
ACH-000207,0.0906012705511
ACH-000211,0.0513609312256
ACH-000215,-0.0613200920087
ACH-000221,0.00348018534417
ACH-000222,0.030883341042499998
ACH-000223,-0.0865331659421
ACH-000226,-0.11611008891300001
