,COPRS (55352)
ACH-000004,-0.0127782889686
ACH-000007,-0.144126312568
ACH-000009,-0.241788572227
ACH-000011,-0.418500121565
ACH-000012,-0.227381485302
ACH-000013,-0.263687272189
ACH-000014,-0.272830535832
ACH-000015,-0.220412637259
ACH-000017,-0.0801562566272
ACH-000018,-0.44744187457699997
ACH-000019,-0.456118586652
ACH-000021,-0.19818285849
ACH-000022,-0.130486696716
ACH-000025,-0.11853641562
ACH-000028,-0.237582253536
ACH-000030,-0.22936651826499999
ACH-000035,-0.316212830994
ACH-000036,-0.057378665388
ACH-000037,-0.09619722316689999
ACH-000039,-0.34738208636600004
ACH-000040,-0.21571138490400002
ACH-000041,-0.053341887184100004
ACH-000042,-0.209670215691
ACH-000045,-0.10765970378100001
ACH-000047,-0.133522759102
ACH-000052,-0.0577391789721
ACH-000053,-0.260273862722
ACH-000054,-0.0965962906863
ACH-000055,-0.103082498529
ACH-000060,-0.143903882358
ACH-000067,-0.31247806874899997
ACH-000070,-0.0318890895053
ACH-000075,0.130370230604
ACH-000078,-0.321530960515
ACH-000082,-0.0030819989451799997
ACH-000085,0.049922591660199994
ACH-000086,-0.0567701328224
ACH-000087,0.0438788177635
ACH-000092,0.055125138954
ACH-000095,-0.357653895251
ACH-000097,-0.118656273581
ACH-000098,-0.164962186428
ACH-000099,-0.220382956972
ACH-000108,-0.103525892008
ACH-000113,-0.09598403675660001
ACH-000115,-0.251275756279
ACH-000116,-0.0509477181878
ACH-000118,-0.173802617606
ACH-000120,-0.0469852033645
ACH-000123,-0.159946592472
ACH-000127,0.0843153527269
ACH-000128,-0.359387432933
ACH-000132,-0.165582914788
ACH-000133,0.034388825954300005
ACH-000137,-0.383202290972
ACH-000138,-0.21635781474399998
ACH-000142,-0.266448985037
ACH-000143,-0.178589353004
ACH-000146,-0.227252396413
ACH-000148,-0.22437089979000002
ACH-000150,-0.114128885169
ACH-000152,-0.214497561774
ACH-000153,-0.220817055563
ACH-000159,-0.160128351308
ACH-000160,0.35519028478299997
ACH-000163,-0.226130630449
ACH-000167,0.6995823580789999
ACH-000168,-0.0997615591487
ACH-000169,-0.227275416327
ACH-000178,-0.123628537513
ACH-000182,-0.25206351956
ACH-000183,-0.43366456924099994
ACH-000188,-0.22226741373599998
ACH-000189,-0.0015669411846700003
ACH-000190,0.245898726143
ACH-000198,-0.127980908895
ACH-000204,-0.517069997254
ACH-000206,-0.281772552595
ACH-000207,-0.123840124901
ACH-000211,-0.542950796334
ACH-000215,-0.0888891804873
ACH-000221,-0.09606840780369999
ACH-000222,-0.146430042433
ACH-000223,-0.079764394036
ACH-000226,-0.0529555032423
ACH-000227,-0.300216852042
ACH-000228,-0.347065007178
ACH-000231,-0.10703347518300001
ACH-000232,-0.24561591137400002
ACH-000233,-0.282048983583
ACH-000234,-0.246081925534
ACH-000235,-0.276323204036
ACH-000237,-0.151828766682
ACH-000238,-0.0779818540862
ACH-000243,-0.402067837638
ACH-000244,-0.08348833689349999
ACH-000246,0.0090828729986
ACH-000248,-0.41127965651500004
ACH-000250,-0.15001453989900002
ACH-000251,-0.241317251009
ACH-000253,0.0361080498575
ACH-000255,-0.0471630377432
ACH-000256,-0.208658046371
ACH-000257,0.187171638539
ACH-000258,-0.234089504702
ACH-000259,-0.134617778788
ACH-000260,-0.0935475240522
ACH-000261,-0.113899846788
ACH-000262,-0.201107614724
ACH-000263,-0.166852358451
ACH-000264,-0.262864922635
ACH-000265,-0.320965395171
ACH-000266,-0.12358255705299999
ACH-000272,-0.21824841835499997
ACH-000273,-0.19174549194200002
ACH-000274,-0.405635636355
ACH-000277,-0.159374988552
ACH-000278,-0.145024925878
ACH-000279,-0.0923335315176
ACH-000280,-0.174888170916
ACH-000281,-0.323769671613
ACH-000288,-0.236974782021
ACH-000291,-0.179287198979
ACH-000293,-0.287265547797
ACH-000294,-0.357858572218
ACH-000295,-0.107415629198
ACH-000296,-0.555677890206
ACH-000302,-0.0769068041854
ACH-000304,-0.07338387372119999
ACH-000307,-0.0483330887543
ACH-000308,-0.068033855935
ACH-000310,-0.28867792827
ACH-000311,-0.37754986571800003
ACH-000312,-0.253777013334
ACH-000315,-0.16612543396999999
ACH-000316,-0.544170935755
ACH-000317,-0.0954055231546
ACH-000318,-0.190292060046
ACH-000319,-0.0707017852173
ACH-000320,-0.23681958816999998
ACH-000322,-0.545566179665
ACH-000323,-0.053110824204699994
ACH-000324,-0.243084951444
ACH-000329,-0.046863701173599996
ACH-000330,-0.32290544370200003
ACH-000331,-0.27860984781
ACH-000332,-0.189860912606
ACH-000334,-0.382694424214
ACH-000335,-0.107470827479
ACH-000336,0.09616353185239998
ACH-000337,0.00199126990483
ACH-000339,-0.281484544601
ACH-000341,0.014844172568700001
ACH-000348,0.0707334246927
ACH-000350,-0.209081984941
ACH-000352,-0.04250150266699999
ACH-000356,-0.32589924666299996
ACH-000361,0.044601922102100004
ACH-000362,-0.206517420786
ACH-000363,-0.34442000001100004
ACH-000364,-0.153464122755
ACH-000365,-0.152857756918
ACH-000366,-0.09782686491969998
ACH-000368,-0.053550829776599994
ACH-000374,-0.20992871862
ACH-000375,-0.0261992157405
ACH-000376,-0.17890631326499998
ACH-000381,-0.222945216703
ACH-000383,-0.22796810280699997
ACH-000387,-0.017043416151100003
ACH-000389,-0.135146180549
ACH-000390,-0.343304169206
ACH-000393,-0.161871575972
ACH-000395,0.0323051135213
ACH-000397,0.0116291921539
ACH-000401,-0.18920492802900002
ACH-000402,-0.585751907257
ACH-000403,-0.171548703715
ACH-000404,0.022887474854599996
ACH-000406,-0.16405888036900002
ACH-000407,-0.0558920673322
ACH-000408,-0.23325116377900001
ACH-000410,-0.10357034517100001
ACH-000411,-0.324595111198
ACH-000414,-0.274052612294
ACH-000415,-0.472340086335
ACH-000416,-0.177483093327
ACH-000420,-0.255425643132
ACH-000421,-0.184949120127
ACH-000424,-0.465766285313
ACH-000425,-0.333669120656
ACH-000426,-0.333128901884
ACH-000427,-0.347574840236
ACH-000433,-0.385464709634
ACH-000436,-0.229154956206
ACH-000444,-0.183463455688
ACH-000445,-0.0310943702979
ACH-000448,-0.177454073281
ACH-000450,-0.0573100606795
ACH-000452,-0.170056922865
ACH-000454,-0.0503725956752
ACH-000458,-0.25642683032200003
ACH-000459,-0.293089082992
ACH-000460,-0.167670958628
ACH-000461,-0.122915343637
ACH-000463,-0.2668560084
ACH-000464,-0.0881822013693
ACH-000466,-0.353020779238
ACH-000467,-0.134552609818
ACH-000468,-0.170229778357
ACH-000469,-0.147204469339
ACH-000470,-0.251931180083
ACH-000471,-0.374420862639
ACH-000472,-0.168904967447
ACH-000473,0.010123145680399999
ACH-000475,-0.0747789867145
ACH-000476,-0.23457530213199998
ACH-000477,-0.13733842075799998
ACH-000480,-0.226082323612
ACH-000481,0.0193605259994
ACH-000483,0.04322238912740001
ACH-000484,0.028229310542099997
ACH-000485,-0.25045578905099997
ACH-000486,-0.275245507821
ACH-000487,-0.0442308607263
ACH-000488,-0.23799943023400003
ACH-000490,-0.363047774382
ACH-000491,-0.220992169883
ACH-000495,-0.18163344186500002
ACH-000496,-0.252589070059
ACH-000499,-0.18382024114
ACH-000500,0.0399480665952
ACH-000502,-0.230525904321
ACH-000503,-0.158507795993
ACH-000505,0.000575271052459
ACH-000507,-0.110152494249
ACH-000510,-0.066782750708
ACH-000511,-0.19118041917300002
