,SELK (58515)
ACH-000004,0.056720017371800005
ACH-000007,-0.035637449346
ACH-000009,-0.362382470967
ACH-000011,-0.310152228753
ACH-000012,-0.282536016634
ACH-000013,-0.243584624927
ACH-000014,-0.258518275295
ACH-000015,-0.38288702394699997
ACH-000017,-0.221846199625
ACH-000018,-0.6127831537899999
ACH-000019,-0.42723843711900006
ACH-000021,-0.27689536622600003
ACH-000022,-0.139488786143
ACH-000025,-0.200744794978
ACH-000028,-0.143570968951
ACH-000030,-0.364755577036
ACH-000035,-0.0687619633135
ACH-000036,-0.22124352243200002
ACH-000037,-0.293927858421
ACH-000039,-0.504390413206
ACH-000040,-0.09454878445139998
ACH-000041,-0.214762104994
ACH-000042,-0.347952807003
ACH-000045,-0.412872744252
ACH-000047,-0.227811195683
ACH-000052,0.0197441958745
ACH-000053,-0.277232793709
ACH-000054,-0.26169612574
ACH-000055,-0.23685650230799998
ACH-000060,-0.274884956959
ACH-000067,-0.28287902734299997
ACH-000070,-0.329716477473
ACH-000075,-0.174799684448
ACH-000078,-0.17628394996599997
ACH-000082,-0.125255586329
ACH-000085,0.114860235921
ACH-000086,-0.141701809402
ACH-000087,-0.310312918798
ACH-000092,-0.313046701766
ACH-000095,-0.318311868404
ACH-000097,-0.0840799966396
ACH-000098,-0.348196093795
ACH-000099,-0.340281639536
ACH-000108,-0.269948925061
ACH-000113,-0.08086926333660001
ACH-000115,-0.410188047984
ACH-000116,-0.230454545172
ACH-000118,-0.323500729374
ACH-000120,-0.24016863114700002
ACH-000123,-0.360810149453
ACH-000127,-0.224958721583
ACH-000128,-0.274305579773
ACH-000132,-0.46590525806
ACH-000133,-0.255982521544
ACH-000137,-0.19745970916799999
ACH-000138,-0.187368624656
ACH-000142,-0.22742186122299998
ACH-000143,-0.282298418748
ACH-000146,-0.202911434128
ACH-000148,-0.179653631313
ACH-000150,-0.0824998093431
ACH-000152,-0.199263123794
ACH-000153,-0.11837170520700001
ACH-000159,-0.24285811718199998
ACH-000160,-0.21414039461800002
ACH-000163,-0.39075806692500004
ACH-000167,-0.536358669091
ACH-000168,-0.183535347778
ACH-000169,-0.11892468399900001
ACH-000178,-0.275854589516
ACH-000182,-0.157909089562
ACH-000183,-0.09070871102870001
ACH-000188,-0.216140924175
ACH-000189,0.0104505077691
ACH-000190,-0.154975034308
ACH-000198,-0.268888041287
ACH-000204,-0.869331787896
ACH-000206,-0.252058098556
ACH-000207,-0.522263738496
ACH-000211,-0.254314521805
ACH-000215,-0.297290206513
ACH-000221,-0.128719769604
ACH-000222,-0.293026826134
ACH-000223,-0.37132916924500003
ACH-000226,0.0159656363854
ACH-000227,-0.25102472859700004
ACH-000228,-0.17559256723299999
ACH-000231,-0.0677592403694
ACH-000232,-0.258599461891
ACH-000233,-0.20120185285300002
ACH-000234,-0.379873282936
ACH-000235,-0.169003463117
ACH-000237,-0.36086041797799995
ACH-000238,-0.350998037717
ACH-000243,-0.216952963344
ACH-000244,-0.508110858744
ACH-000246,-0.259839392519
ACH-000248,-0.274635622664
ACH-000250,-0.237603131957
ACH-000251,-0.652155013643
ACH-000253,-0.023876918084
ACH-000255,-0.340461476803
ACH-000256,-0.36680396068800003
ACH-000257,-0.137441093889
ACH-000258,-0.111104584344
ACH-000259,-0.345650757712
ACH-000260,-0.187387936149
ACH-000261,-0.23616560563900002
ACH-000262,-0.196721203393
ACH-000263,-0.464763612239
ACH-000264,-0.244881954182
ACH-000265,-0.445710317509
ACH-000266,-0.388767119106
ACH-000272,-0.354334852417
ACH-000273,-0.207422217052
ACH-000274,-0.31260975963300003
ACH-000277,-0.0935358647633
ACH-000278,-0.19412310688099998
ACH-000279,-0.18911237317200003
ACH-000280,-0.300886570247
ACH-000281,-0.322344673568
ACH-000288,-0.172909970636
ACH-000291,-0.203229877521
ACH-000293,-0.490916171149
ACH-000294,-0.463456126214
ACH-000295,-0.514382895439
ACH-000296,-0.558889273099
ACH-000302,-0.313036651269
ACH-000304,-0.127083473269
ACH-000307,-0.269525515832
ACH-000308,-0.17989831775100001
ACH-000310,-0.421300811423
