,POLM (27434)
ACH-000004,0.0173087327557
ACH-000007,-0.334698671685
ACH-000009,-0.08916866328230001
ACH-000011,-0.307707449315
ACH-000012,-0.145040947678
ACH-000013,-0.061182245482400005
ACH-000014,-0.173243580497
ACH-000015,0.0178833986076
ACH-000017,-0.208907501849
ACH-000018,-0.09652774390489999
ACH-000019,-0.0660350078169
ACH-000021,0.0341419731051
ACH-000022,-0.21578699920000002
ACH-000025,-0.118359374276
ACH-000028,0.0383628468571
ACH-000030,-0.14522287486500002
ACH-000035,-0.308315867462
ACH-000036,-0.317699333772
ACH-000037,0.10323886827999999
ACH-000039,-0.10936879862299999
ACH-000040,-0.14154380308800002
ACH-000041,-0.151426074257
ACH-000042,-0.29192953404800004
ACH-000045,-0.00348832444207
ACH-000047,-0.115604207303
ACH-000052,-0.171767246775
ACH-000053,-0.184441111393
ACH-000054,-0.258415095425
ACH-000055,-0.175279882772
ACH-000060,-0.359053252944
ACH-000067,-0.0643047164429
ACH-000070,-0.007531114424329999
ACH-000075,-0.271085535995
ACH-000078,-0.15517980415899998
ACH-000082,-0.17397974220400003
ACH-000085,-0.00500810351329
ACH-000086,-0.032180837818400004
ACH-000087,-0.00545916103628
ACH-000092,-0.0859679507574
ACH-000095,-0.19582768211399998
ACH-000097,-0.16888821908100002
ACH-000098,-0.258794850992
ACH-000099,-0.107144810216
ACH-000108,-0.246195076203
ACH-000113,-0.170681173578
ACH-000115,-0.0035843043028000003
ACH-000116,-0.18688823020599998
ACH-000118,-0.097927411696
ACH-000120,0.107869685254
ACH-000123,-0.10350081251399999
ACH-000127,-0.0292263592387
ACH-000128,-0.11414171478
ACH-000132,0.13748327426100002
ACH-000133,-0.23362771509
ACH-000137,-0.31598467748799997
ACH-000138,-0.08044477258550001
ACH-000142,-0.23089750655900002
ACH-000143,0.018767113422999998
ACH-000146,-0.05413095115759999
ACH-000148,-0.017404671800400003
ACH-000150,-0.0296908186128
ACH-000152,-0.088018915182
ACH-000153,-0.38988584139700005
ACH-000159,-0.322078700895
ACH-000160,-0.0288857323361
ACH-000163,-0.098888682116
ACH-000167,-0.561827178059
ACH-000168,0.0373175034756
ACH-000169,-0.0727059818965
ACH-000178,-0.045554242950400003
ACH-000182,-0.158656816296
ACH-000183,-0.011496343547600001
ACH-000188,-0.16953846875700002
ACH-000189,-0.062141385164199994
ACH-000190,-0.204119298533
ACH-000198,-0.048125104027300004
ACH-000204,-0.0873341612462
ACH-000206,-0.6423946401699999
ACH-000207,-0.199743851655
ACH-000211,-0.078334630832
ACH-000215,-0.16928374899300003
ACH-000221,0.006886515522959999
ACH-000222,-0.295426138237
ACH-000223,-0.0849455621185
ACH-000226,-0.153621735285
ACH-000227,0.09950242651560001
ACH-000228,-0.160044926249
ACH-000231,-0.132874096124
ACH-000232,-0.207328975124
ACH-000233,-0.0946650536813
ACH-000234,-0.04644790729119999
ACH-000235,-0.210206520557
ACH-000237,-0.220182399865
ACH-000238,-0.287968950394
ACH-000243,-0.308879429333
ACH-000244,-0.167161194458
ACH-000246,-0.139746909432
ACH-000248,-0.025792558218700003
ACH-000250,-0.211209377394
ACH-000251,0.0716762516698
ACH-000253,-0.138174007028
ACH-000255,-0.206391111827
ACH-000256,-0.103982751959
ACH-000257,0.0768603835523
ACH-000258,-0.36204674517700003
ACH-000259,-0.250610424903
ACH-000260,-0.165572549661
ACH-000261,-0.23625442275699998
ACH-000262,-0.205282734259
ACH-000263,-0.0374490310391
ACH-000264,-0.19681846572099998
ACH-000265,0.049761106715599995
ACH-000266,-0.24543637323399997
ACH-000272,-0.101137808339
ACH-000273,-0.242376562233
ACH-000274,0.07675021379869999
ACH-000277,-0.142637452491
ACH-000278,-0.06072288775330001
ACH-000279,-0.0729340586685
ACH-000280,-0.15982908535499998
ACH-000281,-0.22979029514199997
ACH-000288,-0.25941295968600003
ACH-000291,-0.04522710174240001
ACH-000293,-0.328678173828
ACH-000294,-0.11388721076899999
ACH-000295,0.361266425336
ACH-000296,0.12298669798800001
ACH-000302,-0.0525262214498
ACH-000304,-0.455816974463
ACH-000307,-0.251549658222
ACH-000308,-0.256808723625
ACH-000310,-0.279581666994
ACH-000311,-0.328728236542
ACH-000312,-0.12852780278200002
ACH-000315,-0.136886932484
ACH-000316,-0.0825704565641
ACH-000317,0.141484243431
ACH-000318,-0.0631599016804
ACH-000319,-0.19728787950999999
ACH-000320,-0.33674438137900004
ACH-000322,0.110809117047
ACH-000323,-0.0739983410142
ACH-000324,-0.029409235251099997
ACH-000329,-0.254449662291
ACH-000330,-0.119205894287
ACH-000331,-0.357554125602
ACH-000332,-0.334176171899
ACH-000334,-0.215857147429
ACH-000335,-0.221355421717
ACH-000336,-0.04819045944519999
ACH-000337,-0.16732436751399998
ACH-000339,-0.22031912581000002
ACH-000341,-0.179184227928
ACH-000348,-0.137904476134
ACH-000350,-0.0827536085613
ACH-000352,-0.055949799291900006
ACH-000356,-0.27569417891
ACH-000361,-0.0805516087595
ACH-000362,-0.0306275439484
ACH-000363,-0.107396674128
ACH-000364,-0.12541787058
ACH-000365,-0.083587750363
ACH-000366,-0.0279326287376
ACH-000368,-0.147958594975
ACH-000374,-0.247584379971
ACH-000375,-0.0603192886813
ACH-000376,-0.340694737061
ACH-000381,-0.021328389730099998
ACH-000383,-0.257027120398
ACH-000387,-0.134842891339
ACH-000389,-0.036092362501900004
ACH-000390,-0.20984657522
ACH-000393,-0.15083999406600002
ACH-000395,-0.039014508104800005
ACH-000397,-0.24287745439300001
ACH-000401,-0.0319929075026
ACH-000402,-0.47783967339100003
ACH-000403,-0.10556668618899999
ACH-000404,-0.249770588145
ACH-000406,-0.15070808195399998
ACH-000407,-0.0719775554222
ACH-000408,-0.482307206388
ACH-000410,0.0500096974795
ACH-000411,-0.105944410867
ACH-000414,-0.141080686806
ACH-000415,-0.07148461709130001
ACH-000416,-0.225659732193
ACH-000420,-0.381637061514
ACH-000421,-0.19315458944699998
ACH-000424,-0.133618146232
ACH-000425,-0.204704429311
ACH-000426,-0.0579632482149
ACH-000427,-0.177743599197
ACH-000433,-0.0331038591361
ACH-000436,-0.34020996174900003
ACH-000444,-0.030337058437999997
ACH-000445,0.100970760162
ACH-000448,-0.09230097078400001
ACH-000450,-0.00638166912214
ACH-000452,-0.48272507693800004
ACH-000454,-0.20700780765700003
ACH-000458,-0.0858609616647
ACH-000459,0.137137676735
ACH-000460,-0.20249620639899998
ACH-000461,0.0847462647027
ACH-000463,-0.0240189191745
ACH-000464,-0.359055989753
ACH-000466,0.0509096760144
ACH-000467,-0.37150818833899996
ACH-000468,-0.0694975670365
ACH-000469,-0.12073505198699999
ACH-000470,-0.167474147627
ACH-000471,-0.149687733103
ACH-000472,-0.0477762342868
ACH-000473,0.056006387727800006
ACH-000475,-0.108279856443
ACH-000476,-0.304150284719
ACH-000477,-0.159074701052
ACH-000480,-0.122395140861
ACH-000481,-0.2312700496
ACH-000483,0.0890712425908
ACH-000484,-0.08802587626
ACH-000485,0.00798212508362
ACH-000486,-0.0246609092092
ACH-000487,0.00534879324214
ACH-000488,0.0137995314855
ACH-000490,-0.251764739731
ACH-000491,-0.333399175804
ACH-000495,-0.0706959509369
ACH-000496,-0.322356644699
ACH-000499,-0.110274965347
ACH-000500,-0.24188748648000002
ACH-000502,-0.194354313687
ACH-000503,-0.040175763481099996
ACH-000505,0.0236438521391
ACH-000507,-0.132688535486
ACH-000510,-0.0657782944116
ACH-000511,-0.119257909109
ACH-000512,-0.006871382971
ACH-000516,-0.135862594502
ACH-000517,-0.184852953248
ACH-000518,-0.175012420056
ACH-000520,-0.365733908439
ACH-000521,-0.10601438085899999
ACH-000522,-0.24700277266600001
ACH-000524,-0.199685123185
ACH-000527,-0.055218751694
ACH-000528,-0.010893534053899999
ACH-000537,0.029901563091799997
ACH-000541,-0.219943247376
ACH-000542,-0.08862458794510002
ACH-000544,-0.241476877916
ACH-000545,-0.232942224988
ACH-000547,-0.16270424694900001
ACH-000548,-0.0565746376473
ACH-000549,-0.0649862592112
ACH-000550,-0.285807337574
ACH-000552,-0.0209768813593
ACH-000556,-0.226543977931
ACH-000557,-0.138377953396
ACH-000570,-0.19386742811299998
ACH-000571,-0.126681284869
ACH-000573,-0.0660485095863
ACH-000576,-0.34725444564
ACH-000580,-0.0999224691887
ACH-000584,-0.0161426290941
ACH-000585,-0.11920469059800001
ACH-000588,-0.188772311854
ACH-000589,-0.274144013067
ACH-000591,-0.170737812643
ACH-000593,-0.154802515984
ACH-000600,-0.130255345339
ACH-000601,-0.161570157225
ACH-000604,-0.025504292717499998
ACH-000605,-0.0627382233213
ACH-000606,-0.177757812356
ACH-000608,-0.10241527555800001
ACH-000614,-0.34381146665600004
ACH-000616,-0.170650987533
ACH-000618,-0.145412975591
ACH-000619,0.028569192012499998
ACH-000620,-0.0672134911693
ACH-000621,-0.206690655354
ACH-000622,-0.127878012416
ACH-000623,-0.239041951615
ACH-000624,-0.158640003894
ACH-000627,0.0631889613987
ACH-000630,-0.030234828520900002
ACH-000632,-0.24252468912500003
ACH-000633,-0.0687068886628
ACH-000637,-0.148963844948
ACH-000638,-0.204375159817
ACH-000646,-0.0546966589743
ACH-000647,-0.18652037595899998
ACH-000648,0.013086879555899999
ACH-000649,-0.043804945153800005
ACH-000651,-0.183327861935
ACH-000652,-0.0559545076712
ACH-000653,-0.148595774144
ACH-000657,-0.207005979373
ACH-000658,-0.136328242628
ACH-000661,-0.42384855771499996
ACH-000662,0.0821828106277
ACH-000663,-0.12120482344799999
ACH-000665,0.00524300474342
ACH-000671,0.0993179780116
ACH-000673,-0.28037089625100003
ACH-000676,-0.255653331118
