,ATP6V1B2 (526)
ACH-000004,-2.15044944001
ACH-000007,-1.7646519390900002
ACH-000009,-1.6690384064300001
ACH-000011,-1.7912866056599999
ACH-000012,-1.7414244957799998
ACH-000013,-1.34291073599
ACH-000014,-2.11164830473
ACH-000015,-1.9718825580400001
ACH-000017,-0.208810163609
ACH-000018,-1.94987463842
ACH-000019,-1.60507826134
ACH-000021,-1.18077549596
ACH-000022,-1.83350592323
ACH-000025,-1.8922367612
ACH-000028,-1.8328482001400004
ACH-000030,-1.7984952358500002
ACH-000035,-1.7881691098199999
ACH-000036,-1.7623594808200003
ACH-000037,-0.976183248241
ACH-000039,-1.8045340305400002
ACH-000040,-1.66204793614
ACH-000041,-1.38966861255
ACH-000042,-1.07298615124
ACH-000045,-1.81808895708
ACH-000047,-1.90566700563
ACH-000052,-1.6363653810699998
ACH-000053,-1.7853985041599998
ACH-000054,-1.9684270116099998
ACH-000055,-1.8407413088599998
ACH-000060,-1.65289519218
ACH-000067,-1.58518300493
ACH-000070,-2.19739552651
ACH-000075,-1.7013893900900001
ACH-000078,-1.6785458532700002
ACH-000082,-1.49600723081
ACH-000085,-1.8639691703999999
ACH-000086,-1.6036622949700001
ACH-000087,-1.7391939598599997
ACH-000092,-1.9031524407599998
ACH-000095,-1.72418590324
ACH-000097,-0.700858615419
ACH-000098,-1.6744194696999999
ACH-000099,-1.56413293376
ACH-000108,-1.76229805967
ACH-000113,-1.8102729773500001
ACH-000115,-1.73853356612
ACH-000116,-0.6130844996670001
ACH-000118,-1.7244922198599997
ACH-000120,-1.48677695742
ACH-000123,-1.8406385481999998
ACH-000127,-1.94231848349
ACH-000128,-2.0021267407799996
ACH-000132,-1.9524178608099998
ACH-000133,-1.78884929729
ACH-000137,-1.67327830198
ACH-000138,-1.92903650032
ACH-000142,-1.6826283068399999
ACH-000143,-1.8216857576499998
ACH-000146,-2.0195058279099998
ACH-000148,-1.6013980511500001
ACH-000150,-1.86377994263
ACH-000152,-1.38434916535
ACH-000153,-2.20641372772
ACH-000159,-1.8196342100599998
ACH-000160,-1.05802023631
