,RAB23 (51715)
ACH-000004,-0.398669091464
ACH-000007,-0.00956273810192
ACH-000009,-0.216435283541
ACH-000011,-0.203664844305
ACH-000012,-0.430697549811
ACH-000013,-0.31360099969099997
ACH-000014,-0.387171607195
ACH-000015,-0.29132017866500004
ACH-000017,-0.11891757044500001
ACH-000018,-0.25208170514600003
ACH-000019,-0.126041252712
ACH-000021,-0.258240960194
ACH-000022,-0.157392592204
ACH-000025,-0.375571680731
ACH-000028,-0.36360878327699997
ACH-000030,-0.20169145316599998
ACH-000035,-0.292516731041
ACH-000036,-0.43456863785300004
ACH-000037,-0.212782586699
ACH-000039,-0.60176840799
ACH-000040,-0.37267076010399997
ACH-000041,-0.272347442067
ACH-000042,-0.329762011595
ACH-000045,-0.36282954974799997
ACH-000047,-0.27576056662500004
ACH-000052,-0.353136920792
ACH-000053,-0.227346384644
ACH-000054,-0.309115696998
ACH-000055,-0.566984936213
ACH-000060,-0.374464568278
ACH-000067,-0.485649517552
ACH-000070,-0.224018881236
ACH-000075,-0.469832036465
ACH-000078,-0.14984446756300002
ACH-000082,-0.508232519942
ACH-000085,-0.49734206422399996
ACH-000086,-0.493278135464
ACH-000087,-0.303181552542
ACH-000092,-0.269215676995
ACH-000095,-0.376693118223
ACH-000097,-0.280015010096
ACH-000098,-0.28061977041499997
ACH-000099,-0.251691473554
ACH-000108,-0.279591570199
ACH-000113,-0.353217381786
ACH-000115,-0.347603796059
ACH-000116,-0.29600205731199997
ACH-000118,-0.304060635905
ACH-000120,-0.190253728579
ACH-000123,-0.345168587945
ACH-000127,-0.35820683193999997
ACH-000128,-0.202335381975
ACH-000132,-0.23087607149099998
ACH-000133,-0.45444739515
ACH-000137,-0.0533341079345
ACH-000138,-0.265430071063
ACH-000142,-0.381416401623
ACH-000143,-0.10947303061699999
ACH-000146,-0.246890497036
ACH-000148,-0.33348729501400004
ACH-000150,-0.150464633394
ACH-000152,-0.40337356672799995
ACH-000153,-0.554996487896
ACH-000159,-0.260658991068
ACH-000160,-0.307494691871
ACH-000163,-0.31907969
ACH-000167,-0.41030108974299995
ACH-000168,-0.251223665914
ACH-000169,-0.27111086985800004
ACH-000178,-0.133790339367
ACH-000182,-0.37421412179799995
ACH-000183,-0.0913221528839
ACH-000188,-0.20478622361499998
ACH-000189,-0.23284868298
ACH-000190,-0.5365682914959999
ACH-000198,-0.245186262076
ACH-000204,-0.297350642049
ACH-000206,-0.25593841402899997
ACH-000207,-0.15555500569
ACH-000211,-0.311153208226
ACH-000215,-0.20997977480799998
ACH-000221,-0.245563907096
ACH-000222,-0.360204413331
ACH-000223,-0.552035733066
ACH-000226,-0.149491359144
ACH-000227,-0.380681360769
ACH-000228,-0.5700120213090001
ACH-000231,-0.40231675594899996
ACH-000232,-0.272657394728
ACH-000233,-0.368580666883
ACH-000234,-0.29994375627
ACH-000235,-0.24597513225
ACH-000237,-0.164012834307
ACH-000238,-0.363644247103
ACH-000243,-0.21899660336500001
ACH-000244,-0.0843052643462
ACH-000246,-0.34509092284599996
ACH-000248,-0.355759566711
ACH-000250,-0.352662970827
ACH-000251,-0.191406669498
ACH-000253,-0.275336074089
ACH-000255,-0.272829315209
ACH-000256,-0.194478628816
ACH-000257,-0.115453985359
ACH-000258,-0.291672294019
ACH-000259,-0.191438057855
ACH-000260,-0.236965241736
ACH-000261,-0.33981437033399997
ACH-000262,-0.41304614983800003
ACH-000263,-0.271679067223
ACH-000264,-0.260632033156
ACH-000265,-0.467328781594
ACH-000266,-0.251360196902
ACH-000272,-0.351157185025
ACH-000273,-0.17757933051199998
ACH-000274,-0.174993823567
ACH-000277,-0.260096738075
ACH-000278,-0.275833326095
ACH-000279,-0.263623648924
ACH-000280,-0.267956139664
ACH-000281,-0.315461167986
ACH-000288,-0.256179022198
ACH-000291,-0.322348029883
ACH-000293,-0.282062112038
ACH-000294,-0.309064149584
ACH-000295,0.0181755078472
ACH-000296,-0.191685046055
ACH-000302,-0.200221955072
ACH-000304,-0.529998163194
ACH-000307,-0.312276806013
ACH-000308,-0.330405801065
ACH-000310,-0.395913123008
ACH-000311,-0.397905946561
ACH-000312,-0.283174453464
ACH-000315,-0.220228277103
ACH-000316,-0.417290461695
ACH-000317,-0.428800160736
ACH-000318,0.0881554550647
ACH-000319,-0.257066910501
ACH-000320,-0.256171102892
ACH-000322,-0.371601944196
ACH-000323,-0.20045670675799998
ACH-000324,-0.30061216994199996
ACH-000329,-0.140238364581
ACH-000330,-0.277670334578
ACH-000331,-0.358601231349
ACH-000332,-0.327655215866
ACH-000334,-0.228564763278
ACH-000335,-0.388941691341
ACH-000336,-0.301463134258
ACH-000337,-0.156834741552
ACH-000339,-0.18166882222800002
ACH-000341,-0.20830714227400002
ACH-000348,-0.21104801320799998
ACH-000350,-0.21723209532600002
ACH-000352,-0.28312829842500004
ACH-000356,-0.208884700163
ACH-000361,-0.174962689715
ACH-000362,-0.380638664477
ACH-000363,-0.260116230406
ACH-000364,-0.361298651545
ACH-000365,-0.26406567514400003
ACH-000366,-0.39639050928999997
ACH-000368,-0.295771760212
ACH-000374,-0.194174538099
ACH-000375,-0.34936526646399996
ACH-000376,-0.281949800064
ACH-000381,-0.132309125966
ACH-000383,-0.311271877288
ACH-000387,-0.402427201537
ACH-000389,-0.264391661047
ACH-000390,-0.130503769454
ACH-000393,-0.588688579049
ACH-000395,0.126438082359
ACH-000397,-0.217014720839
ACH-000401,0.205396224867
ACH-000402,-0.103248795038
ACH-000403,-0.21580229592300001
ACH-000404,-0.48976070158699997
ACH-000406,-0.21416805964000002
ACH-000407,-0.319751415542
ACH-000408,-0.036373498974300006
ACH-000410,-0.18892686658
ACH-000411,-0.269404692175
ACH-000414,-0.334416787595
ACH-000415,-0.330969795939
ACH-000416,-0.21711482782400002
ACH-000420,-0.168473892495
ACH-000421,-0.2188520532
ACH-000424,-0.35154331868
ACH-000425,-0.254752094149
ACH-000426,-0.45074150837099997
ACH-000427,-0.132958280014
ACH-000433,-0.20849216810600002
ACH-000436,-0.418258636037
ACH-000444,-0.345786476733
ACH-000445,-0.266798685556
ACH-000448,-0.28447165371
ACH-000450,-0.404576427201
ACH-000452,-0.428721581328
ACH-000454,-0.27257390901
ACH-000458,-0.31461924856
ACH-000459,-0.283092536536
ACH-000460,-0.180964631734
ACH-000461,-0.226944914884
ACH-000463,-0.32465224562600004
