,IQCH (64799)
ACH-000004,-0.323032554992
ACH-000007,-0.48340623948600003
ACH-000009,-0.18472946547400002
ACH-000011,-0.242105529095
ACH-000012,-0.377939075603
ACH-000013,-0.285614735724
ACH-000014,-0.155482202496
ACH-000015,-0.245034289111
ACH-000017,-0.15825695984899998
ACH-000018,-0.0972284844162
ACH-000019,-0.044363708776199995
ACH-000021,-0.24225004643000003
ACH-000022,-0.29846784197799997
ACH-000025,-0.282750603723
ACH-000028,-0.283532344047
ACH-000030,-0.275663789157
ACH-000035,-0.0586276219106
ACH-000036,-0.261875117767
ACH-000037,-0.0836685076057
ACH-000039,-0.24087006778700001
ACH-000040,-0.22587972402800002
ACH-000041,-0.167141038441
ACH-000042,-0.190400355262
ACH-000045,-0.258553383169
ACH-000047,-0.00726446077453
ACH-000052,-0.105700372085
ACH-000053,-0.214485115539
ACH-000054,-0.36127900724399997
ACH-000055,-0.257020896482
ACH-000060,-0.118760680878
ACH-000067,-0.159865679867
ACH-000070,-0.109172887322
ACH-000075,-0.239228797909
ACH-000078,-0.367395427805
ACH-000082,-0.0322541713955
ACH-000085,0.0065182334357499995
ACH-000086,-0.290149460213
ACH-000087,0.21423501945099999
ACH-000092,-0.10825090741599999
ACH-000095,-0.154118231691
ACH-000097,-0.194101412578
ACH-000098,-0.201318219303
ACH-000099,-0.34588555168799995
ACH-000108,-0.24092403880399998
ACH-000113,-0.17127660554000002
ACH-000115,-0.179376503946
ACH-000116,-0.451713002779
ACH-000118,-0.215086671305
ACH-000120,-0.352297709605
ACH-000123,-0.40374737866800003
ACH-000127,-0.14571476112600001
ACH-000128,-0.266490606938
ACH-000132,-0.43232799030100005
ACH-000133,-0.184793146305
ACH-000137,-0.256108039323
ACH-000138,-0.272842772749
ACH-000142,-0.249234775598
ACH-000143,-0.157058019278
ACH-000146,-0.210142831898
ACH-000148,-0.217552762938
ACH-000150,-0.29154638844
ACH-000152,-0.0683514909181
ACH-000153,-0.127907565875
ACH-000159,-0.202942543934
ACH-000160,-0.253661748952
ACH-000163,-0.290664037096
ACH-000167,-0.283197550829
ACH-000168,0.0170827621056
