,TPD52L3 (89882)
ACH-000211,-0.0181594270702
ACH-000215,-0.0799209210248
ACH-000221,0.051955832854500006
ACH-000222,0.111068256209
ACH-000223,0.021944009983299997
ACH-000226,0.199167729951
ACH-000227,0.146549723606
ACH-000228,0.283046617382
ACH-000231,0.0404228938469
ACH-000232,0.0274212058108
ACH-000233,-0.0274883161601
ACH-000234,0.14234971612400002
ACH-000235,0.0435262673834
ACH-000237,-0.19267320146699998
ACH-000238,0.0205202570219
ACH-000243,-0.00417703803143
ACH-000244,0.204879411068
ACH-000246,-0.012437254524299998
ACH-000248,0.158546713975
ACH-000250,0.09126676065749999
ACH-000251,0.0666937456955
ACH-000253,-0.21655208620000002
ACH-000255,0.023035246037699998
ACH-000256,0.00030510703630199997
ACH-000257,0.0798974907004
ACH-000258,0.024224244671299997
ACH-000259,0.0769315112964
ACH-000260,0.00400659648349
ACH-000261,0.0540462369525
ACH-000262,0.167293568344
ACH-000263,0.0533310091923
ACH-000264,0.11403465929300001
ACH-000265,-0.16596462355799999
ACH-000266,-0.00906732263102
ACH-000272,-0.0290534225375
ACH-000273,0.0112281212218
ACH-000274,0.0360943468665
ACH-000277,-0.061858977229999994
ACH-000278,-0.09010422406339999
ACH-000279,0.14959852711
ACH-000280,0.17702009590999998
ACH-000281,-0.0296185631617
ACH-000288,0.16981988577100002
ACH-000291,0.0156825685831
ACH-000293,-0.0976355149536
ACH-000294,-0.09157125007519999
ACH-000295,0.11354521932600001
ACH-000296,0.208860822045
ACH-000302,-0.00769518229315
ACH-000304,-0.116633029176
ACH-000307,0.0366540543899
ACH-000308,-0.0567630579664
ACH-000310,0.0462836910882
ACH-000311,-0.0135956583657
ACH-000312,0.0541301647001
ACH-000315,0.29115053752
ACH-000316,0.0650930384406
ACH-000317,0.0786662859891
ACH-000318,0.16256320477800001
ACH-000319,0.153206688358
ACH-000320,0.270722739213
ACH-000322,0.0680609145304
ACH-000323,0.0495761531408
ACH-000324,-0.0483944408848
ACH-000329,0.125077135802
ACH-000330,0.21122862721900001
ACH-000331,0.12222394746500001
ACH-000332,0.151316158602
ACH-000334,0.167451294078
ACH-000335,0.0361544485448
