,PTOV1 (53635)
ACH-000004,-0.247063123906
ACH-000007,-0.296585270195
ACH-000009,-0.44104070074699997
ACH-000011,-0.349133417742
ACH-000012,-0.350699328326
ACH-000013,-0.436755043019
ACH-000014,-0.275117395964
ACH-000015,-0.273470007693
ACH-000017,-0.188448659417
ACH-000018,-0.023410674973400002
ACH-000019,-0.27103835589
ACH-000021,-0.38092914843099995
ACH-000022,-0.19631167539900002
ACH-000025,-0.194525931868
ACH-000028,-0.158708799188
ACH-000030,-0.23992704354400002
ACH-000035,-0.180535896898
ACH-000036,-0.11961913963099999
ACH-000037,-0.18677293739300002
ACH-000039,-0.427139244018
ACH-000040,-0.184484083206
ACH-000041,-0.08624265491560001
ACH-000042,-0.248512095216
ACH-000045,-0.296930748945
ACH-000047,-0.21370533804900002
ACH-000052,-0.107294604813
ACH-000053,-0.252625389286
ACH-000054,-0.189540263204
ACH-000055,-0.383291599543
ACH-000060,-0.33945375429700003
ACH-000067,-0.0473844387366
ACH-000070,0.0280981829652
ACH-000075,-0.37812981218900005
ACH-000078,-0.20741542985599998
ACH-000082,-0.0942054469282
ACH-000085,-0.17146109419799999
ACH-000086,-0.20618346483600003
ACH-000087,0.0522865582272
ACH-000092,-0.181098071329
ACH-000095,-0.142801867707
ACH-000097,-0.37132695215000006
ACH-000098,-0.078006650324
ACH-000099,-0.321365915394
ACH-000108,-0.328548616566
ACH-000113,-0.0857620155322
ACH-000115,-0.0203441081256
ACH-000116,-0.106693547817
ACH-000118,-0.19881663502099997
ACH-000120,-0.139622459602
ACH-000123,-0.23088777600699997
ACH-000127,-0.31949206626
ACH-000128,0.017801337965400003
ACH-000132,-0.373619621756
ACH-000133,-0.271488844641
ACH-000137,-0.267040473482
ACH-000138,-0.217077476856
ACH-000142,-0.203972749273
ACH-000143,-0.22389607584600002
ACH-000146,-0.35361827155599995
ACH-000148,-0.0863766290206
ACH-000150,-0.316576597377
ACH-000152,-0.198239219394
ACH-000153,-0.12213632754100001
ACH-000159,-0.38386331939400004
ACH-000160,-0.025463478875099997
ACH-000163,-0.218855024422
ACH-000167,-0.00127428034796
ACH-000168,-0.0657029054554
ACH-000169,-0.09243326954160001
ACH-000178,-0.24380691991700001
ACH-000182,-0.200333793093
ACH-000183,-0.166678737685
ACH-000188,-0.20947506260499998
ACH-000189,-0.529367783161
ACH-000190,-0.36746104547499997
ACH-000198,-0.316866367867
ACH-000204,-0.208392600957
ACH-000206,-0.39966195292499995
ACH-000207,-0.437073121005
ACH-000211,-0.136332568481
ACH-000215,-0.184135368874
ACH-000221,-0.141044110369
ACH-000222,-0.340955301715
ACH-000223,-0.180755359641
ACH-000226,-0.171445955381
ACH-000227,0.0180535978675
ACH-000228,-0.204509837391
ACH-000231,-0.182028613191
ACH-000232,-0.24071562952300002
ACH-000233,-0.20433806403000002
ACH-000234,-0.186401035652
ACH-000235,-0.31470126257
ACH-000237,-0.140386905969
ACH-000238,-0.0148095489487
ACH-000243,-0.25357873532200004
ACH-000244,-0.133998507776
ACH-000246,-0.128405480275
ACH-000248,-0.131601135929
ACH-000250,-0.20116688021600002
ACH-000251,-0.15641130323
ACH-000253,-0.27677467028299996
ACH-000255,-0.378330370402
ACH-000256,-0.281852205548
ACH-000257,0.09008834195149999
ACH-000258,0.032882569165699996
ACH-000259,-0.271536246694
ACH-000260,-0.37959010169600005
ACH-000261,-0.265675115491
ACH-000262,-0.575012980211
ACH-000263,-0.08751107304570001
ACH-000264,-0.21156033793600001
ACH-000265,-0.23880990359999998
ACH-000266,-0.26448205200999997
ACH-000272,-0.164044911142
ACH-000273,-0.14389934402000001
ACH-000274,-0.192164469428
ACH-000277,-0.28271088807399997
ACH-000278,-0.12218840353
ACH-000279,-0.183468153869
ACH-000280,-0.276338374951
ACH-000281,-0.06553274348209999
ACH-000288,-0.119396187446
ACH-000291,-0.316599154441
ACH-000293,-0.33925671667900004
ACH-000294,-0.40011429703199997
ACH-000295,-0.108777742292
ACH-000296,-0.271663904244
ACH-000302,-0.39127171494699997
ACH-000304,-0.0591762631324
ACH-000307,-0.012269497262799998
ACH-000308,-0.305276836514
ACH-000310,-0.383471793602
ACH-000311,-0.24065974131700002
ACH-000312,-0.178214754801
ACH-000315,-0.37479418062700004
ACH-000316,0.023241657293099998
ACH-000317,-0.20564082241999998
ACH-000318,-0.39802249479099994
ACH-000319,-0.35251915067
ACH-000320,-0.14513996016
ACH-000322,-0.167095935651
ACH-000323,-0.265908551507
ACH-000324,-0.337266885704
ACH-000329,-0.233557296464
ACH-000330,-0.331161313487
ACH-000331,-0.216062921156
ACH-000332,-0.163229212237
ACH-000334,0.04573862977030001
ACH-000335,-0.39042458378300005
ACH-000336,-0.319349415644
ACH-000337,-0.233466152985
ACH-000339,-0.34847497463
ACH-000341,-0.542795108442
ACH-000348,-0.188932981972
ACH-000350,-0.311598795196
ACH-000352,-0.34003289240199996
ACH-000356,-0.39245277715899995
ACH-000361,-0.468431574031
ACH-000362,-0.402726678378
ACH-000363,-0.20226442555799998
ACH-000364,-0.24865874974399998
ACH-000365,-0.087607556214
ACH-000366,-0.293616712515
ACH-000368,-0.19523498000199999
ACH-000374,-0.130473637688
