,CENPN (55839)
ACH-000004,-1.2771181254100001
ACH-000007,-1.5502007056
ACH-000009,-1.3763052522900001
ACH-000011,-1.1684938436499999
ACH-000012,-1.266844055
ACH-000013,-1.30110610029
ACH-000014,-1.51530002706
ACH-000015,-1.3378715711
ACH-000017,-1.44502894934
ACH-000018,-1.2191058147700002
ACH-000019,-1.33371607819
ACH-000021,-1.26328575408
ACH-000022,-1.28302946699
ACH-000025,-1.31118491076
ACH-000028,-1.1542645200700001
ACH-000030,-1.3718996229
ACH-000035,-1.13252800991
ACH-000036,-1.07521826213
ACH-000037,-1.01357951519
ACH-000039,-1.42145919448
ACH-000040,-1.44560059065
ACH-000041,-1.41620706355
ACH-000042,-1.5880112005899998
ACH-000045,-1.4375942936500001
ACH-000047,-1.3519643012600002
ACH-000052,-1.5523960222400002
ACH-000053,-1.3790539554700003
ACH-000054,-1.30939177258
ACH-000055,-1.42173198798
ACH-000060,-1.06030006186
ACH-000067,-1.39611373822
ACH-000070,-1.29843676859
ACH-000075,-1.08100678812
ACH-000078,-1.5780952827599999
ACH-000082,-1.22837294657
ACH-000085,-0.884418725981
ACH-000086,-1.4635047700900001
ACH-000087,-1.295372826
ACH-000092,-1.41480227227
ACH-000095,-1.50447495771
ACH-000097,-1.3495706942399999
ACH-000098,-1.42904506125
ACH-000099,-1.4397278797
ACH-000108,-1.3979850440200001
ACH-000113,-1.3396772953899998
ACH-000115,-1.4700946569799997
ACH-000116,-1.1256806109200002
ACH-000118,-1.22874987427
ACH-000120,-1.3513765574599998
ACH-000123,-1.3042156514399998
ACH-000127,-1.3383818635
ACH-000128,-1.2258611343299999
ACH-000132,-1.93618249367
ACH-000133,-1.2662677256200001
ACH-000137,-1.39875500498
ACH-000138,-1.3995468284099999
ACH-000142,-1.3482320004600001
ACH-000143,-1.18254235441
ACH-000146,-0.953257981712
ACH-000148,-1.1119556432100002
ACH-000150,-0.967958896901
ACH-000152,-1.24892715145
ACH-000153,-1.37606347516
ACH-000159,-1.10637650732
ACH-000160,-0.824807086979
ACH-000163,-1.38164373155
ACH-000167,-0.93660554923
ACH-000168,-1.28412121154
