,RSBN1L (222194)
ACH-000004,0.04290660765959999
ACH-000007,0.22762687653799998
ACH-000009,0.011310900000200002
ACH-000011,0.0242067773095
ACH-000012,-0.0580873024467
ACH-000013,0.111436390724
ACH-000014,-0.08458021190039999
ACH-000015,0.132732946333
ACH-000017,-0.025627212069
ACH-000018,-0.0627784327108
ACH-000019,0.00227550691127
ACH-000021,-0.11848339594799999
ACH-000022,0.236812416457
ACH-000025,0.0405969817902
ACH-000028,0.027351943431700002
ACH-000030,0.0393244017915
ACH-000035,-0.169971502716
ACH-000036,-0.209524797468
ACH-000037,0.0612275199204
ACH-000039,0.0747692625763
ACH-000040,0.0035517840576399996
ACH-000041,0.120239647348
ACH-000042,-0.049553588930199996
ACH-000045,-0.0318278883396
ACH-000047,-0.07017799819889999
ACH-000052,0.39773930679999997
ACH-000053,0.07667221213719999
ACH-000054,-0.0749230623948
ACH-000055,0.362193048284
ACH-000060,-0.0928940719802
ACH-000067,0.12114025365100001
ACH-000070,0.177852241875
ACH-000075,-0.0544692801571
ACH-000078,-0.051270633247
ACH-000082,0.21760407092700002
ACH-000085,-0.11971198942900001
ACH-000086,0.23631496101799998
ACH-000087,0.09497937676269999
ACH-000092,0.054266007677100006
ACH-000095,-0.0716887940803
ACH-000097,0.09806921424000001
ACH-000098,0.0373850601276
ACH-000099,-0.0216970168485
ACH-000108,0.0491302079311
ACH-000113,0.123616969782
ACH-000115,0.108696718506
ACH-000116,0.030988098691599998
ACH-000118,0.137022863059
ACH-000120,0.200242362091
ACH-000123,0.0428018315163
ACH-000127,0.0119142406534
ACH-000128,-0.107759483311
ACH-000132,0.103794216916
ACH-000133,0.104446667896
ACH-000137,-0.131967552807
ACH-000138,0.136077646902
ACH-000142,-0.09510988908029999
ACH-000143,0.12464559199400001
ACH-000146,0.155566648176
ACH-000148,0.067698009661
ACH-000150,-0.011438544440899999
ACH-000152,-0.07212958857719999
ACH-000153,-0.155853379791
ACH-000159,0.0236017929917
ACH-000160,0.0806977589422
ACH-000163,-0.022501911894400005
ACH-000167,0.0985726238701
ACH-000168,-0.546013475774
ACH-000169,0.019490624257200002
ACH-000178,-0.0767572412322
ACH-000182,0.0519079753577
ACH-000183,0.115691665847
ACH-000188,-0.11114250471100001
ACH-000189,0.36392126062799995
ACH-000190,-0.189926539576
ACH-000198,0.12048933338500001
ACH-000204,-0.129699989924
ACH-000206,-0.0145115845062
ACH-000207,-0.198610646182
ACH-000211,0.032420675032700005
ACH-000215,0.00271671429246
ACH-000221,-0.28873968629200003
ACH-000222,-0.14594935308
ACH-000223,-0.026238832908400005
ACH-000226,0.171363254531
ACH-000227,0.187014363442
ACH-000228,0.33497893393399997
ACH-000231,-0.13001169976399998
ACH-000232,-0.0392558989317
ACH-000233,0.262207429431
ACH-000234,0.04954745663380001
ACH-000235,-0.0626241294449
ACH-000237,0.0357690181806
ACH-000238,-0.128489908293
ACH-000243,0.189333156218
ACH-000244,-0.385275653277
ACH-000246,0.0334150211939
ACH-000248,-0.0141101176022
ACH-000250,-0.104824613178
