,ATG2B (55102)
ACH-000004,0.195033005257
ACH-000007,0.185376919975
ACH-000009,0.058210613371900005
ACH-000011,0.07154705343880001
ACH-000012,0.130995646486
ACH-000013,0.254304683625
ACH-000014,0.178824987868
ACH-000015,0.14744623531
ACH-000017,0.104838827805
ACH-000018,0.223800970047
ACH-000019,0.19828986941100002
ACH-000021,0.20401663232500003
ACH-000022,0.173758320262
ACH-000025,0.26785930332400004
ACH-000028,0.162019599942
ACH-000030,0.13135235332999998
ACH-000035,0.19457943154399998
ACH-000036,0.16721195930299998
ACH-000037,0.174664523566
ACH-000039,0.289795684918
ACH-000040,0.07348430771049999
ACH-000041,0.147170691654
ACH-000042,0.0349229039647
ACH-000045,0.171935530851
ACH-000047,0.193653070198
ACH-000052,-0.214647771024
ACH-000053,0.102318813868
ACH-000054,0.09880416888139998
ACH-000055,0.0876796239353
ACH-000060,0.0575206833586
ACH-000067,0.146175146683
ACH-000070,0.0788343721218
ACH-000075,0.12989041967599999
ACH-000078,0.236211811695
ACH-000082,0.0649967569475
ACH-000085,-0.137595287152
ACH-000086,0.21330205998799998
ACH-000087,-0.038952689965
ACH-000092,0.249128252135
ACH-000095,0.10254344461
ACH-000097,0.09529162878789998
ACH-000098,0.0877909100079
ACH-000099,0.163533183675
ACH-000108,0.22267453295000003
ACH-000113,0.08004176517889999
ACH-000115,0.182292917284
ACH-000116,0.120713353761
ACH-000118,0.173069090006
ACH-000120,0.194815234229
ACH-000123,0.109100980262
ACH-000127,-0.0363509007991
ACH-000128,0.0510586832079
ACH-000132,0.09146996987719999
ACH-000133,0.193872957564
ACH-000137,0.160394002845
ACH-000138,0.0843958197357
ACH-000142,0.17257453500999997
ACH-000143,0.0239214600747
ACH-000146,0.22839532419
ACH-000148,0.111733961426
ACH-000150,0.232856003701
ACH-000152,0.152233439833
ACH-000153,0.35163779629
ACH-000159,0.0631130869019
ACH-000160,0.139142874657
ACH-000163,-0.016872600358799998
ACH-000167,0.264257917852
ACH-000168,0.17792500432999997
ACH-000169,0.0114547073187
ACH-000178,0.126382055725
