,EPB42 (2038)
ACH-000004,-0.672384266302
ACH-000007,-0.103522810058
ACH-000009,-0.400198848662
ACH-000011,-0.290083838765
ACH-000012,-0.33171686812199996
ACH-000013,-0.308740763776
ACH-000014,-0.251324475086
ACH-000015,-0.32579281268800003
ACH-000017,-0.29011140362300003
ACH-000018,0.0280189685654
ACH-000019,0.0977373319048
ACH-000021,-0.09182894625469999
ACH-000022,-0.067520996092
ACH-000025,-0.44635941528399997
ACH-000028,-0.09615968688760002
ACH-000030,-0.269474814101
ACH-000035,-0.252560006512
ACH-000036,0.0337299796213
ACH-000037,-0.349844288279
ACH-000039,-0.143012842607
ACH-000040,-0.23011405515900002
ACH-000041,-0.264234610951
ACH-000042,-0.27927874009500003
ACH-000045,-0.19696772392200002
ACH-000047,-0.24650952997699999
ACH-000052,-0.272809963047
ACH-000053,-0.225917275465
ACH-000054,-0.132544246952
ACH-000055,-0.107113327129
ACH-000060,-0.0830012794845
ACH-000067,-0.24411910617899998
ACH-000070,-0.24250589184799998
ACH-000075,-0.389523757123
ACH-000078,-0.36366679350599995
ACH-000082,-0.261081178933
ACH-000085,-0.194657192244
ACH-000086,-0.264865183343
ACH-000087,0.131512417151
ACH-000092,-0.250781932806
ACH-000095,-0.19774187200999999
ACH-000097,-0.264204599365
ACH-000098,-0.07639535066210001
ACH-000099,-0.34990259526
ACH-000108,-0.26724657929400003
ACH-000113,-0.094008347357
ACH-000115,-0.165659905299
ACH-000116,-0.340861571723
ACH-000118,-0.155764246859
ACH-000120,0.0381519432304
ACH-000123,-0.331592158235
ACH-000127,-0.107170990393
ACH-000128,-0.21943014926999999
ACH-000132,-0.328723241233
ACH-000133,-0.172616133842
ACH-000137,-0.29891479753899997
ACH-000138,-0.11374561792099999
ACH-000142,-0.10026536027899999
ACH-000143,-0.383719383438
ACH-000146,-0.17548222993
ACH-000148,-0.18897809830499998
ACH-000150,-0.104378538257
ACH-000152,-0.057597395251
ACH-000153,-0.143494180995
ACH-000159,-0.13235712427100002
ACH-000160,-0.303823400162
ACH-000163,-0.115270926628
ACH-000167,0.16468276949000002
ACH-000168,-0.299037740896
ACH-000169,-0.261363048338
ACH-000178,-0.22045919223299998
ACH-000182,-0.330131893476
ACH-000183,-0.546047520163
ACH-000188,-0.247863451617
ACH-000189,-0.05774869950130001
ACH-000190,-0.237551579484
ACH-000198,-0.33942350679600003
ACH-000204,-0.304717761848
ACH-000206,-0.259519265006
ACH-000207,-0.5148285950729999
ACH-000211,-0.255042913738
ACH-000215,-0.117094776865
ACH-000221,-0.390009327923
ACH-000222,-0.30536056582
ACH-000223,-0.18697144330600002
ACH-000226,-0.296011497144
ACH-000227,-0.204680068869
ACH-000228,-0.189860405402
ACH-000231,-0.331949155063
ACH-000232,-0.149182057346
ACH-000233,-0.41202453770099995
ACH-000234,-0.180771731785
ACH-000235,-0.272804741941
ACH-000237,-0.307209040982
ACH-000238,-0.285319569283
ACH-000243,-0.221944011722
ACH-000244,-0.32414264327799996
ACH-000246,-0.0731943588708
ACH-000248,-0.118950333
ACH-000250,-0.335107352933
ACH-000251,-0.18498982327100003
ACH-000253,-0.19110244192899997
ACH-000255,-0.316427160536
ACH-000256,-0.08710198221729999
ACH-000257,-0.30609908112399997
ACH-000258,-0.5438497416070001
ACH-000259,-0.22944201471099998
ACH-000260,-0.329541956187
ACH-000261,-0.17360327899099998
ACH-000262,-0.114905949267
ACH-000263,0.120604437808
ACH-000264,-0.315787560688
ACH-000265,-0.451523340364
ACH-000266,-0.28280859618299997
ACH-000272,-0.225753307105
ACH-000273,-0.07704383326639999
ACH-000274,-0.34824167288400004
ACH-000277,-0.208185023587
ACH-000278,-0.180250525125
ACH-000279,-0.13055712062799998
ACH-000280,-0.21547525688799998
ACH-000281,-0.0863673944411
ACH-000288,-0.18183591799100002
ACH-000291,-0.263981533743
ACH-000293,-0.21041362716899997
