,FPGS (2356)
ACH-000004,-1.11913597359
ACH-000007,-0.341493207563
ACH-000009,-0.357923410837
ACH-000011,-0.8479486760770001
ACH-000012,-0.282788019791
ACH-000013,-0.242218571896
ACH-000014,-0.724808106637
ACH-000015,-0.449419258513
ACH-000017,-0.864802110973
ACH-000018,-0.456799254436
ACH-000019,-0.661305461256
ACH-000021,-0.393691941827
ACH-000022,-0.35993197182899994
ACH-000025,-0.564288612297
ACH-000028,-0.542351323124
ACH-000030,-0.8505202644840001
ACH-000035,-0.447051481729
ACH-000036,-0.347969933547
ACH-000037,-0.210982778573
ACH-000039,-0.322809639668
ACH-000040,-0.380315761443
ACH-000041,-0.556776925607
ACH-000042,-0.355882934799
ACH-000045,-0.451517036856
ACH-000047,-0.707859406882
ACH-000052,-0.10047604764599999
ACH-000053,-0.770211960234
ACH-000054,-0.159173001911
ACH-000055,-0.313407724427
ACH-000060,-0.373464348912
ACH-000067,-0.56542178541
ACH-000070,-0.568498320931
ACH-000075,-0.279948458194
ACH-000078,-0.523152655942
ACH-000082,-0.47969013485699996
ACH-000085,-0.25935714938
ACH-000086,-0.36594757841
ACH-000087,-0.24717727399199999
ACH-000092,-0.304281552267
ACH-000095,-0.38730421613300003
ACH-000097,-0.7865393288770001
ACH-000098,-0.39599232511200005
ACH-000099,-0.41484198374
ACH-000108,-1.0659127722
ACH-000113,-0.13932173365999997
ACH-000115,-0.326960882023
ACH-000116,-0.380221339917
ACH-000118,-0.060190747075300005
ACH-000120,-0.0184088563612
ACH-000123,-0.182313157962
ACH-000127,-0.5834515321729999
ACH-000128,-0.396064886848
ACH-000132,-0.32881200737300004
ACH-000133,-0.35788159717600004
ACH-000137,-0.428819734211
ACH-000138,-0.478770500228
ACH-000142,-0.385764151206
ACH-000143,-0.3760898502
ACH-000146,-0.9202167086220001
ACH-000148,-0.396173861289
ACH-000150,-0.38724142405699996
ACH-000152,-0.33996137934799997
ACH-000153,-0.396267369175
ACH-000159,-0.984855709881
ACH-000160,-0.25657263212299997
ACH-000163,-0.472785336093
ACH-000167,-0.14452131790699999
ACH-000168,-0.651363613305
ACH-000169,-0.433221448816
ACH-000178,-0.508705615793
ACH-000182,-0.480439337667
ACH-000183,-0.8788415476639999
ACH-000188,-0.273232734919
ACH-000189,-0.640277665529
ACH-000190,-0.261291516938
ACH-000198,-0.599793538989
ACH-000204,-0.460595494586
ACH-000206,-0.665282372395
ACH-000207,-0.9285686856990001
ACH-000211,-0.283562996919
ACH-000215,-0.311569730939
ACH-000221,-0.199577515337
ACH-000222,-0.598170084301
ACH-000223,-0.39929663838
ACH-000226,-0.799333727352
ACH-000227,-0.576045550494
ACH-000228,-0.366142801866
ACH-000231,-0.347434319083
ACH-000232,-0.0732980142329
ACH-000233,-0.7133723778650001
ACH-000234,-0.494564796109
ACH-000235,-0.9538130230609999
ACH-000237,-0.148418222191
ACH-000238,-0.55538892315
ACH-000243,-0.40030361302100004
ACH-000244,-0.461877701638
ACH-000246,-0.207254810932
ACH-000248,-0.888874919402
ACH-000250,-0.5192096795260001
ACH-000251,-0.35712002420100003
ACH-000253,-0.7838342719689999
ACH-000255,-0.319967307752
ACH-000256,-0.36446390886600005
ACH-000257,-0.873616094931
ACH-000258,-0.76162878474
ACH-000259,-0.56145210089
ACH-000260,-0.124720151051
ACH-000261,-0.34927498520000005
ACH-000262,-0.498819584045
ACH-000263,-0.517969078376
ACH-000264,-0.433685511291
ACH-000265,-0.322618829751
ACH-000266,-0.443814402706
ACH-000272,-0.773149717648
ACH-000273,-0.7292914596619999
ACH-000274,-0.415879767975
ACH-000277,-0.941664777243
ACH-000278,-0.39452559785999997
ACH-000279,-0.988180338006
ACH-000280,-0.201459888981
ACH-000281,-0.530249434598
ACH-000288,-0.226880687931
ACH-000291,-0.21068365708700001
ACH-000293,-0.409733383632
ACH-000294,-0.670048321366
ACH-000295,-1.0073712934399999
ACH-000296,-0.214826688637
ACH-000302,-0.280582621519
ACH-000304,-0.854703661406
ACH-000307,-0.65903443788
ACH-000308,-0.40192055551100003
ACH-000310,-0.375933469461
ACH-000311,-0.5995912078369999
ACH-000312,-0.50284935026
ACH-000315,-0.892549505859
ACH-000316,-0.487607029115
ACH-000317,-0.663872639212
ACH-000318,-0.26577709699200003
ACH-000319,-0.65641733543
ACH-000320,-0.023027430280900003
ACH-000322,-0.46505995286300006
ACH-000323,-0.24087971087499999
ACH-000324,-0.35131081982900003
ACH-000329,-0.364678553925
ACH-000330,-0.7639257000249999
ACH-000331,-0.020733992564799998
ACH-000332,-0.12285365148800001
ACH-000334,-0.790856996903
ACH-000335,-0.601686750187
ACH-000336,-0.25577097056299997
ACH-000337,-0.680583423415
ACH-000339,-0.8365467150820001
ACH-000341,-0.430815806242
ACH-000348,-0.43608731046000004
ACH-000350,-0.329051261311
ACH-000352,-0.641611311845
ACH-000356,-0.693971833108
ACH-000361,-0.60819941135
ACH-000362,-0.665775891798
ACH-000363,-0.579403459842
ACH-000364,-0.394256878538
ACH-000365,-0.824651071543
ACH-000366,-0.530100620727
ACH-000368,-0.364618926823
ACH-000374,-0.181445375572
ACH-000375,-0.59672110041
ACH-000376,-0.21798187858800003
ACH-000381,-0.7550319520800001
ACH-000383,-0.973898143169
ACH-000387,-0.801966176994
ACH-000389,-0.10138836374
ACH-000390,-0.7340137805949999
ACH-000393,-0.574815268877
ACH-000395,-0.786367683444
ACH-000397,-0.419458864322
ACH-000401,-1.0291168749200001
ACH-000402,-0.808766651408
ACH-000403,-0.23498375641
ACH-000404,-1.27119387878
ACH-000406,-0.985083377343
ACH-000407,-0.5430292179439999
ACH-000408,-0.127748170389
ACH-000410,-0.22486500455400002
ACH-000411,-0.571371513484
ACH-000414,-0.509332399143
ACH-000415,-0.36793603485
ACH-000416,-0.8891608522259999
ACH-000420,-0.508030323715
ACH-000421,-0.7758658470309999
ACH-000424,-0.191118804304
ACH-000425,-0.634184402808
ACH-000426,-0.566004959478
ACH-000427,-0.520199894352
ACH-000433,-0.44486762131700003
ACH-000436,-0.544988586906
ACH-000444,-0.536327675719
ACH-000445,-0.213751056029
ACH-000448,-0.663695125979
ACH-000450,-0.600071125334
ACH-000452,-0.32854223275
ACH-000454,-0.534797955092
ACH-000458,-0.28124766686999997
ACH-000459,-0.29598179954799997
ACH-000460,-0.8332011604690001
ACH-000461,-0.525107930245
ACH-000463,-0.148030112035
ACH-000464,-0.49646944664
ACH-000466,-0.437503699493
ACH-000467,-0.865082659727
ACH-000468,-0.302405867556
ACH-000469,-0.394943650201
ACH-000470,-0.44790334368600004
ACH-000471,-0.42017422420100003
ACH-000472,-0.351975894748
ACH-000473,-0.322809686956
ACH-000475,-0.189256285473
ACH-000476,-0.6239438274279999
ACH-000477,-0.400541790278
ACH-000480,0.0349157754233
ACH-000481,-0.63421682492
ACH-000483,-0.700879893341
ACH-000484,-0.403134337179
ACH-000485,-0.55779116077
ACH-000486,-0.381245418533
ACH-000487,-0.574609964661
ACH-000488,-0.14059468808800002
ACH-000490,-0.276251464798
ACH-000491,-1.03351556106
ACH-000495,-0.44121683825
ACH-000496,-0.574488809937
ACH-000499,-0.435601121188
ACH-000500,-0.328014407001
ACH-000502,-0.853376822007
ACH-000503,-0.731730011752
ACH-000505,-0.277873004572
ACH-000507,-1.02566736533
ACH-000510,-0.650116936198
ACH-000511,-0.31133877073399996
ACH-000512,-0.781389667465
ACH-000516,-0.417409678447
ACH-000517,-0.598474148285
ACH-000518,-0.2841060206
ACH-000520,-0.458414004545
ACH-000521,-0.331444618857
ACH-000522,-0.656976201893
ACH-000524,-0.410177891317
ACH-000527,-0.24424635774999998
ACH-000528,-0.263865351576
ACH-000537,-0.507400557355
ACH-000541,-0.40144397499799994
ACH-000542,-0.515692437317
ACH-000544,-0.398227952226
ACH-000545,-0.21307288084000003
ACH-000547,-0.0216028792724
ACH-000548,-0.5177014677080001
ACH-000549,-0.116873110674
ACH-000550,-0.595544449095
ACH-000552,-0.320938216776
ACH-000556,-0.7141426083600001
ACH-000557,-1.06149674946
ACH-000570,-0.328795276803
ACH-000571,-0.421147138213
ACH-000573,-0.697419202737
ACH-000576,-0.894560291842
ACH-000580,-0.326472845647
ACH-000584,-0.371730080756
ACH-000585,-0.22705594912799998
ACH-000588,-0.843928376869
ACH-000589,-0.180291148443
ACH-000591,-0.7762092989280001
ACH-000593,-0.45041604382399997
ACH-000600,-0.517411928653
ACH-000601,-0.770394438482
ACH-000604,-0.262145852706
ACH-000605,-0.522597861282
ACH-000606,-0.165471358824
ACH-000608,-0.6901380078910001
ACH-000614,-0.996086426786
ACH-000616,-0.274618415439
ACH-000618,-0.49510238381099997
ACH-000619,-0.47988224968500004
ACH-000620,-0.211014267932
ACH-000621,-1.30296742039
ACH-000622,-0.7411100718629999
ACH-000623,-0.440970635609
ACH-000624,-0.799228445016
ACH-000627,-0.474854382678
ACH-000630,-0.176876276147
ACH-000632,-0.355323007262
ACH-000633,-0.400190870224
ACH-000637,-0.20706415092900002
ACH-000638,-0.39109330822300004
ACH-000646,-0.645564578214
ACH-000647,-0.36410803312
ACH-000648,-0.496773701406
ACH-000649,-0.208765561825
ACH-000651,-0.219954039907
ACH-000652,-0.977919433829
ACH-000653,-0.547112861323
ACH-000657,-0.239190775432
ACH-000658,-0.819067405809
ACH-000661,-0.688354561833
ACH-000662,-0.322724804673
ACH-000663,-0.832114598421
ACH-000665,-0.380896023708
ACH-000671,-0.210263443673
ACH-000673,-0.303792873017
ACH-000676,-0.98561407312
ACH-000677,-0.451629454991
ACH-000681,-0.315422237729
ACH-000682,-0.298821928314
ACH-000683,-0.423380471144
ACH-000684,-0.24578175152800003
ACH-000688,-0.45833552913000003
ACH-000693,-0.0643178020063
ACH-000694,-0.213927743233
ACH-000695,-0.7726275058419999
ACH-000696,-0.13706845621400002
ACH-000697,-0.6804784250139999
ACH-000699,-0.455019916859
ACH-000701,-0.37515925665
ACH-000706,-0.669062837113
ACH-000711,-0.7392968284579999
ACH-000713,-0.9018211569399999
ACH-000714,-0.460914073291
ACH-000718,-0.525629010836
ACH-000720,-0.380826681041
ACH-000721,-0.770931267062
ACH-000724,-0.42430043551
ACH-000725,-0.629697154153
ACH-000732,-0.27729908480099996
ACH-000734,-0.468301438447
ACH-000735,-0.37301105071900004
ACH-000736,-0.6328336017230001
ACH-000738,-0.191673170916
ACH-000746,-0.615122088669
ACH-000747,-0.47206943113600003
ACH-000748,-0.252891022069
ACH-000753,-0.761500313409
ACH-000756,-0.36402148193000006
ACH-000757,-0.384371424696
ACH-000758,-0.7035960376899999
