,PRRC2B (84726)
ACH-000004,-0.211499206802
ACH-000007,-0.104435999032
ACH-000009,-0.00986428123367
ACH-000011,-0.06668036048140001
ACH-000012,0.11281198586300001
ACH-000013,-0.15977235045399998
ACH-000014,-0.137534296438
ACH-000015,-0.0968887463002
ACH-000017,-0.047858325722500004
ACH-000018,-0.0505820785816
ACH-000019,0.126929995183
ACH-000021,-0.103936678145
ACH-000022,0.10793605744899999
ACH-000025,-0.040214288223900004
ACH-000028,-0.11761535688
ACH-000030,0.0663681506819
ACH-000035,0.11670673705
ACH-000036,-0.131233564651
ACH-000037,0.22809299379999998
ACH-000039,-0.219543768171
ACH-000040,0.06924954061139998
ACH-000041,-0.05689153295800001
ACH-000042,-0.122144256382
ACH-000045,0.0152119348685
ACH-000047,0.129823861117
ACH-000052,-0.0657931524905
ACH-000053,0.0247970602625
ACH-000054,-0.019795944654
ACH-000055,0.141596134011
ACH-000060,-0.0617837181936
ACH-000067,0.0389544583719
ACH-000070,0.36044210610699995
ACH-000075,0.031065378519900003
ACH-000078,0.175990151903
ACH-000082,-0.0192905150098
ACH-000085,0.024901666381000002
ACH-000086,-0.057998373751099994
ACH-000087,0.12412874958699999
ACH-000092,0.0721355600861
ACH-000095,-0.23370596776099997
ACH-000097,-0.141276493764
ACH-000098,0.07850863395499999
ACH-000099,-0.292814958698
ACH-000108,-0.23555215113000003
ACH-000113,0.26720126123599997
ACH-000115,0.0879164769637
ACH-000116,-0.023746018950099996
ACH-000118,0.0120364641478
ACH-000120,0.0343324514526
ACH-000123,-0.0406465093027
ACH-000127,-0.08895519346439999
ACH-000128,-0.036931708747999996
ACH-000132,-0.268461465818
ACH-000133,0.0711117568225
ACH-000137,-0.161589557446
ACH-000138,0.0190652577811
ACH-000142,-0.0855506420234
ACH-000143,-0.122294819616
ACH-000146,0.07091602119149999
ACH-000148,-0.0761714841687
ACH-000150,0.012059148658399998
ACH-000152,-0.119957058241
ACH-000153,0.158510256053
ACH-000159,-0.0400595559429
ACH-000160,-0.027956438714799997
ACH-000163,-0.0308083062787
ACH-000167,-0.0377576949775
ACH-000168,0.25902611847199997
ACH-000169,-0.175022374178
ACH-000178,0.0819755860633
ACH-000182,-0.129514666039
ACH-000183,-0.0361157536659
ACH-000188,0.0325813535265
ACH-000189,0.152956168753
ACH-000190,0.24324185972399998
ACH-000198,0.17387055893699999
ACH-000204,-0.0945436239475
ACH-000206,0.022332967007
ACH-000207,-0.103357137962
ACH-000211,-0.225557997916
ACH-000215,-0.114797899077
ACH-000221,-0.029391076915700004
ACH-000222,0.04605224317980001
ACH-000223,-0.008046195248029998
ACH-000226,0.014820484913999999
ACH-000227,0.240301195685
ACH-000228,0.0204097009228
ACH-000231,0.036770449587699996
ACH-000232,-0.126179542787
ACH-000233,0.10990473025599999
ACH-000234,-0.11091840023800001
ACH-000235,-0.0307122584131
ACH-000237,-0.198366255984
ACH-000238,0.17943143198199998
ACH-000243,-0.024267393066699998
ACH-000244,-0.12579221248199998
ACH-000246,0.0320059292358
ACH-000248,0.0397853826342
ACH-000250,0.172345196602
ACH-000251,-0.278334793591
ACH-000253,-0.0493930904951
ACH-000255,-0.10142256472200001
ACH-000256,0.006944481708109999
ACH-000257,-0.09803358923239998
ACH-000258,0.219075395328
ACH-000259,-0.0012509043182
ACH-000260,0.13506920323
ACH-000261,-0.124099229464
ACH-000262,-0.186662026061
ACH-000263,0.117669328089
ACH-000264,-0.196083217416
ACH-000265,-0.18778277728300002
ACH-000266,-0.27399328581
ACH-000272,-0.11550722972100001
