,SPDL1 (54908)
ACH-000463,-0.919220844569
ACH-000464,-0.9564317972830001
ACH-000466,-0.758841016439
ACH-000467,-0.561231062353
ACH-000468,-0.710695407229
ACH-000469,-0.9428835677449999
ACH-000470,-0.8865681271860001
ACH-000471,-0.914108552464
ACH-000472,-0.9726272627700001
ACH-000473,-0.893304137861
ACH-000475,-0.860603389699
ACH-000476,-0.793794941252
ACH-000477,-0.531374311109
ACH-000480,-0.6508833186999999
ACH-000481,-1.05063656204
ACH-000483,-0.9207097215350001
ACH-000484,-1.16372233197
ACH-000485,-1.10512210511
ACH-000486,-1.07025198891
ACH-000487,-1.24789225708
ACH-000488,-0.785938034796
ACH-000490,-1.08338294355
ACH-000491,-0.947254427001
ACH-000495,-1.04263648939
ACH-000496,-0.8650593908230001
ACH-000499,-0.8298693692910001
ACH-000500,-0.594464103578
ACH-000502,-0.885244065808
ACH-000503,-0.39746367498199997
ACH-000505,-0.585035704855
ACH-000507,-0.97389728311
ACH-000510,-0.7615201992980001
ACH-000511,-1.0978429373799998
ACH-000512,-1.02350599198
ACH-000516,-0.8931054295899999
ACH-000517,-0.9958982807979999
ACH-000518,-1.32085379467
ACH-000520,-0.807539827362
ACH-000521,-0.8581462074580001
ACH-000522,-0.840768693914
ACH-000524,-0.7727699671870001
ACH-000527,-1.0046425147600002
ACH-000528,-0.887066330107
ACH-000537,-1.01672588976
ACH-000541,-0.7735782283429999
ACH-000542,-0.854692540583
ACH-000544,-0.688510392935
ACH-000545,-0.96812755409
ACH-000547,-0.584896275331
ACH-000548,-0.7449642648710001
ACH-000549,-0.876114384001
ACH-000550,-1.08213092781
ACH-000552,-0.832294562983
ACH-000556,-0.774091447962
ACH-000557,-1.1651850138700002
ACH-000570,-1.02256842589
ACH-000571,-0.722485769338
ACH-000573,-0.8922500074940001
ACH-000576,-0.9068082317389999
ACH-000580,-1.21744725806
ACH-000584,-0.43563713756300004
ACH-000585,-0.805957770367
ACH-000588,-0.5806715272249999
ACH-000589,-0.7902353175069999
ACH-000591,-1.15551723436
ACH-000593,-0.816052329722
ACH-000600,-0.861402395211
ACH-000601,-0.944755766832
ACH-000604,-0.7639924608149999
ACH-000605,-0.7563624430329999
ACH-000606,-0.8689805244600001
ACH-000608,-0.88730680176
ACH-000614,-1.00955553942
ACH-000616,-0.919481138953
ACH-000618,-0.946632027342
ACH-000619,-0.9395139217280001
ACH-000620,-0.8550607883939999
ACH-000621,-0.573553845661
ACH-000622,-1.5043530307100001
ACH-000623,-0.9795206625949999
ACH-000624,-1.0025388747600001
ACH-000627,-0.694407607198
ACH-000630,-0.996345137873
ACH-000632,-0.79173231558
ACH-000633,-0.571472082838
ACH-000637,-0.7690762617489999
ACH-000638,-0.721394689764
ACH-000646,-0.908534662987
ACH-000647,-0.866755570724
ACH-000648,-1.1262045623299999
ACH-000649,-0.870749815024
ACH-000651,-0.7928182191390001
ACH-000652,-1.12435012066
ACH-000653,-1.08240617945
ACH-000657,-0.807409013854
ACH-000658,-0.912573683144
ACH-000661,-0.517854405132
ACH-000662,-1.22970367824
ACH-000663,-0.848383444082
ACH-000665,-0.865151888213
ACH-000671,-0.8866500748270001
ACH-000673,-1.1701702468600002
ACH-000676,-0.6151959096440001
ACH-000677,-0.849472599649
ACH-000681,-0.876924733326
ACH-000682,-0.7830119720119999
ACH-000683,-0.8086261700570001
ACH-000684,-0.773913429408
ACH-000688,-0.979756089865
ACH-000693,-0.647072780369
ACH-000694,-0.9720393551019999
ACH-000695,-0.888732741024
ACH-000696,-0.860208307436
ACH-000697,-0.7522540115199999
ACH-000699,-1.11981093979
ACH-000701,-0.667933207587
ACH-000706,-0.722093819736
ACH-000711,-0.8393526613600001
ACH-000713,-0.287109213677
ACH-000714,-1.24306843767
ACH-000718,-0.6118719980749999
