,TUBA4A (7277)
ACH-000004,-0.6813580729459999
ACH-000007,-0.24904019071999997
ACH-000009,-0.548007837217
ACH-000011,-0.627153793374
ACH-000012,-0.461590372549
ACH-000013,-0.34635867320299996
ACH-000014,-0.646524494826
ACH-000015,-0.303269465949
ACH-000017,-0.224051002958
ACH-000018,-0.373136908251
ACH-000019,-0.4400964251100001
ACH-000021,-0.232697606433
ACH-000022,-0.214195099129
ACH-000025,-0.542026020438
ACH-000028,-0.518779460761
ACH-000030,-0.56752387805
ACH-000035,-0.32101283788699997
ACH-000036,-0.551014223188
ACH-000037,-0.748183846339
ACH-000039,-0.44691858958700004
ACH-000040,-0.500151157343
ACH-000041,-0.441413081536
ACH-000042,-0.365643528106
ACH-000045,-0.453425964912
ACH-000047,-0.319543985785
ACH-000052,-0.43713687952799996
ACH-000053,-0.271721832113
ACH-000054,-0.659629974881
ACH-000055,-0.25304020152600004
ACH-000060,-0.504220123442
ACH-000067,-0.6362923638970001
ACH-000070,-0.408587670335
ACH-000075,-0.356237284401
ACH-000078,-0.257937301722
ACH-000082,-0.499713019973
ACH-000085,-0.37106956547200004
ACH-000086,-0.444659264024
ACH-000087,-0.189094970255
ACH-000092,-0.504538385189
ACH-000095,-0.46629998084200003
ACH-000097,-0.197394979074
ACH-000098,-0.418575770003
ACH-000099,-0.25148766363
ACH-000108,-0.345181060246
ACH-000113,-0.38372919627499996
ACH-000115,-0.211885581562
ACH-000116,-0.284550246406
ACH-000118,-0.404837137516
ACH-000120,-0.306755302007
ACH-000123,-0.40820484366800003
ACH-000127,-0.307498739318
ACH-000128,-0.490231462
ACH-000132,-0.253299019571
ACH-000133,-0.334928086233
ACH-000137,-0.525126292762
ACH-000138,-0.303633744024
ACH-000142,-0.149373543004
ACH-000143,-0.497801484915
ACH-000146,-0.394394522839
ACH-000148,-0.38055892473999997
ACH-000150,-0.655538385789
ACH-000152,-0.572144935056
ACH-000153,0.0388101243874
ACH-000159,-0.499308212417
ACH-000160,-0.597454085559
ACH-000163,-0.401632858825
ACH-000167,-0.516896874058
ACH-000168,-0.312122075905
ACH-000169,-0.305041773788
ACH-000178,-0.251160047993
ACH-000182,-0.397538404665
ACH-000183,-0.283172089973
ACH-000188,-0.530814791303
ACH-000189,-0.14962906295199999
ACH-000190,-0.397422985485
ACH-000198,-0.35822879150700004
ACH-000204,-0.46424892343199997
ACH-000206,-0.47739812320200004
ACH-000207,-0.306576755447
ACH-000211,-0.377621477253
ACH-000215,-0.498098673106
ACH-000221,-0.156489243716
ACH-000222,-0.48423274981200004
ACH-000223,-0.439260631647
ACH-000226,-0.576521817966
ACH-000227,-0.39276703014799996
ACH-000228,-0.523030323013
ACH-000231,-0.482446723295
ACH-000232,-0.32983577666499997
ACH-000233,-0.235163600253
ACH-000234,-0.495761078183
ACH-000235,-0.362112096516
ACH-000237,-0.40786593458400006
ACH-000238,-0.22802135777899998
ACH-000243,-0.34336226579499995
ACH-000244,-0.24384150980799998
ACH-000246,-0.40702814177100005
ACH-000248,-0.232610862077
ACH-000250,-0.535296139097
ACH-000251,-0.16160088735300002
ACH-000253,-0.307616874966
ACH-000255,-0.5360795775020001
ACH-000256,-0.23206500804299998
ACH-000257,0.19923672165999998
ACH-000258,-0.244175366491
ACH-000259,-0.315387159366
ACH-000260,-0.43716835539399995
ACH-000261,-0.500701413763
ACH-000262,-0.581016495872
ACH-000263,-0.5510265219899999
ACH-000264,-0.25443903799
ACH-000265,-0.31856035226
ACH-000266,-0.362462533187
ACH-000272,-0.564569607421
ACH-000273,-0.33872854913
