,ARSI (340075)
ACH-000004,-0.366449921122
ACH-000007,-0.408070298875
ACH-000009,-0.36779134133599994
ACH-000011,-0.536795384672
ACH-000012,-0.350869188403
ACH-000013,-0.162217414904
ACH-000014,-0.09141157270469999
ACH-000015,-0.53117797316
ACH-000017,-0.38063553741899997
ACH-000018,-0.188404545121
ACH-000019,-0.017362110829599996
ACH-000021,-0.233291813017
ACH-000022,-0.377255846078
ACH-000025,-0.299184423832
ACH-000028,-0.018689179488599997
ACH-000030,-0.264355311672
ACH-000035,-0.251340887942
ACH-000036,-0.20218695383299998
ACH-000037,-0.395106985865
ACH-000039,-0.261696148501
ACH-000040,-0.296267015022
ACH-000041,-0.277731078222
ACH-000042,-0.17980357782200002
ACH-000045,-0.408234221352
ACH-000047,-0.377149852103
ACH-000052,-0.30441018580400003
ACH-000053,-0.22483642170499998
ACH-000054,-0.189078096993
ACH-000055,-0.147920332612
ACH-000060,-0.249756196653
ACH-000067,-0.396814152136
ACH-000070,-0.35530401062899997
ACH-000075,-0.312415948487
ACH-000078,-0.201722872829
ACH-000082,-0.160772125998
ACH-000085,-0.359941850547
ACH-000086,-0.174698687212
ACH-000087,-0.109942309479
ACH-000092,-0.146154811136
ACH-000095,-0.321840341678
ACH-000097,-0.35264376190499996
ACH-000098,-0.165017538308
ACH-000099,-0.369452264594
ACH-000108,-0.18994202918900002
ACH-000113,-0.24792588036200003
ACH-000115,-0.5011497491920001
ACH-000116,-0.2613237148
ACH-000118,-0.135169519175
ACH-000120,-0.22924102841999996
ACH-000123,-0.292656103581
ACH-000127,-0.282505392327
ACH-000128,-0.38795542489600005
ACH-000132,-0.284119775844
ACH-000133,-0.17150339663
ACH-000137,-0.349929544811
ACH-000138,-0.310178316384
ACH-000142,-0.156206764453
ACH-000143,-0.19624715481199997
ACH-000146,-0.310545415029
ACH-000148,-0.340818855655
ACH-000150,-0.47179940479800003
ACH-000152,-0.20095894028499997
ACH-000153,-0.395487829745
ACH-000159,-0.23989544867899998
ACH-000160,-0.214376202746
ACH-000163,-0.22777882301
ACH-000167,-0.604071037883
ACH-000168,-0.294476991859
ACH-000169,-0.214121651523
ACH-000178,-0.38072316100299997
ACH-000182,-0.257632399701
ACH-000183,-0.284315328587
ACH-000188,-0.15827162799699998
ACH-000189,0.00862607380974
ACH-000190,-0.183895978213
ACH-000198,-0.467498427407
ACH-000204,-0.295507973303
ACH-000206,-0.424054492527
ACH-000207,-0.180566067232
ACH-000211,-0.286570832665
ACH-000215,-0.169916452731
ACH-000221,-0.208649680044
ACH-000222,-0.40427806342
ACH-000223,-0.288847948506
ACH-000226,-0.292692889969
ACH-000227,-0.264660717702
ACH-000228,-0.252427460684
ACH-000231,-0.344510341172
ACH-000232,-0.29955479884799996
ACH-000233,-0.5065226384120001
ACH-000234,-0.407868524485
ACH-000235,-0.279330479598
ACH-000237,-0.200276364491
ACH-000238,-0.381096221954
ACH-000243,-0.207459789014
ACH-000244,-0.32721060818799996
ACH-000246,-0.288491656359
ACH-000248,-0.261539494427
ACH-000250,-0.235635997008
ACH-000251,-0.538182553138
ACH-000253,-0.20626224361900003
ACH-000255,-0.322592401128
ACH-000256,-0.172399305526
ACH-000257,-0.297729802368
ACH-000258,-0.250205989178
ACH-000259,-0.175362279748
ACH-000260,-0.18472058776900002
ACH-000261,-0.198809580068
ACH-000262,-0.16787257548300002
ACH-000263,0.167711710299
ACH-000264,-0.278767423552
ACH-000265,-0.19300676607099998
ACH-000266,-0.25139162282099997
ACH-000272,-0.158831182479
ACH-000273,-0.41705728388999996
ACH-000274,-0.32014332523
ACH-000277,-0.23070465632599998
ACH-000278,-0.33077634928000005
ACH-000279,-0.454425493282
ACH-000280,-0.185680690861
ACH-000281,-0.508784646131
ACH-000288,-0.317331011841
ACH-000291,-0.297020114194
ACH-000293,-0.281380565814
ACH-000294,-0.250705896437
ACH-000295,-0.209943599395
ACH-000296,-0.20652487993700003
ACH-000302,-0.242399989553
ACH-000304,-0.0579829238573
ACH-000307,-0.420635017357
ACH-000308,-0.245300368371
ACH-000310,-0.322158859795
ACH-000311,-0.280568309514
ACH-000312,-0.339028658297
ACH-000315,-0.780271182889
ACH-000316,-0.19431537384
ACH-000317,-0.321012509333
ACH-000318,-0.08670755242249999
ACH-000319,-0.339444324671
ACH-000320,-0.142809822467
ACH-000322,-0.07685902482760001
ACH-000323,-0.33025181551399996
ACH-000324,-0.361556844102
ACH-000329,-0.219090340281
ACH-000330,-0.181026779088
ACH-000331,-0.214672234793
ACH-000332,-0.34818929254299996
ACH-000334,-0.286161190896
ACH-000335,-0.200900020282
ACH-000336,-0.094137330428
ACH-000337,-0.463507338777
ACH-000339,-0.291920083634
ACH-000341,-0.406420489344
ACH-000348,-0.243289888358
ACH-000350,-0.542315535182
ACH-000352,-0.18592710303100002
ACH-000356,-0.273268883536
ACH-000361,-0.38131997118100003
ACH-000362,-0.327464387294
ACH-000363,-0.09711809818810001
ACH-000364,-0.219762591055
ACH-000365,-0.354917043112
ACH-000366,-0.187136258063
ACH-000368,-0.45782773056000003
ACH-000374,-0.122530554236
ACH-000375,-0.19711502610399997
ACH-000376,-0.373819629629
ACH-000381,-0.220365312053
ACH-000383,-0.22554035819600002
ACH-000387,-0.225967235509
ACH-000389,-0.244034294441
ACH-000390,-0.266036521242
ACH-000393,-0.240023777443
ACH-000395,-0.167048687907
ACH-000397,-0.35151286982600005
ACH-000401,-0.457130972892
ACH-000402,-0.24219144498000003
ACH-000403,-0.373190102457
ACH-000404,0.0270660096522
ACH-000406,-0.257924793972
ACH-000407,-0.248681489447
ACH-000408,-0.0890756265286
ACH-000410,-0.21653608615699999
ACH-000411,-0.35939950018399996
ACH-000414,-0.13251985235
ACH-000415,-0.18405808518199998
ACH-000416,-0.240763598352
ACH-000420,-0.215406269378
ACH-000421,-0.18020337957000002
ACH-000424,-0.284866395888
ACH-000425,-0.12522340120300002
ACH-000426,-0.0486923787835
ACH-000427,-0.2196988339
ACH-000433,0.100926309563
ACH-000436,-0.301569025264
ACH-000444,-0.251225168527
ACH-000445,-0.10399881726600001
ACH-000448,-0.315911140794
ACH-000450,0.445003485855
ACH-000452,-0.263556833559
ACH-000454,-0.28640029106
ACH-000458,-0.244938772945
ACH-000459,-0.22773379415199999
ACH-000460,-0.204134682988
ACH-000461,-0.306644409065
ACH-000463,-0.315195777812
ACH-000464,-0.18048331987799998
ACH-000466,-0.297095527917
ACH-000467,-0.49873894399700003
ACH-000468,-0.186545122177
ACH-000469,-0.184075600856
ACH-000470,-0.219068748371
ACH-000471,-0.268768808345
