,DISP2 (85455)
ACH-000004,-0.269844951713
ACH-000007,-0.34637603479699997
ACH-000009,-0.217013344243
ACH-000011,-0.305966116266
ACH-000012,-0.304557628653
ACH-000013,-0.211084718178
ACH-000014,-0.0683777072941
ACH-000015,-0.106245599456
ACH-000017,-0.302434677644
ACH-000018,0.249637848818
ACH-000019,-0.664583894241
ACH-000021,-0.100294563377
ACH-000022,-0.13609019269300002
ACH-000025,-0.09916618942910001
ACH-000028,-0.070317009217
ACH-000030,-0.322676431679
ACH-000035,-0.211249515469
ACH-000036,-0.079112604301
ACH-000037,-0.353614812449
ACH-000039,-0.160754348508
ACH-000040,-0.11395124801899999
ACH-000041,-0.291050430074
ACH-000042,-0.10733768146099999
ACH-000045,-0.296822991988
ACH-000047,-0.211911600291
ACH-000052,-0.457584103217
ACH-000053,-0.21803998331099997
ACH-000054,-0.186552940911
ACH-000055,-0.09925579368170001
ACH-000060,-0.161725569225
ACH-000067,-0.254398854018
ACH-000070,0.04667369546590001
ACH-000075,-0.110608449554
ACH-000078,-0.253334793611
ACH-000082,-0.25795752812399997
ACH-000085,-0.35590784719499996
ACH-000086,-0.22188275158799997
ACH-000087,-0.398937490893
ACH-000092,-0.186430208036
ACH-000095,-0.356491306245
ACH-000097,-0.12012376344699999
ACH-000098,-0.145824180632
ACH-000099,-0.0756362264784
ACH-000108,-0.199687444429
ACH-000113,-0.10762426226399999
ACH-000115,-0.23476329649099997
ACH-000116,-0.218289074324
ACH-000118,-0.151096162651
ACH-000120,-0.10850997535700001
ACH-000123,-0.158112078411
ACH-000127,-0.161623898809
ACH-000128,-0.26884728017299997
ACH-000132,-0.453530777359
ACH-000133,-0.239562896164
ACH-000137,-0.178027598653
ACH-000138,-0.0695680307654
ACH-000142,-0.272607183694
ACH-000143,-0.24244880543400002
ACH-000146,-0.294421012768
ACH-000148,-0.192848768245
ACH-000150,-0.12598468562999998
ACH-000152,-0.291234837598
ACH-000153,-0.638085859952
