,CPT2 (1376)
ACH-000004,-0.247386720748
ACH-000007,-0.124782232046
ACH-000009,-0.379714525325
ACH-000011,-0.21560501992699999
ACH-000012,-0.303502482317
ACH-000013,-0.354297575199
ACH-000014,-0.12462233359699999
ACH-000015,-0.393194692143
ACH-000017,-0.15241075762700002
ACH-000018,-0.204690422734
ACH-000019,-0.117017876293
ACH-000021,-0.161309015011
ACH-000022,-0.287348492745
ACH-000025,-0.22412447159499999
ACH-000028,-0.174387147868
ACH-000030,-0.266169437567
ACH-000035,-0.614592225523
ACH-000036,-0.21029192030699997
ACH-000037,-0.0860636621583
ACH-000039,-0.346332631594
ACH-000040,0.015065235380200001
ACH-000041,-0.09127921557669999
ACH-000042,-0.137295078331
ACH-000045,-0.201665028574
ACH-000047,-0.21353708340100003
ACH-000052,-0.37018170821
ACH-000053,-0.247941479362
ACH-000054,-0.13250684348300001
ACH-000055,-0.222789213212
ACH-000060,-0.525324737239
ACH-000067,-0.220966812011
ACH-000070,-0.242969502172
ACH-000075,-0.24945565057500002
ACH-000078,-0.218581396009
ACH-000082,0.0111315741331
ACH-000085,-0.250773818837
ACH-000086,-0.340732822808
ACH-000087,-0.47586296743199996
ACH-000092,-0.34889500923100003
ACH-000095,-0.235010914655
ACH-000097,-0.21118496960000002
ACH-000098,-0.212919261014
ACH-000099,-0.23574374799699999
ACH-000108,-0.136597489671
ACH-000113,-0.140776445295
ACH-000115,-0.319682504029
ACH-000116,-0.277944741702
ACH-000118,-0.109149404756
ACH-000120,-0.20055428327799998
ACH-000123,-0.377102930887
ACH-000127,-0.163667271594
ACH-000128,-0.333964591207
ACH-000132,-0.18784730936299998
ACH-000133,-0.11540816222200001
ACH-000137,-0.36549821125299997
ACH-000138,-0.10624081983999999
ACH-000142,-0.23905722691
ACH-000143,-0.29465916229
ACH-000146,-0.26737539695900003
ACH-000148,-0.269022248565
ACH-000150,-0.193365608513
ACH-000152,-0.301348735208
ACH-000153,-0.17915568898200002
ACH-000159,-0.311319727518
ACH-000160,-0.076977441004
ACH-000163,-0.135522834053
ACH-000167,-0.111190716412
ACH-000168,-0.281429766662
ACH-000169,-0.21768572735
ACH-000178,-0.22702584827199998
ACH-000182,-0.149776149613
ACH-000183,-0.225865487106
ACH-000188,-0.29243598837900003
ACH-000189,-0.471522508917
ACH-000190,-0.23358401508
ACH-000198,-0.257573708854
ACH-000204,-0.402158508838
ACH-000206,-0.09114864971820001
ACH-000207,-0.560512341407
ACH-000211,-0.0687817621984
ACH-000215,-0.194934427942
ACH-000221,-0.14229529188200002
ACH-000222,0.0968925487817
ACH-000223,-0.105545649834
ACH-000226,-0.230859870493
ACH-000227,-0.228665117905
ACH-000228,-0.366368784433
ACH-000231,-0.146921201607
ACH-000232,-0.25868633903
ACH-000233,-0.10950379306500001
ACH-000234,-0.07441029904589999
ACH-000235,-0.15621432843900002
ACH-000237,-0.375643138913
ACH-000238,-0.29117326168499996
ACH-000243,-0.174324267494
ACH-000244,-0.33147859799199997
ACH-000246,-0.214459411573
ACH-000248,-0.333460640343
ACH-000250,-0.262183983209
ACH-000251,-0.30679167966299997
ACH-000253,-0.08922850697380001
ACH-000255,-0.274731944485
ACH-000256,-0.500384547252
ACH-000257,-0.571640159793
ACH-000258,-0.328654116499
ACH-000259,-0.23415196033799998
ACH-000260,-0.290556568871
ACH-000261,-0.19425023918499998
ACH-000262,-0.407853839358
ACH-000263,-0.0297283074388
ACH-000264,-0.194130917437
ACH-000265,-0.05037259905040001
ACH-000266,-0.11311326640999998
ACH-000272,-0.265945507896
ACH-000273,-0.22766689151299999
ACH-000274,-0.19426301141600003
