,ITIH4 (3700)
ACH-000004,-0.478680657613
ACH-000007,-0.25151825264899996
ACH-000009,-0.26728932059599997
ACH-000011,-0.364216021908
ACH-000012,-0.407988054171
ACH-000013,-0.25001119341600003
ACH-000014,-0.23494605716400002
ACH-000015,-0.40172716642800005
ACH-000017,-0.294265717581
ACH-000018,-0.499709412075
ACH-000019,-0.275800325542
ACH-000021,-0.32255167826
ACH-000022,-0.174981716358
ACH-000025,-0.355632071324
ACH-000028,-0.213988693664
ACH-000030,-0.37124096364
ACH-000035,-0.27980066896600003
ACH-000036,-0.367949312815
ACH-000037,-0.358531754915
ACH-000039,-0.41086342317100005
ACH-000040,-0.21553466574900002
ACH-000041,-0.263772701461
ACH-000042,-0.42683757302599995
ACH-000045,-0.253609746453
ACH-000047,-0.490979470924
ACH-000052,-0.32233056216
ACH-000053,-0.417802554159
ACH-000054,-0.260929424831
ACH-000055,-0.126079026461
ACH-000060,-0.45392925945600004
ACH-000067,-0.35058434026
ACH-000070,-0.462996208733
ACH-000075,-0.39482838525700004
ACH-000078,-0.34238469526299997
ACH-000082,-0.14759320568499998
ACH-000085,-0.38986399684199996
ACH-000086,-0.393672981654
ACH-000087,-0.270147293953
ACH-000092,-0.196141777436
ACH-000095,-0.205927260156
ACH-000097,-0.335285773622
ACH-000098,-0.24794126593199997
ACH-000099,-0.285236054586
ACH-000108,-0.532524607958
ACH-000113,-0.270082019209
ACH-000115,-0.18563484621800003
ACH-000116,-0.296925722751
ACH-000118,-0.41723333268600005
ACH-000120,-0.220759046095
ACH-000123,-0.214790861037
ACH-000127,-0.29617818997699996
ACH-000128,-0.316899026037
ACH-000132,-0.18370455327500002
ACH-000133,-0.169617461283
ACH-000137,-0.22597189037700002
ACH-000138,-0.266739459336
ACH-000142,-0.334478255613
ACH-000143,-0.250469745268
ACH-000146,-0.283837726834
ACH-000148,-0.213005731636
ACH-000150,-0.5456773592490001
ACH-000152,-0.41120301072899995
ACH-000153,0.041514176937099995
ACH-000159,-0.40768174018200004
ACH-000160,-0.302166114826
ACH-000163,-0.26935611760600003
ACH-000167,-0.34285560104900004
ACH-000168,-0.523404992187
ACH-000169,-0.344564607107
ACH-000178,-0.308596498077
ACH-000182,-0.305703380694
ACH-000183,-0.28095467496800003
ACH-000188,-0.45537851592399997
ACH-000189,-0.518908978623
ACH-000190,-0.212093432326
ACH-000198,-0.106603381223
ACH-000204,-0.193983420258
ACH-000206,-0.181409802392
ACH-000207,-0.8771837326649999
ACH-000211,-0.369446954189
ACH-000215,-0.114881498089
ACH-000221,-0.5419649915820001
ACH-000222,-0.366239440439
ACH-000223,-0.24315817411999996
ACH-000226,-0.138722219098
ACH-000227,-0.327478656953
ACH-000228,-0.387238310477
ACH-000231,-0.28570869178
ACH-000232,-0.36215890573299997
ACH-000233,-0.33108015719
ACH-000234,-0.330898751561
ACH-000235,-0.2692523971
ACH-000237,-0.354569978672
ACH-000238,-0.378955317227
ACH-000243,-0.28915435811900003
ACH-000244,-0.341719361966
ACH-000246,-0.27966897662900003
ACH-000248,-0.507034043623
ACH-000250,-0.24674745923799998
ACH-000251,-0.471466273737
ACH-000253,-0.242890029261
ACH-000255,-0.32122755936
ACH-000256,-0.177592356206
ACH-000257,-0.226552851699
ACH-000258,-0.29939150930999997
ACH-000259,-0.44429902764799994
ACH-000260,-0.350260627486
ACH-000261,-0.225908191871
ACH-000262,-0.354351435067
ACH-000263,-0.32833275825999997
ACH-000264,-0.394571718346
ACH-000265,-0.43661999571099996
ACH-000266,-0.313400232822
ACH-000272,-0.189052662948
ACH-000273,-0.17858883871800002
ACH-000274,-0.360588963626
ACH-000277,-0.20274954696800002
ACH-000278,-0.345854015729
ACH-000279,-0.304623358967
