,PBRM1 (55193)
ACH-000004,-0.421503690012
ACH-000007,-0.491937228672
ACH-000009,-0.235341785416
ACH-000011,-0.199721949615
ACH-000012,-0.310483053682
ACH-000013,-0.505871071651
ACH-000014,0.273513277003
ACH-000015,-0.11403366162999999
ACH-000017,-0.015002054418699999
ACH-000018,-0.199827029954
ACH-000019,-0.38650500427199996
ACH-000021,-0.175357180724
ACH-000022,-0.11276672439000002
ACH-000025,0.0706313360478
ACH-000028,-0.12864347220300001
ACH-000030,-0.467382762548
ACH-000035,-0.0198535895557
ACH-000036,-0.153346671392
ACH-000037,-0.480259010313
ACH-000039,-0.0271193884015
ACH-000040,-0.217385531756
ACH-000041,-0.09869153875710002
ACH-000042,-0.254480970888
ACH-000045,-0.670613353672
ACH-000047,-0.534441564223
ACH-000052,-0.257157870142
ACH-000053,-0.125111327263
ACH-000054,0.131129204355
ACH-000055,-0.49027317357100003
ACH-000060,-0.0222771642971
ACH-000067,-0.8751743112829999
ACH-000070,-0.546536004968
ACH-000075,0.294052636742
ACH-000078,-0.22439284321
ACH-000082,-0.34086603838
ACH-000085,-0.15275815749399999
ACH-000086,-0.162871486527
ACH-000087,-0.50700173237
ACH-000092,-0.100277359058
ACH-000095,-0.0782401889127
ACH-000097,-0.031469320527300004
ACH-000098,-0.0160877089654
ACH-000099,0.480481730181
ACH-000108,-0.0730178193887
ACH-000113,-0.0838675414715
ACH-000115,-0.326675537384
ACH-000116,-0.12300966754899999
ACH-000118,-0.41993773613200003
ACH-000120,-0.22623949859499998
ACH-000123,-0.167455380284
ACH-000127,-0.199332256829
ACH-000128,-0.544941010632
ACH-000132,-0.444490432034
ACH-000133,0.00688431611375
ACH-000137,0.154338867562
ACH-000138,-0.475394120299
ACH-000142,0.0586760901796
ACH-000143,-0.445984484868
ACH-000146,-0.234317056586
ACH-000148,-0.013722301643299998
ACH-000150,-0.388973052433
ACH-000152,-0.221438964755
ACH-000153,0.378809213266
ACH-000159,-0.20744477844
ACH-000160,0.51285954256
ACH-000163,-0.0959482085145
ACH-000167,0.396609144658
ACH-000168,-0.584436504281
ACH-000169,-0.245825997632
ACH-000178,-0.596506559363
ACH-000182,-0.20393870318100002
ACH-000183,-0.5346902823690001
ACH-000188,-0.086716547293
ACH-000189,-0.21955979840300002
ACH-000190,0.235080581972
ACH-000198,-0.14825677784299998
ACH-000204,-0.50981191655
ACH-000206,-0.15608584258
ACH-000207,-0.802843783731
ACH-000211,-0.247641244813
ACH-000215,-0.09321739840269999
ACH-000221,-0.0181373958833
ACH-000222,0.18479546371599997
ACH-000223,-0.121929603431
ACH-000226,-0.250181293415
ACH-000227,-0.167226455267
ACH-000228,-0.24771554705600002
ACH-000231,-0.0955306636474
ACH-000232,-0.153990413684
ACH-000233,-0.385030307302
ACH-000234,-0.198693938314
ACH-000235,-0.0442171921031
ACH-000237,-0.0626332183503
ACH-000238,-0.540409179501
ACH-000243,-0.104087045339
ACH-000244,0.16394719072699998
ACH-000246,0.207710032122
ACH-000248,-0.047081471359
ACH-000250,-0.057003669237599995
ACH-000251,-0.597949838006
ACH-000253,0.0350650485013
ACH-000255,-0.347742009759
ACH-000256,-0.553022288474
ACH-000257,0.177975986324
ACH-000258,0.109024266937
ACH-000259,-0.255666593349
ACH-000260,-0.22998639073899999
ACH-000261,-0.11471449412599999
ACH-000262,0.246831284714
ACH-000263,-0.435907689639
ACH-000264,0.16008165721200002
ACH-000265,-0.100117271363
ACH-000266,-0.40064425726999997
ACH-000272,-0.027248763507
ACH-000273,-0.0554386920393
ACH-000274,-0.32211732316799996
ACH-000277,-0.12587360165
ACH-000278,-0.301238764009
