,THOP1 (7064)
ACH-000004,-0.09092101359799999
ACH-000007,-0.109492826352
ACH-000009,-0.11806671328
ACH-000011,-0.382885316675
ACH-000012,-0.0715701127564
ACH-000013,-0.221662094401
ACH-000014,-0.122458949391
ACH-000015,-0.209752013264
ACH-000017,-0.38193920882
ACH-000018,-0.30821095556600003
ACH-000019,-0.123378882837
ACH-000021,-0.282901944853
ACH-000022,-0.16249242105999998
ACH-000025,-0.10080999168299999
ACH-000028,-0.0943252228182
ACH-000030,-0.168851255163
ACH-000035,-0.30582576061
ACH-000036,-0.19039058422200003
ACH-000037,0.143100610248
ACH-000039,0.0200102604712
ACH-000040,-0.09245030491350001
ACH-000041,-0.24628343361299998
ACH-000042,-0.250209656982
ACH-000045,-0.280959513811
ACH-000047,-0.119043458366
ACH-000052,-0.167958249958
ACH-000053,-0.151558754643
ACH-000054,-0.21674638850000003
ACH-000055,0.173302896398
ACH-000060,-0.287689654576
ACH-000067,-0.221040116222
ACH-000070,-0.222893541075
ACH-000075,-0.25862812519
ACH-000078,-0.175595093958
ACH-000082,-0.055141790085500006
ACH-000085,-0.135856843097
ACH-000086,-0.11661533545399999
ACH-000087,-0.243528969198
ACH-000092,-0.0264945934925
ACH-000095,-0.229592143109
ACH-000097,-0.284246421571
ACH-000098,-0.29540372651
ACH-000099,-0.277803878791
ACH-000108,-0.222441073029
ACH-000113,-0.30748683679600003
ACH-000115,-0.165356166148
ACH-000116,-0.06236348826859999
ACH-000118,-0.157908429963
ACH-000120,-0.200011341132
ACH-000123,-0.22763280771299998
ACH-000127,-0.24824378673300002
ACH-000128,-0.07057047883169999
ACH-000132,-0.199074497344
ACH-000133,-0.201157563279
ACH-000137,-0.422503332011
ACH-000138,-0.24668016652199998
ACH-000142,-0.21094630119199997
ACH-000143,-0.20414522292999998
ACH-000146,-0.142453721638
ACH-000148,-0.111436804552
ACH-000150,-0.182782842497
ACH-000152,-0.048412544146
ACH-000153,-0.179938189204
ACH-000159,-0.163188259359
ACH-000160,-0.0131156858317
ACH-000163,-0.0723292713766
ACH-000167,-0.174501030224
ACH-000168,-0.576352157507
ACH-000169,-0.11942196442099999
ACH-000178,-0.0408122906296
ACH-000182,-0.110761535902
ACH-000183,-0.378105630389
ACH-000188,-0.30472847315
ACH-000189,-0.481904378022
ACH-000190,-0.0808173458098
ACH-000198,-0.239260848127
ACH-000204,-0.111110118656
ACH-000206,-0.180609831365
ACH-000207,-0.272735680375
ACH-000211,-0.315481904674
ACH-000215,-0.173014320134
ACH-000221,-0.12924576356599998
ACH-000222,-0.218286967422
