,NEO1 (4756)
ACH-000004,-0.161978677821
ACH-000007,-0.0745340973306
ACH-000009,-0.252011292712
ACH-000011,0.07243625035189999
ACH-000012,-0.0177173097817
ACH-000013,-0.0766492851805
ACH-000014,-0.101958392673
ACH-000015,-0.161705115152
ACH-000017,-0.0503367800739
ACH-000018,-0.0899670629686
ACH-000019,-0.0474644628962
ACH-000021,0.0547936387986
ACH-000022,-0.237770681719
ACH-000025,-0.0220596853045
ACH-000028,0.0260557856226
ACH-000030,-0.061302805555800005
ACH-000035,0.035895651867100004
ACH-000036,0.17540271390999998
ACH-000037,-0.335723873859
ACH-000039,-0.394246838099
ACH-000040,0.026577682431799997
ACH-000041,-0.140311575473
ACH-000042,-0.190400974646
ACH-000045,-0.17955376618000002
ACH-000047,0.105218579329
ACH-000052,0.022388999208599998
ACH-000053,-0.10282543944599999
ACH-000054,-0.197942264296
ACH-000055,-0.165665272942
ACH-000060,0.10378220087300001
ACH-000067,0.168060506134
ACH-000070,-0.301409923998
ACH-000075,-0.22893023731999998
ACH-000078,-0.352577307971
ACH-000082,0.0544339608556
ACH-000085,0.280108324313
ACH-000086,-0.169562559134
ACH-000087,-0.0720896292197
ACH-000092,-0.103385470461
ACH-000095,0.00100855891167
ACH-000097,0.07163622605060001
ACH-000098,-0.012174065892000001
ACH-000099,-0.08279990509860001
ACH-000108,-0.325870276855
ACH-000113,-0.20963730099199998
ACH-000115,-0.27529843033
ACH-000116,-0.117187925666
ACH-000118,-0.29912290699099997
ACH-000120,-0.21129846390299997
ACH-000123,-0.10957883143899999
ACH-000127,-0.008528611349449999
ACH-000128,-0.053331593873300005
ACH-000132,-0.0543555448725
ACH-000133,-0.0092239480755
ACH-000137,-0.0450524748657
ACH-000138,-0.09277456363679999
ACH-000142,0.276477068801
ACH-000143,-0.047612438128000006
ACH-000146,-0.14767187990800001
ACH-000148,-0.13508581146
ACH-000150,-0.236446151074
ACH-000152,-0.10179403127
ACH-000153,-0.0818401784585
ACH-000159,-0.06236121019449999
ACH-000160,-0.0332231913094
ACH-000163,0.0106398952444
ACH-000167,0.000897923657172
ACH-000168,-0.245765977922
ACH-000169,-0.126574369799
ACH-000178,-0.15635850068399998
ACH-000182,-0.119619251444
ACH-000183,0.0287517789422
ACH-000188,-0.028038239524500002
