,CTDNEP1 (23399)
ACH-000004,-0.562303397158
ACH-000007,-0.11459092684200001
ACH-000009,-0.506956057929
ACH-000011,-0.228710245456
ACH-000012,-0.418641565269
ACH-000013,-0.559081382539
ACH-000014,-0.7697967236200001
ACH-000015,-0.53572345273
ACH-000017,-0.710610894455
ACH-000018,-0.754509850258
ACH-000019,-0.537461866301
ACH-000021,-0.58952890901
ACH-000022,-0.000252645143377
ACH-000025,-0.204762921785
ACH-000028,-0.60508993397
ACH-000030,-0.398577057742
ACH-000035,-0.48222068025799997
ACH-000036,-0.783006921133
ACH-000037,-0.781636863238
ACH-000039,-0.597482294647
ACH-000040,-0.43302768380900003
ACH-000041,-0.624988447187
ACH-000042,-0.425265893354
ACH-000045,-0.986840043852
ACH-000047,-0.17537599499099998
ACH-000052,-0.554664159431
ACH-000053,-0.040292372413199995
ACH-000054,-0.746775226351
ACH-000055,-0.17294185969099998
ACH-000060,-0.629877647842
ACH-000067,-1.2338613680700001
ACH-000070,-0.61602708766
ACH-000075,-0.731308968039
ACH-000078,-0.0127302074629
ACH-000082,-0.5242843853320001
ACH-000085,-0.408281701909
ACH-000086,-0.45507189054200003
ACH-000087,-0.545359102722
ACH-000092,-0.506703316669
ACH-000095,-0.1204201725
ACH-000097,-0.46210177503399996
ACH-000098,-0.7281654806100001
ACH-000099,-0.0845807768118
ACH-000108,-0.295218591061
ACH-000113,-0.634174076205
ACH-000115,-0.300588904225
ACH-000116,-0.584255162172
ACH-000118,-0.366107070797
ACH-000120,-0.66028631943
ACH-000123,-0.498972319307
ACH-000127,-0.28271845819499997
ACH-000128,-0.753375567402
ACH-000132,-0.20098676300700002
ACH-000133,-0.679989028311
ACH-000137,-0.35687134221999994
ACH-000138,-0.321265832003
ACH-000142,-1.34010241144
ACH-000143,-0.44828426853
ACH-000146,-0.900945620212
ACH-000148,-0.541258014855
ACH-000150,-0.819425164074
ACH-000152,-1.13632315044
ACH-000153,-0.692791584929
ACH-000159,-0.307250560151
ACH-000160,-0.241372335269
ACH-000163,-0.891418012526
ACH-000167,-0.593918888674
ACH-000168,-0.961163882182
ACH-000169,-0.581891366749
ACH-000178,-0.834974169531
ACH-000182,-0.516162236168
ACH-000183,-0.745835575668
ACH-000188,-0.815504919266
ACH-000189,-0.48963839075599996
ACH-000190,-0.821880400906
ACH-000198,-0.880907032341
ACH-000204,-0.6914211214820001
ACH-000206,-0.7002227172259999
ACH-000207,-0.492286939554
ACH-000211,-0.303802276948
ACH-000215,-0.9618752584479999
ACH-000221,-0.452379662455
