,MROH2B (133558)
ACH-000004,0.272428289339
ACH-000007,0.138354043486
ACH-000009,0.201627636765
ACH-000011,0.183927412075
ACH-000012,0.294989164405
ACH-000013,0.25475247147
ACH-000014,0.29591321561
ACH-000015,0.324950133155
ACH-000017,0.283887811708
ACH-000018,0.151060584804
ACH-000019,0.506794453399
ACH-000021,0.37730289739399997
ACH-000022,0.198312709923
ACH-000025,0.397632314485
ACH-000028,0.21610794548300002
ACH-000030,0.41389252618199995
ACH-000035,0.258524586479
ACH-000036,0.108148543477
ACH-000037,0.321419295239
ACH-000039,0.25460188146699997
ACH-000040,0.34105418483800004
ACH-000041,0.21646983706
ACH-000042,0.0526602257615
ACH-000045,0.390171595475
ACH-000047,0.251848739639
ACH-000052,0.149904783728
ACH-000053,0.230823954283
ACH-000054,0.211586461113
ACH-000055,0.167638000817
ACH-000060,0.334943295944
ACH-000067,0.162445056356
ACH-000070,0.310811390121
ACH-000075,0.183088038852
ACH-000078,0.41771012098800003
ACH-000082,0.23777127101999998
ACH-000085,0.325920862425
ACH-000086,0.267793441274
ACH-000087,0.251345617488
ACH-000092,0.269362337533
ACH-000095,0.1680680266
ACH-000097,0.09075585361810001
ACH-000098,0.280078723126
ACH-000099,0.214470330282
ACH-000108,0.0676807860888
ACH-000113,0.159969951076
ACH-000115,0.35282869328
ACH-000116,0.25549874892700003
ACH-000118,0.15966812414200002
ACH-000120,0.18022403525400002
ACH-000123,0.148062536977
ACH-000127,0.177926169999
ACH-000128,0.297028293777
ACH-000132,0.150210806255
ACH-000133,0.0560727385724
ACH-000137,0.331564397194
ACH-000138,0.24931037465599998
ACH-000142,0.342963115413
ACH-000143,0.05655959419269999
ACH-000146,0.176396967916
ACH-000148,0.10648871573799999
ACH-000150,0.238340006761
ACH-000152,0.14902146987099998
ACH-000153,0.427183503831
ACH-000159,0.21581306457199997
ACH-000160,0.32759589368500003
ACH-000163,0.238190236312
ACH-000167,0.339927844188
ACH-000168,0.216393407575
ACH-000169,0.25697595057399997
ACH-000178,0.13835170632899998
ACH-000182,0.17444674784000003
ACH-000183,0.243326270721
ACH-000188,0.49209161154500003
ACH-000189,0.324803556042
ACH-000190,0.413416541322
ACH-000198,0.224880819663
ACH-000204,0.469391738616
ACH-000206,0.335859617289
ACH-000207,0.498073040423
ACH-000211,0.167962123361
ACH-000215,0.15076463789300001
ACH-000221,0.12165711054000002
ACH-000222,0.243027625322
ACH-000223,0.309665107431
ACH-000226,0.23378076931800001
ACH-000227,0.303882985698
ACH-000228,0.393890195107
ACH-000231,0.333938363567
ACH-000232,0.217514723867
ACH-000233,0.473357830476
ACH-000234,0.359860623665
ACH-000235,0.16580372871
ACH-000237,0.200355692769
ACH-000238,0.399013967707
ACH-000243,0.281869629048
ACH-000244,0.371733729453
ACH-000246,0.175401044366
ACH-000248,0.300325514992
ACH-000250,0.368491892909
ACH-000251,0.197148958192
