,TBCC (6903)
ACH-000004,-1.04523896919
ACH-000007,-1.52791494938
ACH-000009,-0.891686585554
ACH-000011,-1.4446723770899998
ACH-000012,-1.22259308749
ACH-000013,-1.31270153205
ACH-000014,-0.8041965392899999
ACH-000015,-0.966199414234
ACH-000017,-1.4053570837399998
ACH-000018,-1.23352941997
ACH-000019,-1.08223356271
ACH-000021,-0.9887893234980001
ACH-000022,-1.10260308676
ACH-000025,-0.989110950969
ACH-000028,-0.9949784226799999
ACH-000030,-1.14341456207
ACH-000035,-1.1412779512200002
ACH-000036,-1.1511691341399999
ACH-000037,-0.5153878881639999
ACH-000039,-1.05213223559
ACH-000040,-1.07113092418
ACH-000041,-0.930165868558
ACH-000042,-1.1067748393899999
ACH-000045,-1.30909631316
ACH-000047,-1.0361606860500001
ACH-000052,-1.28279248335
ACH-000053,-1.39106294537
ACH-000054,-1.1865946665
ACH-000055,-0.9949492055050001
ACH-000060,-1.01379932875
ACH-000067,-0.978915954835
ACH-000070,-1.1728543548600001
ACH-000075,-1.02460625018
ACH-000078,-0.817372193421
ACH-000082,-1.37834336558
ACH-000085,-1.0845446214799999
ACH-000086,-0.9808824061570001
ACH-000087,-1.1708244203799998
ACH-000092,-0.8974906941099999
ACH-000095,-1.13978538562
ACH-000097,-1.2670646199
ACH-000098,-0.9106192720399999
ACH-000099,-0.968419655225
ACH-000108,-1.18879029216
ACH-000113,-1.22427103506
ACH-000115,-1.71245471121
ACH-000116,-1.3921617954199998
ACH-000118,-1.3911671169799997
ACH-000120,-1.07537454879
ACH-000123,-1.09433777286
ACH-000127,-1.13305307237
ACH-000128,-1.09746552674
ACH-000132,-1.3898624544100002
ACH-000133,-1.1861049054700001
ACH-000137,-1.21268546067
ACH-000138,-0.956142208498
ACH-000142,-1.1848302419
ACH-000143,-1.11385407866
ACH-000146,-1.17591734139
ACH-000148,-1.1415789961299998
ACH-000150,-0.9397368821400001
ACH-000152,-0.910783988301
ACH-000153,-1.03093364499
ACH-000159,-1.21801163298
ACH-000160,-1.24848273099
ACH-000163,-1.1736873010200002
ACH-000167,-1.5399362714700002
ACH-000168,-1.34709205965
ACH-000169,-1.23233849929
ACH-000178,-1.15608437468
ACH-000182,-0.897994914824
ACH-000183,-1.33870120733
ACH-000188,-1.12048611686
ACH-000189,-0.798190619707
ACH-000190,-1.11540606269
ACH-000198,-1.09313358735
ACH-000204,-1.11984799565
ACH-000206,-1.17129723948
ACH-000207,-1.34325942111
ACH-000211,-1.3086671352600001
ACH-000215,-0.890707487661
ACH-000221,-0.971508004699
ACH-000222,-1.28611251406
ACH-000223,-1.16929364736
ACH-000226,-0.9859545593979999
ACH-000227,-0.8556173984819999
ACH-000228,-1.5305578050100002
ACH-000231,-1.04428962927
ACH-000232,-1.14030308278
ACH-000233,-1.32173046135
ACH-000234,-0.575967442479
ACH-000235,-1.2233471335
ACH-000237,-0.9605870978859999
ACH-000238,-1.4153139939300001
ACH-000243,-1.18466233741
ACH-000244,-1.55672524613
ACH-000246,-1.13150066318
ACH-000248,-1.1348861370799999
ACH-000250,-1.3581597600100002
ACH-000251,-0.813548218867
ACH-000253,-0.706726914439
ACH-000255,-1.0823069297
ACH-000256,-0.9383479413629999
ACH-000257,-1.1570338736599999
ACH-000258,-1.11436408955
ACH-000259,-1.2415398617
ACH-000260,-1.11978363366
ACH-000261,-1.17623899288
ACH-000262,-0.946480357518
ACH-000263,-1.27170072616
ACH-000264,-1.3838910043200001
ACH-000265,-1.1076073008299998
ACH-000266,-1.01662837191
ACH-000272,-0.918719179964
ACH-000273,-1.03269164854
ACH-000274,-1.09408491701
ACH-000277,-0.986482690243
ACH-000278,-1.05937787629
ACH-000279,-0.926416189974
ACH-000280,-1.07567927473
ACH-000281,-0.824256643039
ACH-000288,-0.9892488685349999
ACH-000291,-1.13114846615
ACH-000293,-1.41487672144
