,GUCA2A (2980)
ACH-000004,-0.369033199401
ACH-000007,-0.18020321412700002
ACH-000009,-0.266245453497
ACH-000011,-0.47338999905699997
ACH-000012,-0.142677856011
ACH-000013,-0.436266040932
ACH-000014,-0.117750731441
ACH-000015,-0.37242873529700005
ACH-000017,-0.21428275277399997
ACH-000018,-0.412221812214
ACH-000019,-0.379995921842
ACH-000021,-0.253776579755
ACH-000022,-0.249604081508
ACH-000025,-0.299197381389
ACH-000028,-0.08294329837460002
ACH-000030,-0.239382271351
ACH-000035,-0.448367688397
ACH-000036,-0.20083370336599998
ACH-000037,-0.271741081125
ACH-000039,-0.233178254649
ACH-000040,-0.269876533939
ACH-000041,-0.126469207163
ACH-000042,-0.33845245419299996
ACH-000045,-0.21563862687600002
ACH-000047,-0.24930229983000002
ACH-000052,-0.445636142019
ACH-000053,-0.344117838929
ACH-000054,-0.537381987646
ACH-000055,-0.2573425803
ACH-000060,-0.5205741342419999
ACH-000067,-0.28452029324
ACH-000070,-0.15339971367799998
ACH-000075,-0.356969635206
ACH-000078,-0.07133913892730001
ACH-000082,-0.233993346613
ACH-000085,-0.52856770712
ACH-000086,-0.35100419991
ACH-000087,-0.396093404524
ACH-000092,-0.411171953307
ACH-000095,-0.31636070071899997
ACH-000097,-0.306973226309
ACH-000098,-0.419211863105
ACH-000099,-0.353551320862
ACH-000108,-0.281641464587
ACH-000113,-0.144072163535
ACH-000115,-0.0829539072623
ACH-000116,-0.356395539689
ACH-000118,-0.32479775605
ACH-000120,-0.187225343176
ACH-000123,-0.26164308393
ACH-000127,-0.124674323632
ACH-000128,-0.29039314394
ACH-000132,-0.268131200039
ACH-000133,-0.547519387292
ACH-000137,-0.623704227352
ACH-000138,-0.292339820679
ACH-000142,-0.560111526532
ACH-000143,-0.353683872286
ACH-000146,-0.366773487503
ACH-000148,-0.289711926555
ACH-000150,-0.487011968345
ACH-000152,-0.306278756604
ACH-000153,-0.31375550524900003
ACH-000159,-0.240301965024
ACH-000160,-0.45283338067900003
ACH-000163,-0.203819960997
ACH-000167,-0.523091129459
ACH-000168,0.035725219420199995
ACH-000169,-0.39695793288900005
ACH-000178,-0.32620989849599996
ACH-000182,-0.271040918433
ACH-000183,-0.300981082389
ACH-000188,-0.532214035488
ACH-000189,0.103402082514
ACH-000190,-0.5468920240039999
ACH-000198,-0.17989193583299998
ACH-000204,-0.476524120959
ACH-000206,-0.153830296889
ACH-000207,-0.301150902979
ACH-000211,-0.299099636542
ACH-000215,-0.27386803541
ACH-000221,-0.260159437546
ACH-000222,-0.386090388971
ACH-000223,-0.35168359705799995
ACH-000226,-0.38382873843000004
ACH-000227,-0.297530409106
ACH-000228,-0.12049246509400001
ACH-000231,-0.319733213855
ACH-000232,-0.282410132497
ACH-000233,-0.421889970115
ACH-000234,-0.225514272659
ACH-000235,-0.210001411706
ACH-000237,-0.261101710835
ACH-000238,-0.747998856644
ACH-000243,-0.333557766427
ACH-000244,-0.282564238752
ACH-000246,-0.300254375494
ACH-000248,-0.19894141774399998
ACH-000250,-0.425295113918
ACH-000251,-0.630137323936
ACH-000253,-0.543532386543
ACH-000255,-0.339070418495
ACH-000256,-0.368356891019
ACH-000257,-0.477721420758
ACH-000258,-0.399906148206
ACH-000259,-0.428064063099
ACH-000260,-0.197903606835
ACH-000261,-0.45501043425800003
ACH-000262,-0.11007635411599999
ACH-000263,-0.455099099411
ACH-000264,-0.48306728686800005
ACH-000265,-0.0238775553945
ACH-000266,-0.218221015132
ACH-000272,-0.441898206844
ACH-000273,-0.29936847596
ACH-000274,-0.5885595050410001
ACH-000277,-0.063488994311
ACH-000278,-0.37327723398100005
