,CSTF3 (1479)
ACH-000004,-0.748117840649
ACH-000007,-1.1358431641
ACH-000009,-0.831910527227
ACH-000011,-1.2393549928299998
ACH-000012,-0.780065040757
ACH-000013,-0.928172040003
ACH-000014,-0.92315262126
ACH-000015,-0.7657067544249999
ACH-000017,-1.3476454260600002
ACH-000018,-0.753849282754
ACH-000019,-1.14821242157
ACH-000021,-0.98605047199
ACH-000022,-0.7879570198579999
ACH-000025,-0.887324204651
ACH-000028,-0.903453696436
ACH-000030,-0.975809351787
ACH-000035,-1.2259880624
ACH-000036,-0.9366026281470001
ACH-000037,-0.630877773146
ACH-000039,-1.28770829797
ACH-000040,-1.27582698258
ACH-000041,-1.2123554442
ACH-000042,-0.9555500146629999
ACH-000045,-1.18346206695
ACH-000047,-0.849341425949
ACH-000052,-0.763499730893
ACH-000053,-1.16617818561
ACH-000054,-0.9720904209819999
ACH-000055,-1.17282049206
ACH-000060,-0.9198557525450001
ACH-000067,-1.0189686335200001
ACH-000070,-1.09420337537
ACH-000075,-0.964278901316
ACH-000078,-0.958080983634
ACH-000082,-1.1296490832100001
ACH-000085,-0.9727123820829999
ACH-000086,-0.7457711220829999
ACH-000087,-1.06981687625
ACH-000092,-0.9346534369830001
ACH-000095,-1.01162973051
ACH-000097,-0.890725723602
ACH-000098,-0.951992940829
ACH-000099,-1.38588346739
ACH-000108,-0.7480705439800001
ACH-000113,-0.8230071660349999
ACH-000115,-0.9711369654559999
ACH-000116,-1.00887946873
ACH-000118,-1.03072637604
ACH-000120,-1.27291088813
ACH-000123,-1.00788736305
ACH-000127,-0.9264978190790001
ACH-000128,-0.7608286145190001
ACH-000132,-1.06884790505
ACH-000133,-0.910839849154
ACH-000137,-0.895993249963
ACH-000138,-1.09285771892
ACH-000142,-1.18088467031
ACH-000143,-1.05935149732
ACH-000146,-0.977106935457
ACH-000148,-1.0724504173799998
ACH-000150,-0.8405157952429999
ACH-000152,-0.544921001885
ACH-000153,-1.06472096822
ACH-000159,-1.1203646896200001
ACH-000160,-0.514249145754
ACH-000163,-1.16222984796
ACH-000167,-0.731347697223
ACH-000168,-1.50308726514
ACH-000169,-0.9898987797409999
ACH-000178,-1.03365553309
ACH-000182,-0.8638706359389999
ACH-000183,-1.245328352
ACH-000188,-0.7668647152
ACH-000189,-1.28267132615
ACH-000190,-0.869507800376
ACH-000198,-1.13378021838
ACH-000204,-1.0335568846799998
ACH-000206,-1.37016510067
ACH-000207,-0.9215298235349999
ACH-000211,-0.658376786549
ACH-000215,-0.9337642938299998
ACH-000221,-0.703387192095
ACH-000222,-0.707962263764
ACH-000223,-1.1854171664700002
ACH-000226,-1.02761644454
ACH-000227,-0.919506663193
ACH-000228,-0.5387359172439999
ACH-000231,-1.3132873840700001
ACH-000232,-1.17390900918
ACH-000233,-1.3171639037799998
ACH-000234,-0.963722417958
ACH-000235,-0.767217306846
ACH-000237,-0.923485791757
ACH-000238,-0.811023060554
ACH-000243,-0.979659135394
ACH-000244,-0.959735998844
ACH-000246,-1.12566169526
ACH-000248,-0.9118219616519999
ACH-000250,-1.0991809704200002
ACH-000251,-0.994835749826
ACH-000253,-0.714776107863
ACH-000255,-0.73098230859
ACH-000256,-1.29337515887
ACH-000257,-0.791771229937
ACH-000258,-1.2817475248899999
ACH-000259,-1.09192756832
ACH-000260,-1.1011733883600001
ACH-000261,-1.13139928482
ACH-000262,-0.891339320411
ACH-000263,-0.825320970049
ACH-000264,-1.0266103789299998
ACH-000265,-0.7501235430650001
ACH-000266,-0.548500481567
ACH-000272,-1.0982638199299999
ACH-000273,-0.967331050987
ACH-000274,-1.3742798513299999
ACH-000277,-1.05752400244
ACH-000278,-1.1020073639399999
ACH-000279,-1.0375378288600001
ACH-000280,-0.7802190768870001
ACH-000281,-0.677314760787
ACH-000288,-1.1214906358
ACH-000291,-1.0252447923399999
ACH-000293,-0.859907649365
ACH-000294,-0.915681059314
ACH-000295,-0.859867181162
ACH-000296,-0.9098276111470001
ACH-000302,-0.892395636933
ACH-000304,-0.953810613273
ACH-000307,-0.8719514447139999
ACH-000308,-1.23060457949
ACH-000310,-1.21114768532
ACH-000311,-1.25827465202
ACH-000312,-0.886572641768
ACH-000315,-1.1857879548299999
ACH-000316,-1.05047987866
ACH-000317,-0.936558224226
ACH-000318,-1.1257879452500001
ACH-000319,-1.0701830959999998
ACH-000320,-1.06240320112
