,POLR3K (51728)
ACH-000004,-1.5740852322299999
ACH-000007,-1.73255667591
ACH-000009,-1.63922240008
ACH-000011,-1.4710770730399998
ACH-000012,-1.5928635791499999
ACH-000013,-1.9168289059099999
ACH-000014,-1.6676364212900001
ACH-000015,-1.8722861919099998
ACH-000017,-1.86272773949
ACH-000018,-1.28093812155
ACH-000019,-1.5354369948299997
ACH-000021,-1.61479277838
ACH-000022,-1.93788464616
ACH-000025,-1.5401217499200002
ACH-000028,-1.4657397610499998
ACH-000030,-1.45568061553
ACH-000035,-1.34138883797
ACH-000036,-1.3894522055
ACH-000037,-0.897914379025
ACH-000039,-1.8107432769
ACH-000040,-1.35676677338
ACH-000041,-1.5651778033300001
ACH-000042,-1.58364760296
ACH-000045,-1.8705062364200002
ACH-000047,-1.5554097634600001
ACH-000052,-1.63052175294
ACH-000053,-1.48221827748
ACH-000054,-1.63116195678
ACH-000055,-1.48469499262
ACH-000060,-1.8294386399200002
ACH-000067,-1.67687282692
ACH-000070,-1.58541857171
ACH-000075,-1.53737962391
ACH-000078,-1.54118709812
ACH-000082,-1.89843310743
ACH-000085,-1.38815358197
ACH-000086,-1.39936615759
ACH-000087,-1.62215860811
ACH-000092,-1.3830094025600002
ACH-000095,-1.6180848089300002
ACH-000097,-1.60323958764
ACH-000098,-1.59147123643
ACH-000099,-1.5716542034299998
ACH-000108,-1.5804718414899999
ACH-000113,-1.82545359893
ACH-000115,-1.49231939813
ACH-000116,-1.5258549805500001
ACH-000118,-1.41052062829
ACH-000120,-1.68047416175
ACH-000123,-1.42024400633
ACH-000127,-1.61023398277
ACH-000128,-1.47561288139
ACH-000132,-1.6735621877000002
ACH-000133,-1.25676365713
ACH-000137,-1.79427975348
ACH-000138,-1.66988400902
ACH-000142,-1.32037649033
ACH-000143,-1.68933717192
ACH-000146,-1.76610616375
ACH-000148,-1.74968519975
ACH-000150,-1.5860663765799998
ACH-000152,-1.43485038135
ACH-000153,-1.7858224826099998
ACH-000159,-1.56382852907
ACH-000160,-1.0744424907899999
ACH-000163,-1.54112853521
ACH-000167,-1.7409517462900002
ACH-000168,-1.8931986977700002
ACH-000169,-1.53318981051
ACH-000178,-1.5469148966400001
ACH-000182,-1.7366417911099996
ACH-000183,-1.53849544373
ACH-000188,-1.57925199219
ACH-000189,-1.5492347612900002
ACH-000190,-1.28906854923
ACH-000198,-1.41193178166
ACH-000204,-1.44579850551
ACH-000206,-2.0715244512799997
ACH-000207,-1.78811447131
ACH-000211,-1.55887985536
ACH-000215,-1.37329800495
ACH-000221,-1.6104853161500001
ACH-000222,-1.62073455399
ACH-000223,-1.5471174848700002
ACH-000226,-1.47249504257
ACH-000227,-1.11760191782
ACH-000228,-1.44940952764
ACH-000231,-1.54185810881
ACH-000232,-1.5695106864300001
ACH-000233,-1.9341893611400003
ACH-000234,-1.36051621373
ACH-000235,-1.4741151691999999
ACH-000237,-1.89400221565
ACH-000238,-1.47465396325
ACH-000243,-1.59304761758
ACH-000244,-1.6029299960499999
ACH-000246,-1.34984744317
ACH-000248,-1.5710906070100001
ACH-000250,-1.5559268774000001
ACH-000251,-1.8660356389700001
ACH-000253,-1.5337223948199998
ACH-000255,-1.51057200486
ACH-000256,-1.7530125135900003
ACH-000257,-1.42235917728
ACH-000258,-1.55465462145
ACH-000259,-1.67887874036
ACH-000260,-1.70915946454
ACH-000261,-1.20093896539
ACH-000262,-1.31073511031
ACH-000263,-1.48896181764
ACH-000264,-1.25527453702
ACH-000265,-1.65898018839
ACH-000266,-1.7798268369299999
ACH-000272,-1.4620579805200002
ACH-000273,-1.5965980013799999
ACH-000274,-1.50980478722
ACH-000277,-1.91568098945
ACH-000278,-1.8190468970200002
ACH-000279,-1.8192332836000003
ACH-000280,-1.8652208933599999
ACH-000281,-1.60112705523
ACH-000288,-1.66955323209
ACH-000291,-1.5768019654499998
ACH-000293,-1.73093452968
ACH-000294,-2.16539124268
ACH-000295,-1.84217641246
ACH-000296,-1.9301071964400003
ACH-000302,-1.53352658287
ACH-000304,-1.3713578838
ACH-000307,-1.6628994378200002
ACH-000308,-1.7157765162
ACH-000310,-1.0319008061900001
ACH-000311,-1.80925649396
ACH-000312,-1.49990352336
ACH-000315,-1.58574685456
ACH-000316,-1.62273044389
ACH-000317,-1.4223332957400001
ACH-000318,-1.8990448819599999
ACH-000319,-1.79257809975
ACH-000320,-1.56182937079
ACH-000322,-1.69036385617
ACH-000323,-1.70854947029
ACH-000324,-1.56621897183
ACH-000329,-1.45776203022
ACH-000330,-1.4012162454
ACH-000331,-1.2929541391500001
ACH-000332,-1.77800485468
ACH-000334,-1.28966286238
ACH-000335,-1.58232812502
ACH-000336,-1.58246863615
ACH-000337,-1.3946616540799999
ACH-000339,-1.5442384851700002
ACH-000341,-1.14688767331
ACH-000348,-1.4318178870200002
ACH-000350,-2.15348599259
ACH-000352,-1.70172736162
ACH-000356,-1.66308534815
ACH-000361,-1.8148115364
ACH-000362,-1.68576742472
ACH-000363,-1.27215879256
ACH-000364,-1.6233545229
ACH-000365,-1.79746547217
ACH-000366,-1.38004881721
ACH-000368,-1.6204237343099999
ACH-000374,-1.52651501072
ACH-000375,-1.6072287995200003
ACH-000376,-1.21285013868
ACH-000381,-1.82134395061
ACH-000383,-1.5512635740600003
ACH-000387,-1.64788958459
ACH-000389,-1.7027175719499998
ACH-000390,-1.77196310426
ACH-000393,-1.79032015292
ACH-000395,-1.4151531599399998
ACH-000397,-1.5076173791499998
ACH-000401,-1.79616244943
ACH-000402,-1.50305742792
ACH-000403,-1.88843514092
ACH-000404,-1.5491262682299998
ACH-000406,-1.9669529245500001
ACH-000407,-1.1919931284
ACH-000408,-1.79282380271
ACH-000410,-1.60439132127
ACH-000411,-1.60197182194
ACH-000414,-1.6911108747299999
ACH-000415,-1.9011513053799998
ACH-000416,-1.4922062999899999
ACH-000420,-1.67823648023
ACH-000421,-1.70398088028
ACH-000424,-1.90680456917
ACH-000425,-1.64887238178
ACH-000426,-1.7940830601599997
ACH-000427,-1.368684763
ACH-000433,-1.7462649271400001
ACH-000436,-1.65390364842
ACH-000444,-1.52499247799
ACH-000445,-1.3526851654799998
ACH-000448,-1.44058980742
ACH-000450,-2.12073190594
ACH-000452,-1.73173904527
ACH-000454,-1.7462242481599999
ACH-000458,-1.48280891986
ACH-000459,-2.6774340512
ACH-000460,-1.55393693442
ACH-000461,-1.71993132325
ACH-000463,-1.5303573156
ACH-000464,-1.25536491996
ACH-000466,-1.85060511426
ACH-000467,-1.3336042880399999
ACH-000468,-1.92217248556
ACH-000469,-1.5942792079700001
ACH-000470,-1.56212827396
ACH-000471,-1.6815014520700002
ACH-000472,-1.8347235595700002
ACH-000473,-1.77299650287
ACH-000475,-1.6747917479299999
ACH-000476,-1.76120906591
ACH-000477,-1.85052557695
