,PHKB (5257)
ACH-000004,-0.119799785767
ACH-000007,-0.0921006810442
ACH-000009,-0.102983472885
ACH-000011,-0.253126665852
ACH-000012,-0.16957513960099999
ACH-000013,-0.0346974984944
ACH-000014,-0.0637395956303
ACH-000015,-0.132164952985
ACH-000017,0.016478075765799998
ACH-000018,-0.103871548179
ACH-000019,-0.0483250718858
ACH-000021,-0.197327378819
ACH-000022,0.0366113295898
ACH-000025,0.044709992880800006
ACH-000028,0.0114017987989
ACH-000030,-0.0237796319814
ACH-000035,-0.107849768599
ACH-000036,-0.192783689934
ACH-000037,-0.397705062038
ACH-000039,-0.0388954393419
ACH-000040,-0.023075199719500002
ACH-000041,0.09034572913389999
ACH-000042,-0.033121772097
ACH-000045,-0.15198199979399998
ACH-000047,-0.00753341440403
ACH-000052,-0.314611084933
ACH-000053,-0.205927391939
ACH-000054,-0.133538284415
ACH-000055,-0.0398634393203
ACH-000060,0.132234502032
ACH-000067,-0.0757621752734
ACH-000070,-0.131396123959
ACH-000075,-0.39565360668099997
ACH-000078,0.04747324829030001
ACH-000082,-0.18573700447099997
ACH-000085,-0.300371840958
ACH-000086,-0.0533623596997
ACH-000087,0.0722807395785
ACH-000092,-0.06325212513140001
ACH-000095,-0.106016332759
ACH-000097,-0.14308418528
ACH-000098,-0.0663264404078
ACH-000099,-0.0562038347566
ACH-000108,0.0685193778804
ACH-000113,-0.09004138868560001
ACH-000115,0.0407938230272
ACH-000116,-0.0212789231113
ACH-000118,-0.135006666375
ACH-000120,-0.034660222809199996
ACH-000123,-0.114052385804
ACH-000127,-0.012615752591200001
ACH-000128,-0.0377572404723
ACH-000132,-0.115177711068
ACH-000133,-0.325303670255
ACH-000137,-0.347134413601
ACH-000138,-0.0335374084962
ACH-000142,-0.191849330392
ACH-000143,-0.148997461697
ACH-000146,-0.09668431269719999
ACH-000148,-0.0528259618764
ACH-000150,0.148532046587
ACH-000152,-0.23293646861099998
ACH-000153,-0.503840533071
ACH-000159,-0.135563949739
ACH-000160,-0.00465740364666
ACH-000163,-0.025769374116799998
ACH-000167,-0.0619505114466
ACH-000168,-0.191112898904
ACH-000169,-0.13558570092
ACH-000178,-0.090720076208
ACH-000182,-0.0495096933048
ACH-000183,-0.0687841581293
ACH-000188,-0.0660278563033
ACH-000189,-0.291830118265
ACH-000190,-0.09758495165989998
ACH-000198,-0.0708082957694
ACH-000204,-0.254645070986
ACH-000206,-0.256345037936
ACH-000207,0.03892033124930001
ACH-000211,-0.187825525874
ACH-000215,-0.030001136046700003
ACH-000221,-0.0207955073539
ACH-000222,0.10598832545
ACH-000223,0.0237035996417
ACH-000226,0.03601485801919999
ACH-000227,-0.061448775405599995
ACH-000228,0.142354017347
ACH-000231,-0.025667192442
ACH-000232,-0.0125172390298
ACH-000233,0.047445106621500005
ACH-000234,0.00025191068231999997
ACH-000235,-0.0806454620736
ACH-000237,-0.178398301695
ACH-000238,0.0333573703598
ACH-000243,-0.09548074349860002
ACH-000244,-0.17559808079300002
ACH-000246,-0.120969322881
ACH-000248,-0.0141921307438
ACH-000250,-0.017430510473900002
ACH-000251,0.217774974043
ACH-000253,0.00788182334799
ACH-000255,-0.210648326706
ACH-000256,0.024971770204599997
ACH-000257,-0.23510016605099998
ACH-000258,0.017404020283299997
ACH-000259,-0.0115846009651
ACH-000260,-0.181460131433
ACH-000261,-0.164837165801
ACH-000262,-0.011393576256799999
ACH-000263,-0.09722585646080001
ACH-000264,-0.281535691036
ACH-000265,0.103675974581
ACH-000266,-0.150754051188
ACH-000272,0.028593637270400003
ACH-000273,0.10764741861800001
ACH-000274,-0.0358590381404
ACH-000277,0.0274099946673
ACH-000278,-0.0693416404248
ACH-000279,-0.06365834473519999
ACH-000280,-0.010906466807699999
ACH-000281,0.0387838096386
ACH-000288,-0.07779689462989998
ACH-000291,0.0398642488729
ACH-000293,-0.101849345846
ACH-000294,-0.152732020217
ACH-000295,-0.37959263184500003
ACH-000296,0.18351147087699998
ACH-000302,-0.0421955529898
ACH-000304,0.0265251398343
ACH-000307,0.0104145072415
ACH-000308,-0.13003341006799998
ACH-000310,-0.32081918100699996
ACH-000311,-0.08559353078910001
ACH-000312,0.034007318091500004
ACH-000315,-0.259857939235
ACH-000316,-0.11513978054400001
ACH-000317,-0.07031263329939999
ACH-000318,0.0250816467804
ACH-000319,-0.140536855173
ACH-000320,-0.0745399506481
ACH-000322,-0.0948593646827
ACH-000323,0.032917125165400005
ACH-000324,0.0572646620835
ACH-000329,-0.0385076524045
ACH-000330,-0.14922924664599999
ACH-000331,0.0308689632306
ACH-000332,-0.0891638438656
