,DARS (1615)
ACH-000004,-1.04355941394
ACH-000007,-0.992874236878
ACH-000009,-1.08857170984
ACH-000011,-0.987895435409
ACH-000012,-1.21533605983
ACH-000013,-1.16417149093
ACH-000014,-1.04423090577
ACH-000015,-1.00350587212
ACH-000017,-1.2239519208299998
ACH-000018,-1.2896309656
ACH-000019,-1.15193530168
ACH-000021,-1.1550571904200002
ACH-000022,-1.12829769155
ACH-000025,-1.18863758195
ACH-000028,-1.0969379329
ACH-000030,-1.1163016744
ACH-000035,-1.0521217793200002
ACH-000036,-0.9657295064700001
ACH-000037,-1.3376699124200002
ACH-000039,-1.5138571568299999
ACH-000040,-1.15625215421
ACH-000041,-1.21144152671
ACH-000042,-1.0985726631100001
ACH-000045,-1.00651438747
ACH-000047,-1.12131900044
ACH-000052,-1.14547721411
ACH-000053,-1.0998870611700002
ACH-000054,-1.4244577034700001
ACH-000055,-1.23194318301
ACH-000060,-0.8201140663169999
ACH-000067,-1.03809383146
ACH-000070,-1.2533546024200002
ACH-000075,-1.2797083334100001
ACH-000078,-1.18933704054
ACH-000082,-1.3601124177500001
ACH-000085,-1.2854773301
ACH-000086,-1.24089571362
ACH-000087,-1.3112863605399998
ACH-000092,-1.05843177206
ACH-000095,-1.23108902605
ACH-000097,-1.33016135435
ACH-000098,-1.23841141242
ACH-000099,-1.37238308956
ACH-000108,-1.10438129475
ACH-000113,-1.20021189979
ACH-000115,-1.19165866979
ACH-000116,-1.11737643902
ACH-000118,-0.8823018662909999
ACH-000120,-1.0883121532100002
ACH-000123,-1.06762911686
ACH-000127,-1.22582718529
ACH-000128,-1.2398934166
ACH-000132,-1.10864135474
ACH-000133,-1.1282882378599999
ACH-000137,-1.1705396934299999
ACH-000138,-1.06581354299
ACH-000142,-1.01576176107
ACH-000143,-1.1284518646
ACH-000146,-1.3765589574500001
ACH-000148,-1.3461770739399999
ACH-000150,-0.7598634647750001
ACH-000152,-1.25627560131
ACH-000153,-0.911975934109
ACH-000159,-1.3173289651
ACH-000160,-1.48498604866
ACH-000163,-1.1861782147600002
ACH-000167,-1.5385780917899998
ACH-000168,-1.1831874629799999
ACH-000169,-1.1601443954600001
ACH-000178,-1.1661084442799998
ACH-000182,-1.1482586157799999
ACH-000183,-1.0603401010100002
ACH-000188,-0.960216980424
ACH-000189,-0.82459656304
ACH-000190,-1.2785134836399998
ACH-000198,-0.9718474429100001
ACH-000204,-1.27166751152
ACH-000206,-1.4174844844299999
ACH-000207,-1.52643688613
ACH-000211,-1.22980642937
ACH-000215,-1.0709537476100002
ACH-000221,-1.54396595565
ACH-000222,-0.864951303835
ACH-000223,-1.18410023261
ACH-000226,-1.2644595612799998
ACH-000227,-1.12325260494
ACH-000228,-0.9810381969799999
ACH-000231,-1.4101244593200002
ACH-000232,-1.13627845958
ACH-000233,-1.0312195988200001
ACH-000234,-1.19140679674
ACH-000235,-1.18868826948
ACH-000237,-1.22274271615
ACH-000238,-1.05959665783
ACH-000243,-1.0751925257500001
ACH-000244,-1.29086443883
ACH-000246,-1.0578203794299998
ACH-000248,-1.30909656421
ACH-000250,-0.996926385601
ACH-000251,-0.554594026913
ACH-000253,-1.26836264108
ACH-000255,-1.09375074783
ACH-000256,-1.13086616078
ACH-000257,-1.32210355019
ACH-000258,-1.13315022984
ACH-000259,-1.29173545439
ACH-000260,-1.03046428471
ACH-000261,-1.47770295847
ACH-000262,-1.0163745913700002
ACH-000263,-1.24370226022
ACH-000264,-1.3269503125
ACH-000265,-1.1339225262700001
ACH-000266,-1.12442252809
ACH-000272,-1.10194251178
ACH-000273,-1.05768815551
ACH-000274,-1.31212029488
ACH-000277,-1.32747778369
ACH-000278,-1.1347519729100002
ACH-000279,-1.18164802582
ACH-000280,-1.01600988191
ACH-000281,-1.10136375191
ACH-000288,-1.09632479835
ACH-000291,-1.14167905293
ACH-000293,-0.977489321953
ACH-000294,-1.17251838858
ACH-000295,-1.2314981261700002
ACH-000296,-0.6854561701340001
ACH-000302,-1.17462240194
ACH-000304,-0.838818661196
ACH-000307,-1.0742769518000002
ACH-000308,-0.9174073524420001
ACH-000310,-1.4627960591
ACH-000311,-1.57811985639
ACH-000312,-1.204588295
ACH-000315,-0.731534060949
ACH-000316,-1.24912035663
ACH-000317,-1.07161527634
ACH-000318,-1.27771165516
ACH-000319,-1.18613782987
ACH-000320,-1.2436015031999998
ACH-000322,-1.1367903374700001
ACH-000323,-1.34192636869
ACH-000324,-0.9249778244939999
ACH-000329,-1.16584622082
ACH-000330,-1.07725751574
ACH-000331,-1.24383235496
ACH-000332,-1.1304095422
ACH-000334,-1.66738806825
ACH-000335,-1.17842833579
ACH-000336,-1.30698790489
ACH-000337,-1.1172316338
ACH-000339,-1.06066604377
ACH-000341,-1.18895667497
ACH-000348,-1.1202673629200002
ACH-000350,-1.2655912761399999
ACH-000352,-1.01262255156
ACH-000356,-1.32933433408
ACH-000361,-0.986562745896
ACH-000362,-1.18077551058
ACH-000363,-1.01235561328
ACH-000364,-0.9485771607350001
ACH-000365,-1.19335446952
ACH-000366,-1.13270434599
ACH-000368,-1.14482016579
ACH-000374,-1.12869432906
ACH-000375,-0.946419370607
ACH-000376,-1.1882949649899999
ACH-000381,-1.0665322716299999
ACH-000383,-1.4594828294600002
ACH-000387,-1.21285978963
ACH-000389,-1.22541841999
ACH-000390,-1.39479890294
ACH-000393,-1.40369938697
ACH-000395,-1.0939249822100001
ACH-000397,-0.986403560167
ACH-000401,-0.961860628328
ACH-000402,-1.47351402869
ACH-000403,-1.1715504937799999
ACH-000404,-1.0746870463200002
ACH-000406,-1.13869310293
ACH-000407,-1.2390339745
ACH-000408,-0.880271740328
ACH-000410,-1.02406253573
ACH-000411,-1.14395239302
ACH-000414,-1.3560634857799998
ACH-000415,-1.00078692396
ACH-000416,-0.868038835102
ACH-000420,-0.9811914402490001
