,BRMS1L (84312)
ACH-000004,-0.0889858024371
ACH-000007,-0.0458199383477
ACH-000009,-0.0168412027758
ACH-000011,0.08023658239749999
ACH-000012,-0.10943208933700001
ACH-000013,-0.19933141615299999
ACH-000014,-0.0937897959901
ACH-000015,-0.015883835026
ACH-000017,-0.09325550471310001
ACH-000018,-0.249842487302
ACH-000019,-0.158610562411
ACH-000021,-0.178511561791
ACH-000022,-0.132920366654
ACH-000025,-0.23989765361999998
ACH-000028,-0.280287961865
ACH-000030,-0.0953652035401
ACH-000035,-0.175439027426
ACH-000036,-0.088200345921
ACH-000037,-0.09833219963430001
ACH-000039,-0.43644316863300003
ACH-000040,-0.22535354405000002
ACH-000041,-0.0804161414013
ACH-000042,-0.114188285701
ACH-000045,-0.14936143601399998
ACH-000047,-0.21754723243500002
ACH-000052,-0.44765734459299994
ACH-000053,-0.220813771135
ACH-000054,-0.4637321580899999
ACH-000055,0.100872297106
ACH-000060,-0.129771819852
ACH-000067,-0.00657891045714
ACH-000070,-0.37632690483900005
ACH-000075,-0.32479452261
ACH-000078,-0.08291547853610001
ACH-000082,-0.341185039589
ACH-000085,-0.0846518879435
ACH-000086,-0.128647304406
ACH-000087,-0.09054998985310002
ACH-000092,-0.110061883405
ACH-000095,-0.317622351459
ACH-000097,-0.225242080691
ACH-000098,-0.10886199849400001
ACH-000099,-0.24686361715500002
ACH-000108,-0.0866009528755
ACH-000113,-0.117559940837
ACH-000115,-0.08473117597560001
ACH-000116,-0.07951328078
ACH-000118,-0.318282480605
ACH-000120,-0.205607929738
ACH-000123,-0.141271729092
ACH-000127,-0.234767441828
ACH-000128,-0.24972601966299998
ACH-000132,0.0184847302991
ACH-000133,-0.22968094377300002
ACH-000137,-0.29123142749200004
ACH-000138,-0.192935415291
ACH-000142,-0.105219062817
ACH-000143,-0.195124761234
ACH-000146,-0.022650095417200002
ACH-000148,-0.11828743135500001
ACH-000150,0.14350211071900001
ACH-000152,-0.222832387756
ACH-000153,-0.12255476457699999
ACH-000159,-0.32751451977400003
ACH-000160,-0.597011772249
ACH-000163,-0.256816039713
ACH-000167,-0.8062298226729999
ACH-000168,-0.38913382306999994
ACH-000169,-0.184137302093
ACH-000178,-0.21624786977899998
ACH-000182,-0.0594729657314
ACH-000183,-0.215499280929
ACH-000188,-0.105636012661
ACH-000189,-0.422637640052
ACH-000190,-0.025340452288099998
ACH-000198,-0.149695161119
ACH-000204,-0.397856704825
ACH-000206,-0.27857372559599997
ACH-000207,-0.622844694558
ACH-000211,-0.33968678473700004
ACH-000215,-0.0931403586792
ACH-000221,-0.0982801073349
ACH-000222,0.0537095689925
ACH-000223,-0.206033108025
ACH-000226,-0.327384986643
ACH-000227,-0.0603536537744
ACH-000228,-0.029840798742299997
ACH-000231,-0.21486321608800002
ACH-000232,-0.23400035084000004
ACH-000233,-0.153468533565
ACH-000234,-0.0926460047066
ACH-000235,-0.140044717588
ACH-000237,0.0256006446099
ACH-000238,-0.07443493338330001
ACH-000243,-0.306530486409
ACH-000244,-0.377853563201
ACH-000246,-0.17772596076299998
ACH-000248,-0.245877984026
ACH-000250,-0.101718625479
ACH-000251,0.0686998384258
ACH-000253,-0.11129261898
ACH-000255,-0.184954981512
ACH-000256,0.10194182275800001
ACH-000257,-0.20604514336399998
ACH-000258,-0.120713987631
ACH-000259,-0.222546258079
ACH-000260,-0.114257988219
ACH-000261,-0.25661148046599996
ACH-000262,-0.280736447188
ACH-000263,-0.136466138487
ACH-000264,-0.37936532464199996
ACH-000265,-0.130929394847
ACH-000266,-0.17505655349
ACH-000272,-0.173642530618
ACH-000273,-0.101279948396
ACH-000274,-0.105977505891
ACH-000277,-0.134891698661
ACH-000278,-0.0792443909586
ACH-000279,-0.174414814991
ACH-000280,-0.335195627371
ACH-000281,0.03977332786190001
ACH-000288,-0.10229515047700001
ACH-000291,-0.281524902779
ACH-000293,-0.250496882791
ACH-000294,-0.189211972738
ACH-000295,-0.21427075604499998
ACH-000296,-0.271599159305
ACH-000302,-0.022070964452999997
ACH-000304,-0.203622402234
ACH-000307,-0.280119896664
ACH-000308,-0.0844458365068
ACH-000310,0.0648161011338
ACH-000311,-0.15953334741699998
ACH-000312,-0.12150757934800001
ACH-000315,-0.515943334878
ACH-000316,0.13791459308
ACH-000317,-0.147875412857
ACH-000318,-0.18152228814100002
ACH-000319,-0.24054053627900002
ACH-000320,-0.230321901001
ACH-000322,-0.314973075565
ACH-000323,-0.229201694358
ACH-000324,-0.06744962802969999
ACH-000329,-0.0932119238037
ACH-000330,-0.203181303084
ACH-000331,-0.042476382985800004
ACH-000332,-0.14100369408299998
ACH-000334,-0.314031039053
ACH-000335,-0.0805013355851
ACH-000336,-0.651472653654
ACH-000337,-0.841933222402
ACH-000339,-0.19246107179900002
ACH-000341,-0.340492739049
ACH-000348,-0.372680549752
ACH-000350,0.0844215293059
ACH-000352,-0.251335308472
ACH-000356,-0.11029521972100001
ACH-000361,-0.209187851095
ACH-000362,-0.107035715514
ACH-000363,-0.227230265192
ACH-000364,-0.16524990236300002
ACH-000365,-0.171997859719
ACH-000366,-0.2775730402
ACH-000368,-0.03913153505209999
ACH-000374,-0.08445507916719999
ACH-000375,-0.280113460557
ACH-000376,-0.24314830392099998
ACH-000381,0.0776364231482
ACH-000383,-0.160637212078
ACH-000387,-0.09456435657239999
ACH-000389,-0.0968523311094
ACH-000390,-0.181247512153
ACH-000393,-0.11996988512199999
ACH-000395,0.055582791671699994
ACH-000397,-0.09538176079
ACH-000401,-0.24563572644499998
