,LIN37 (55957)
ACH-000004,-0.153404239631
ACH-000007,-0.544107020657
ACH-000009,-0.458457252868
ACH-000011,-0.22558723554000001
ACH-000012,-0.18495816989100003
ACH-000013,-0.445058757346
ACH-000014,-0.236163592502
ACH-000015,-0.42980439031499995
ACH-000017,-0.191309980505
ACH-000018,-0.5307482888539999
ACH-000019,-0.34571487426299996
ACH-000021,-0.431042185274
ACH-000022,-0.331263338839
ACH-000025,-0.310702653304
ACH-000028,-0.376697220427
ACH-000030,-0.364480439313
ACH-000035,-0.576968226725
ACH-000036,-0.404087604824
ACH-000037,-0.5329246507850001
ACH-000039,-0.226045599253
ACH-000040,-0.19365298547899998
ACH-000041,-0.41087063209200003
ACH-000042,-0.286101995105
ACH-000045,-0.307687669697
ACH-000047,-0.263532793067
ACH-000052,-0.482956849238
ACH-000053,-0.201300853186
ACH-000054,-0.303795545568
ACH-000055,-0.22407969034400002
ACH-000060,-0.290204708627
ACH-000067,-0.5252841441430001
ACH-000070,-0.154370556041
ACH-000075,-0.27944223289500003
ACH-000078,-0.17540649093
ACH-000082,-0.458133088279
ACH-000085,-0.48185697688900003
ACH-000086,-0.291224082758
ACH-000087,-0.339904081277
ACH-000092,-0.534743618237
ACH-000095,-0.352597368227
ACH-000097,-0.566590592671
ACH-000098,-0.46453311719499996
ACH-000099,-0.504129826435
ACH-000108,-0.239786210298
ACH-000113,-0.24132241496100001
ACH-000115,-0.19181217292999997
ACH-000116,-0.37007143746
ACH-000118,-0.18572851718400002
ACH-000120,-0.31917859812399996
ACH-000123,-0.38141229081999994
ACH-000127,-0.47304300451700004
ACH-000128,-0.19429963507800002
ACH-000132,-0.0246478152673
ACH-000133,-0.138449247563
ACH-000137,-0.24359722494600003
ACH-000138,-0.237609500687
ACH-000142,-0.17683253572500002
ACH-000143,-0.06424264125630001
ACH-000146,-0.23277484761999997
ACH-000148,0.0034271666491999995
ACH-000150,-0.317972548718
ACH-000152,-0.0285336599551
ACH-000153,-0.608910311249
ACH-000159,-0.478470220532
ACH-000160,-0.569206260364
ACH-000163,-0.10149316141
ACH-000167,0.0662775761799
ACH-000168,-0.382656848227
ACH-000169,-0.210025247129
ACH-000178,-0.348133156877
ACH-000182,-0.388350969185
ACH-000183,-0.106981188619
ACH-000188,-0.469036602131
ACH-000189,-0.405108150595
ACH-000190,-0.590724839385
ACH-000198,-0.289189787225
ACH-000204,-0.217689062377
ACH-000206,-0.450453117121
ACH-000207,-0.600937067409
ACH-000211,-0.148571169265
ACH-000215,-0.245846621346
ACH-000221,-0.26928900026299996
ACH-000222,-0.304217306528
ACH-000223,-0.384398058503
ACH-000226,-0.44219170621200005
ACH-000227,-0.410324981113
ACH-000228,-0.40009510315200003
ACH-000231,0.0457510355709
ACH-000232,-0.12544240455999997
ACH-000233,-0.127380123555
ACH-000234,-0.21132185040999998
ACH-000235,-0.447830419973
ACH-000237,-0.228197187621
ACH-000238,-0.27425188723
ACH-000243,-0.0917825045684
ACH-000244,-0.423613627244
ACH-000246,-0.40959579281900005
ACH-000248,-0.135929962741
ACH-000250,-0.334855476105
ACH-000251,-0.077314103891
