,TRA2A (29896)
ACH-000004,-0.22170200585299998
ACH-000007,-0.0570056978768
ACH-000009,-0.0965390703734
ACH-000011,-0.13418754108300002
ACH-000012,-0.332142605892
ACH-000013,-0.00250701039106
ACH-000014,0.17448298667800002
ACH-000015,-0.0171193314845
ACH-000017,-0.102817362076
ACH-000018,0.0341627495015
ACH-000019,-0.1864618384
ACH-000021,-0.215050154677
ACH-000022,0.020576510967700003
ACH-000025,-0.021089649952199998
ACH-000028,-0.21544880292
ACH-000030,-0.090421129277
ACH-000035,-0.184672754945
ACH-000036,-0.21166765988400002
ACH-000037,-0.20895603080400002
ACH-000039,-0.340610499239
ACH-000040,-0.292915232337
ACH-000041,-0.304950907858
ACH-000042,-0.136449325349
ACH-000045,0.00883337695971
ACH-000047,-0.283107989577
ACH-000052,-0.00354557392077
ACH-000053,-0.09471676870750001
ACH-000054,-0.119286825118
ACH-000055,-0.34065496902500003
ACH-000060,-0.11828158010800001
ACH-000067,-0.113506468106
ACH-000070,0.135757043957
ACH-000075,-0.0763322897283
ACH-000078,-0.0160346516837
ACH-000082,-0.08561607057769999
ACH-000085,-0.130860952392
ACH-000086,-0.239154164054
ACH-000087,0.00415721606603
ACH-000092,0.042887103808500006
ACH-000095,-0.14542468819
ACH-000097,-0.135156927409
ACH-000098,-0.08278997388710001
ACH-000099,0.050456966903099996
ACH-000108,-0.224828848974
ACH-000113,0.09298717183949999
ACH-000115,-0.0364765656099
ACH-000116,-0.145796538231
ACH-000118,0.008107236614850001
ACH-000120,-0.0766788409553
ACH-000123,0.0718775781361
ACH-000127,-0.053962640394
ACH-000128,-1.06587736296
ACH-000132,-0.0805752875263
ACH-000133,-0.141216101112
ACH-000137,-0.10074073336200001
ACH-000138,-0.18458253835299998
ACH-000142,-0.34088694670999997
ACH-000143,-0.50189459103
ACH-000146,-0.205962416824
ACH-000148,-0.283787203223
ACH-000150,0.041734068241
ACH-000152,-0.214372385528
ACH-000153,-0.177274074786
ACH-000159,-0.0835209318756
ACH-000160,-0.182318014347
ACH-000163,-0.0897478960039
ACH-000167,-0.327230852486
ACH-000168,-0.0022971284865100005
ACH-000169,-0.09325607558910001
ACH-000178,-0.359699368151
ACH-000182,-0.0576293847465
ACH-000183,-0.256671787132
ACH-000188,-0.21490384962099998
ACH-000189,-0.06724205608389999
ACH-000190,-0.144298981011
ACH-000198,-0.128182099616
ACH-000204,0.280237845136
ACH-000206,0.0130755617401
ACH-000207,-0.0890133275979
ACH-000211,-0.321730401964
