,LIAS (11019)
ACH-000204,-0.287346491092
ACH-000206,-0.45715536478299995
ACH-000207,-0.256247643288
ACH-000211,0.005149440113029999
ACH-000215,-0.463084443139
ACH-000221,-0.11521727001700001
ACH-000222,-0.542186896366
ACH-000223,-0.305437205439
ACH-000226,-0.5327176842600001
ACH-000227,-0.594278959792
ACH-000228,-0.302688910874
ACH-000231,-0.29200643534299997
ACH-000232,0.0979358737761
ACH-000233,-0.303419910004
ACH-000234,-0.00706864106669
ACH-000235,-0.67677012139
ACH-000237,-0.567964303543
ACH-000238,-0.165525732975
ACH-000243,-0.297521828544
ACH-000244,-0.252467065334
ACH-000246,-0.452023350045
ACH-000248,-0.197062026453
ACH-000250,-0.239057484205
ACH-000251,-0.38143379305299996
ACH-000253,-0.553908058026
ACH-000255,-0.141370065843
ACH-000256,-0.153196985189
ACH-000257,-0.21981430500799998
ACH-000258,-0.161593321491
ACH-000259,-0.0783591663029
ACH-000260,-0.128788435547
ACH-000261,-0.675499418019
ACH-000262,-0.231867852177
ACH-000263,-0.6349007657
ACH-000264,-0.881159759842
ACH-000265,-0.255275056992
ACH-000266,-0.24171373256200002
ACH-000272,-0.391369317622
ACH-000273,-0.440384656197
ACH-000274,-0.172526715592
ACH-000277,-1.09464339358
ACH-000278,-0.374360449035
ACH-000279,-0.188215140427
ACH-000280,-0.20736039179699997
ACH-000281,-0.187640545075
ACH-000288,-0.384221231346
ACH-000291,-0.00182373746698
ACH-000293,-0.367935809586
ACH-000294,-0.6810111939560001
ACH-000295,-0.446549110792
ACH-000296,-0.35286440035300004
ACH-000302,0.08954831122819999
ACH-000304,-0.667096235436
ACH-000307,-0.647878840916
ACH-000308,-0.271086724715
ACH-000310,-0.49156620131800005
ACH-000311,-0.369695123581
ACH-000312,-0.487778312267
ACH-000315,0.25162951910500003
ACH-000316,-0.153929507079
ACH-000317,-0.5753663697
ACH-000318,-0.22519995549199998
ACH-000319,-0.297613636248
ACH-000320,-0.286285495479
ACH-000322,-0.482629023963
ACH-000323,-0.254271453961
ACH-000324,-0.20010912076600001
ACH-000329,-0.6081381840519999
ACH-000330,-0.7193333758689999
ACH-000331,0.0948114572071
ACH-000332,-0.163658098149
ACH-000334,-0.47863765993100005
ACH-000335,-0.28296911923900003
ACH-000336,-0.371583511947
ACH-000337,-0.701328627764
ACH-000339,-0.788427532516
ACH-000341,-0.194696359262
ACH-000348,-0.311706681272
ACH-000350,-0.760198454183
ACH-000352,-0.5530101199759999
ACH-000356,-0.8544574627770001
ACH-000361,-0.252753946346
ACH-000362,-0.712656440455
ACH-000363,-0.871933422416
ACH-000364,-0.054428364085800006
ACH-000365,-0.349867510631
ACH-000366,-0.40804435448700005
ACH-000368,-0.313945586647
ACH-000374,0.042829920500699996
ACH-000375,-0.6878380804709999
ACH-000376,-0.130487929532
ACH-000381,-0.16351426584200002
ACH-000383,-0.412638894499
ACH-000387,-0.5482888880910001
ACH-000389,0.146851206043
ACH-000390,-0.223672307484
ACH-000393,-0.10025682527100001
ACH-000395,-0.271884654146
ACH-000397,-0.264449085522
ACH-000401,-0.467899789884
ACH-000402,-0.31819797565200003
ACH-000403,-0.347254324608
ACH-000404,-0.767549394252
ACH-000406,-0.7542911096100001
ACH-000407,-0.228109683521
ACH-000408,-0.18476387907900002
ACH-000410,-0.472729505621
ACH-000411,-0.009913076878360001
ACH-000414,-0.29410547571
ACH-000415,-0.50013738209
ACH-000416,-0.187156136002
ACH-000420,-0.7584066656280001
ACH-000421,-0.155173921444
ACH-000424,-0.152284742983
ACH-000425,-0.391302770729
ACH-000426,-0.879796616144
ACH-000427,-0.230748751365
ACH-000433,-0.0910924996294
ACH-000436,-0.8168153182860001
ACH-000444,-0.8380940325149999
ACH-000445,-0.30342305039
ACH-000448,-0.0209412920962
ACH-000450,-0.830318488553
ACH-000452,-0.45893732559600003
ACH-000454,-0.23526276117699998
ACH-000458,-0.247692215787
ACH-000459,-0.9567641347220001
ACH-000460,-0.0785677820308
ACH-000461,-0.372363053319
ACH-000463,0.00723744699042
ACH-000464,-0.25985303475
ACH-000466,-0.5193508440429999
ACH-000467,-0.763205467835
ACH-000468,-0.598688204416
ACH-000469,-0.371252460955
ACH-000470,-0.424707833385
ACH-000471,-0.43172002220600003
ACH-000472,-0.243873264753
ACH-000473,0.138142748931
ACH-000475,-0.00379071137474
ACH-000476,-0.659758321237
ACH-000477,-0.21467520987100003
ACH-000480,-0.48066677975199995
ACH-000481,-0.338996295743
ACH-000483,-0.332048487324
ACH-000484,-0.47990923521000006
ACH-000485,-0.43337449607100004
ACH-000486,-0.489330155471
ACH-000487,-0.961981689373
ACH-000488,-0.28390165452
ACH-000490,-0.191660184083
ACH-000491,0.136010854757
ACH-000495,-0.165956170869
ACH-000496,-0.22870560653000002
ACH-000499,-0.462338336698
ACH-000500,-0.124715016402
ACH-000502,-0.700594155836
ACH-000503,-0.463184522099
ACH-000505,-0.285384505334
ACH-000507,-0.19323352967799998
ACH-000510,0.0189883302799
ACH-000511,-0.0825893880841
ACH-000512,-0.531310795749
ACH-000516,-0.236552413218
ACH-000517,-0.5977090978090001
ACH-000518,-0.180690325872
ACH-000520,-0.24323339925700002
ACH-000521,-0.42426182808799995
ACH-000522,-0.209374887778
ACH-000524,-0.212624653775
ACH-000527,-0.303913528785
ACH-000528,-0.548406604881
ACH-000537,-0.339306580945
ACH-000541,-0.615310729996
ACH-000542,-0.318718572352
ACH-000544,-0.0503750694008
ACH-000545,-0.299541653897
ACH-000547,-0.137448284358
ACH-000548,-0.22361041348299998
ACH-000549,-0.123142305884
ACH-000550,-0.552590726409
ACH-000552,-0.40747331486199995
ACH-000556,-0.927419227875
ACH-000557,-0.297514048978
ACH-000570,-0.198011866139
ACH-000571,-0.7241325501379999
ACH-000573,-0.586045365166
ACH-000576,-0.870462761144
ACH-000580,-0.7542364103370001
ACH-000584,-0.719464556321
ACH-000585,-0.314909183054
ACH-000588,-0.6315182361689999
ACH-000589,-0.562412805642
ACH-000591,-0.3176083641
ACH-000593,-0.19524653305999998
ACH-000600,-0.125969804525
ACH-000601,-0.656600391959
ACH-000604,-0.133869309133
ACH-000605,0.0915714133738
ACH-000606,-0.376794208936
ACH-000608,-0.413649033944
ACH-000614,-0.418759017735
ACH-000616,-0.223981569461
ACH-000618,-0.592134934294
ACH-000619,-0.613349677478
ACH-000620,-0.5180867237919999
ACH-000621,-0.419301445501
ACH-000622,-0.14392455076400001
ACH-000623,-0.228006787003
ACH-000624,-0.755014102987
ACH-000627,-0.27105014884100004
ACH-000630,-0.208384124214
ACH-000632,-0.257330684632
ACH-000633,-0.379178966945
ACH-000637,-0.41080698907700003
ACH-000638,-0.48481379935
ACH-000646,-0.11563483707800001
ACH-000647,-0.236290640792
ACH-000648,-0.757586125891
ACH-000649,-0.107706296118
ACH-000651,-0.900631502872
ACH-000652,-0.45688517433799997
ACH-000653,-0.71905998767
ACH-000657,-0.20408097247999998
ACH-000658,-0.892846213579
ACH-000661,-0.81595611046
ACH-000662,-0.104244539808
ACH-000663,-0.497700144039
ACH-000665,-0.136091387087
ACH-000671,-0.283062187709
ACH-000673,-0.370507367558
ACH-000676,-0.6941412618199999
ACH-000677,-1.19457236261
ACH-000681,-0.0194319199912
ACH-000682,-0.272803113651
ACH-000683,-0.24138542917199998
ACH-000684,-0.384992288688
ACH-000688,-0.45267893302
ACH-000693,-0.22500277054900003
ACH-000694,-0.301661666934
ACH-000695,-0.146812808067
ACH-000696,-0.251156157562
ACH-000697,-0.393644309763
ACH-000699,-0.36881814577600003
ACH-000701,-0.0390123942115
ACH-000706,-0.31360650676699997
ACH-000711,-0.465241847057
ACH-000713,-0.286744167654
ACH-000714,-0.122282595206
ACH-000718,-0.00302844259823
ACH-000720,-0.343472705719
ACH-000721,-0.269522148519
ACH-000724,-0.233445289155
ACH-000725,-0.935773559365
ACH-000732,-0.118445767288
ACH-000734,-0.270936906122
ACH-000735,-0.327523911486
ACH-000736,-0.516942387394
ACH-000738,-0.132641614051
ACH-000746,-0.881575164154
ACH-000747,-0.51354109889
ACH-000748,-0.0674696585678
ACH-000753,-0.343698655116
ACH-000756,0.0712711540485
ACH-000757,-0.378406365624
ACH-000758,-0.298632339329
ACH-000760,-0.154956372943
ACH-000763,-0.9448284490559999
ACH-000764,-0.59495438431
ACH-000765,-0.413235408778
ACH-000766,-0.511881855456
ACH-000767,-0.202973180814
ACH-000768,-0.7911706548440001
ACH-000769,-0.20696881334800002
ACH-000770,-0.215983298841
ACH-000771,-0.366577058683
ACH-000773,-0.283301060049
ACH-000776,-0.10199258159600001
ACH-000777,-0.247236777294
ACH-000778,-0.246812281406
ACH-000781,0.0462049103963
ACH-000782,-0.537615582999
ACH-000783,-0.19473753877500002
ACH-000784,-0.199294941831
ACH-000785,-0.146604347908
ACH-000787,-0.516702798175
ACH-000788,-0.17897203393599997
ACH-000791,-0.04929589581680001
ACH-000792,-0.32733369886
ACH-000794,-0.780069260866
ACH-000796,-0.399375133985
ACH-000799,-0.369342235341
ACH-000800,-0.514295466686
ACH-000802,-0.24347919911999996
ACH-000804,-0.408316936544
ACH-000805,-0.061430738706
ACH-000809,-0.15857496268100002
ACH-000810,0.42892604688
ACH-000811,-0.24338117013099997
ACH-000817,-0.726333145704
ACH-000819,0.0146241868599
ACH-000820,-0.230765929698
ACH-000821,-0.8821352805079999
ACH-000822,-0.704001626304
ACH-000823,0.00582220428104
ACH-000824,-0.143601831975
ACH-000827,-0.09506789785679999
ACH-000829,-0.43854455115
ACH-000831,-0.7373827730320001
ACH-000832,-0.59871708376
ACH-000833,-0.0784587141202
ACH-000834,-0.0480276114316
ACH-000835,-0.21891187379299998
ACH-000836,-0.116474268211
ACH-000837,-0.6721717275139999
ACH-000838,-0.876716189412
ACH-000839,-0.178648934259
ACH-000840,0.0433884453708
ACH-000841,-0.247064452528
ACH-000843,-0.696849630623
ACH-000846,-0.16251379812300001
ACH-000847,-0.0049081236122399995
ACH-000848,-0.34050502297799995
ACH-000849,-0.42449818553499996
ACH-000851,-0.764296615956
ACH-000855,-0.0735927275838
ACH-000856,-0.7279249360600001
ACH-000858,-0.43490028624899996
ACH-000859,-0.25190153046700003
ACH-000861,-0.137457790789
ACH-000862,-0.248245054951
ACH-000865,-0.163299380842
ACH-000866,-0.30100794508400003
ACH-000867,-0.104193169585
ACH-000869,-0.27612798239999997
ACH-000872,-0.7867210463940001
ACH-000873,-0.41864478720200005
ACH-000876,-1.47736304571
ACH-000878,-0.0331334401739
ACH-000880,-0.498929567556
ACH-000881,-0.480549851905
ACH-000882,-0.06920416054930001
ACH-000884,-0.401014755874
ACH-000885,-0.836890455171
ACH-000887,-0.227270537685
ACH-000888,-0.0996533515439
ACH-000889,-0.406741057323
ACH-000890,-0.0761321566428
ACH-000896,-0.894707140279
ACH-000898,-0.525383357598
ACH-000900,-0.43070224121899997
ACH-000901,-0.263073161438
ACH-000905,-0.190785688208
ACH-000906,-0.49015797313000004
ACH-000907,-0.30666193904100003
ACH-000910,-1.2723249823
ACH-000911,-0.6813206094490001
ACH-000912,-0.09733872330229999
ACH-000913,-0.273904976946
ACH-000915,-0.7910656034710001
ACH-000916,-1.1400953177200002
ACH-000917,-0.282149622956
ACH-000921,-0.5994502856
ACH-000924,-0.502186467011
ACH-000926,-0.178741288802
ACH-000928,-0.715176348597
ACH-000929,-0.566254316062
ACH-000932,-0.39418339602700003
ACH-000935,-0.21731046758499997
ACH-000936,-0.663217270429
ACH-000937,-0.7220376774420001
ACH-000938,-0.585962151133
ACH-000939,-0.92781230645
ACH-000941,-0.9707752910420001
ACH-000943,-0.856331147289
ACH-000946,-0.551462167335
ACH-000947,-0.796479736851
ACH-000948,-0.368190951731
ACH-000950,-0.288430241259
ACH-000953,-0.21999808461599998
ACH-000957,-0.46745811246799995
ACH-000958,-0.10082942211899999
ACH-000960,-0.57947944886
ACH-000963,-0.5041425399939999
ACH-000968,-0.862076459403
ACH-000969,-0.40127391403800006
ACH-000973,-0.360466765763
ACH-000974,-0.45053710579800005
ACH-000975,-0.550060027767
ACH-000976,-0.385276066959
ACH-000978,-1.0582439130299999
ACH-000980,-0.41881810422
ACH-000984,-0.351694560345
ACH-000986,-0.5740815041790001
ACH-000988,-0.0564984918303
ACH-000993,-0.36073798929300005
ACH-000994,-0.8396414673710001
ACH-000996,-0.448282570203
ACH-001001,-0.7390891065999999
ACH-001020,-0.366729282202
ACH-001028,-0.259938640187
ACH-001031,-0.0679821778075
ACH-001038,-0.5491553110890001
ACH-001048,-0.743412069744
ACH-001050,0.0632220098931
ACH-001053,-0.10310505352499999
ACH-001054,-0.185177887219
ACH-001061,0.15774979570699998
ACH-001067,-0.0963895089865
ACH-001075,-0.330199501663
ACH-001096,-0.481860537878
ACH-001128,-0.6083008741
ACH-001134,-0.213232539987
ACH-001151,-0.7972688779029999
ACH-001163,-0.5075032617759999
ACH-001164,-0.5095583528000001
ACH-001173,0.0820466428583
ACH-001183,0.0193952411946
ACH-001184,-0.468234274135
ACH-001190,-0.847571891829
ACH-001192,-0.47835203509700003
ACH-001193,0.18257174127599998
ACH-001196,-0.306285530618
ACH-001197,-0.20883380616099997
ACH-001205,-0.07838911571339999
ACH-001211,-0.360159275025
ACH-001212,-0.159739583363
ACH-001228,-0.319801389271
ACH-001232,-0.22785757962099998
ACH-001239,-0.185761152822
ACH-001274,-0.435029466096
ACH-001275,-0.295592063357
ACH-001277,-0.0475062802098
ACH-001278,-0.798193213811
ACH-001280,-0.543325934717
ACH-001283,0.116087241206
ACH-001289,-0.482962888306
ACH-001295,0.279946708378
ACH-001300,-0.325139152935
ACH-001301,0.0151957710233
ACH-001302,0.007312316525020001
ACH-001303,-0.681772832762
ACH-001306,-0.303797967153
ACH-001318,-0.220819916857
ACH-001322,0.150830858255
ACH-001328,-0.25868801163000005
ACH-001332,-0.249860098057
ACH-001333,-0.475652850247
ACH-001336,-0.448450880043
ACH-001340,-0.19230093406800003
ACH-001346,-0.46022184084
ACH-001353,-0.340768432623
ACH-001354,-0.19036441432999998
ACH-001367,-0.14252104071799998
ACH-001368,-0.810292660962
ACH-001374,0.21635868358899998
ACH-001375,-0.129021411949
ACH-001377,-0.433351087483
ACH-001380,-0.7434624340379999
ACH-001391,-0.247341666104
ACH-001407,-0.140732313686
ACH-001408,-0.14418998650999998
ACH-001413,0.134306972918
ACH-001430,-0.17873781419799997
ACH-001431,-0.38091075831999993
ACH-001450,-0.9643592494859999
ACH-001496,0.011807853437
ACH-001500,-0.473025754688
ACH-001521,-0.054255455883300004
ACH-001523,-0.35244489305200005
ACH-001532,-0.36292010747500003
ACH-001536,-0.36862124210299996
ACH-001550,-0.29827819657
ACH-001552,-0.111493862829
ACH-001554,-0.37895125418000003
ACH-001645,-0.101720364565
ACH-001654,-0.246732455559
ACH-001715,0.057756823840800005
ACH-001735,-0.684670032199
ACH-001736,-0.355276204817
ACH-001737,-0.09143823095310001
ACH-001740,-0.536710792702
ACH-001745,-0.458268661378
ACH-001750,0.211496744008
ACH-001765,-0.0394663461444
ACH-001956,-0.244263253653
ACH-001957,-0.329445778946
