,CNTNAP3B (728577)
ACH-000004,-0.320571742852
ACH-000007,-0.152699315039
ACH-000009,-0.0460224780571
ACH-000011,-0.0423556451759
ACH-000012,0.0792384225803
ACH-000013,-0.106798170328
ACH-000014,-0.165161245122
ACH-000015,-0.33610307351400004
ACH-000017,-0.0191113192347
ACH-000018,-0.382705383865
ACH-000019,0.220503676083
ACH-000021,-0.378910691985
ACH-000022,-0.24070665194600002
ACH-000025,-0.044436001881
ACH-000028,0.066955269853
ACH-000030,-0.0635195507838
ACH-000035,-0.246761751293
ACH-000036,-0.034733797736300004
ACH-000037,0.0338923309036
ACH-000039,-0.14549771240999998
ACH-000040,-0.297204182756
ACH-000041,-0.223757385741
ACH-000042,-0.0027353295049
ACH-000045,-0.220083100348
ACH-000047,-0.0285047465782
ACH-000052,-0.00392432894599
ACH-000053,-0.015203240331500001
ACH-000054,-0.16846983623300002
ACH-000055,0.274838386323
ACH-000060,-0.096683080003
ACH-000067,-0.0355052787791
ACH-000070,-0.0663937107514
ACH-000075,0.056166807102800004
ACH-000078,-0.26979161429000004
ACH-000082,0.152756252999
ACH-000085,-0.059201126281699996
ACH-000086,-0.302686690282
ACH-000087,0.142510820259
ACH-000092,-0.254158729415
ACH-000095,-0.17513124279599998
ACH-000097,-0.0372248369184
ACH-000098,-0.13778502956900002
ACH-000099,-0.219841954834
ACH-000108,-0.180188675247
ACH-000113,-0.09778919922280001
ACH-000115,-0.09900069938480001
ACH-000116,0.0281583042814
ACH-000118,-0.005520003189159999
ACH-000120,-0.17911120093600003
ACH-000123,-0.277459894518
ACH-000127,-0.13043590636
ACH-000128,-0.119684529197
ACH-000132,-0.196808117244
ACH-000133,-0.159954957107
ACH-000137,-0.0434039010585
ACH-000138,-0.34888238434600005
ACH-000142,0.10052692240700001
ACH-000143,-0.227804065445
ACH-000146,-0.141799445203
ACH-000148,-0.18276604760499998
ACH-000150,-0.16678606426200002
ACH-000152,-0.0984441796043
ACH-000153,0.126649767261
ACH-000159,-0.193158756391
ACH-000160,-0.385108125688
ACH-000163,-0.257727446516
ACH-000167,0.0082402875695
ACH-000168,-0.110829140699
ACH-000169,0.0954000960169
ACH-000178,-0.120091332765
ACH-000182,-0.259111608506
ACH-000183,-0.47783601154600003
ACH-000188,-0.27779270416499996
ACH-000189,0.033355342338
ACH-000190,-0.450179734467
ACH-000198,-0.0841036109434
ACH-000204,-0.0048755150969099995
ACH-000206,-0.17698624768100002
ACH-000207,0.276500102498
ACH-000211,0.025506750565800002
ACH-000215,-0.369729190805
ACH-000221,-0.5652018923309999
ACH-000222,0.021126370726099998
ACH-000223,-0.053983994801
ACH-000226,0.0315345564438
ACH-000227,-0.0430486342634
ACH-000228,0.0472646607833
ACH-000231,-0.0995779834639
ACH-000232,-0.19330706704700001
ACH-000233,-0.06382273798469999
ACH-000234,-0.23839113298599998
ACH-000235,-0.06796997985480001
ACH-000237,-0.305646575503
ACH-000238,-0.201144278343
ACH-000243,-0.0127556423089
ACH-000244,-0.277988605743
ACH-000246,0.08611132380230001
ACH-000248,-0.270811814652
ACH-000250,0.170040445932
ACH-000251,-0.17636904450100002
ACH-000253,-0.12631766909199998
ACH-000255,-0.18847980758000002
ACH-000256,-0.16570883624000002
ACH-000257,0.340815739307
ACH-000258,-0.137721724977
ACH-000259,0.00264613034843
ACH-000260,-0.10749643802100001
ACH-000261,-0.205583438338
ACH-000262,0.362098578924
ACH-000263,-0.291628437621
ACH-000264,-0.19802340348499997
ACH-000265,-0.544523815818
ACH-000266,-0.117799000989
