,SMURF2 (64750)
ACH-000004,-0.338206310868
ACH-000007,0.0167779784515
ACH-000009,-0.581831235327
ACH-000011,-0.19650062423099998
ACH-000012,-0.332968067838
ACH-000013,-0.399811891611
ACH-000014,-0.238577338971
ACH-000015,-0.181064012379
ACH-000017,-0.36614206687
ACH-000018,-0.09093986570419998
ACH-000019,-0.11370733101
ACH-000021,-0.330484662278
ACH-000022,-0.247973873215
ACH-000025,0.0815584708925
ACH-000028,-0.305497398799
ACH-000030,-0.287428018439
ACH-000035,-0.26901606719300003
ACH-000036,-0.20238126923500002
ACH-000037,-0.382789234495
ACH-000039,-0.463852349037
ACH-000040,-0.0031310797477800004
ACH-000041,0.00100210905083
ACH-000042,-0.288010005541
ACH-000045,-0.367969510642
ACH-000047,-0.112741907731
ACH-000052,-0.417512904244
ACH-000053,-0.286045900605
ACH-000054,-0.264580834557
ACH-000055,-0.035728927436300004
ACH-000060,-0.17881209048500002
ACH-000067,-0.6759047667360001
ACH-000070,-0.153109088842
ACH-000075,-0.0840944461354
ACH-000078,-0.24742930046300002
ACH-000082,-0.17125850326900002
ACH-000085,-0.243605058702
ACH-000086,-0.218642157813
ACH-000087,-0.0638622180126
ACH-000092,-0.112977751765
ACH-000095,-0.365575180035
ACH-000097,-0.0909908040104
ACH-000098,-0.34060314867700003
ACH-000099,-0.256315550566
ACH-000108,-0.167756061632
ACH-000113,-0.149290605155
ACH-000115,-0.24866239128400003
ACH-000116,-0.761627025688
ACH-000118,-0.353593453525
ACH-000120,-0.276516400806
ACH-000123,-0.5167436751100001
ACH-000127,-0.25193605097399996
ACH-000128,-0.492606155083
ACH-000132,-0.22571136658399998
ACH-000133,-0.235817986874
ACH-000137,-0.06562734459269999
ACH-000138,-0.43777757977700005
ACH-000142,-0.423692378011
ACH-000143,-0.101281589374
ACH-000146,-0.311274586007
ACH-000148,-0.323664913372
ACH-000150,-0.252806152045
ACH-000152,-0.10592179150900001
ACH-000153,-0.283883443036
ACH-000159,-0.287953149291
ACH-000160,-0.32985654616300003
ACH-000163,-0.39892693459
ACH-000167,-0.250691812014
ACH-000168,-0.330305108791
ACH-000169,-0.182925868055
ACH-000178,-0.101912239552
ACH-000182,-0.014306177580600002
ACH-000183,-0.354249679227
ACH-000188,-0.26172094739
ACH-000189,-0.22510534901999998
ACH-000190,-0.0573322344268
ACH-000198,-0.17808712425999998
ACH-000204,-0.22820241392499999
ACH-000206,0.168225768336
ACH-000207,-0.420266685848
ACH-000211,-0.266112636738
ACH-000215,-0.227624492543
ACH-000221,-0.212806898194
ACH-000222,-0.065621897014
ACH-000223,-0.296982129705
ACH-000226,-0.167873332084
ACH-000227,-0.585482313563
ACH-000228,-0.261721335146
ACH-000231,-0.151057175376
ACH-000232,-0.152762367451
ACH-000233,-0.0592658368936
ACH-000234,-0.316710056746
ACH-000235,-0.546097314129
ACH-000237,-0.14802371284600002
ACH-000238,-0.113379374715
ACH-000243,-0.517683964032
ACH-000244,-0.137522524758
ACH-000246,-0.136542460049
ACH-000248,-0.507102161307
ACH-000250,-0.202443739712
ACH-000251,-0.423781614442
ACH-000253,-0.21954092968699998
ACH-000255,-0.0584209281676
ACH-000256,-0.34073135007399996
ACH-000257,-0.343368664818
ACH-000258,-0.147279297249
ACH-000259,-0.23894610015299997
ACH-000260,-0.28005877884
ACH-000261,-0.334765640022
ACH-000262,-0.245222356371
ACH-000263,-0.37085806717500003
ACH-000264,-0.372431141031
ACH-000265,-0.203504085981
ACH-000266,-0.281029776572
ACH-000272,-0.353205608408
ACH-000273,-0.174452306773
ACH-000274,-0.08195278313860001
ACH-000277,-0.29150500087
ACH-000278,-0.0014026969451600001
ACH-000279,-0.36247880298600005
ACH-000280,-0.189301186415
ACH-000281,-0.118762212223
ACH-000288,-0.434475222892
ACH-000291,-0.181760085762
ACH-000293,-0.533234960087
ACH-000294,-0.39462287861699996
ACH-000295,-0.302764810755
ACH-000296,-0.243891861536
ACH-000302,-0.317927995912
ACH-000304,-0.195395977266
ACH-000307,-0.045979393736
ACH-000308,-0.140394960099
ACH-000310,-0.520658307247
ACH-000311,-0.307909738496
ACH-000312,-0.118713206376
ACH-000315,-0.18108814800700002
ACH-000316,-0.09068289835179999
ACH-000317,-0.343064964032
ACH-000318,-0.22529127271
ACH-000319,-0.16065508101700002
ACH-000320,-0.210240130481
