,WDR83OS (51398)
ACH-000004,-0.471126523952
ACH-000007,-0.193793256881
ACH-000009,-0.418134104282
ACH-000011,-0.60202508157
ACH-000012,-0.437051450841
ACH-000013,-0.390592168177
ACH-000014,-0.621175741364
ACH-000015,-0.482936360321
ACH-000017,-0.48425688834299996
ACH-000018,-0.7664040923600001
ACH-000019,-0.710283536568
ACH-000021,-0.5334513252699999
ACH-000022,-0.279244841908
ACH-000025,-0.494665195901
ACH-000028,-0.721889273705
ACH-000030,-0.507222773693
ACH-000035,-0.5079989457140001
ACH-000036,-0.614846203271
ACH-000037,-0.507027522571
ACH-000039,-0.6942724314830001
ACH-000040,-0.643792212783
ACH-000041,-0.5695843682339999
ACH-000042,-0.527007203826
ACH-000045,-0.169213165977
ACH-000047,-0.332787462939
ACH-000052,-0.586135357899
ACH-000053,-0.54233786409
ACH-000054,-0.461132758614
ACH-000055,-0.319511981143
ACH-000060,-0.412739872682
ACH-000067,-0.632361254296
ACH-000070,-0.259658137455
ACH-000075,-0.6938985178779999
ACH-000078,-0.720518441709
ACH-000082,-0.462186023183
ACH-000085,-0.569343913638
ACH-000086,-0.408778087722
ACH-000087,-0.317736388399
ACH-000092,-0.603041621397
ACH-000095,-0.518640892034
ACH-000097,-0.331961488089
ACH-000098,-0.6307953551250001
ACH-000099,-0.7589669893000001
ACH-000108,-0.6312893308649999
ACH-000113,-0.478118535432
ACH-000115,-0.582625913529
ACH-000116,-0.60763122369
ACH-000118,-0.661470727706
ACH-000120,-0.42887892916500003
ACH-000123,-0.334401663108
ACH-000127,-0.39317106796400003
ACH-000128,-0.511404289737
ACH-000132,-0.510555494945
ACH-000133,-0.441213481018
ACH-000137,-0.518216063151
ACH-000138,-0.49114392951200003
ACH-000142,-0.709023871711
ACH-000143,-0.33924140017300003
ACH-000146,-0.402701195197
ACH-000148,-0.55131225979
ACH-000150,-0.4600202930100001
ACH-000152,-0.451270105976
ACH-000153,-0.126631683608
ACH-000159,-0.647444282957
ACH-000160,-0.38740098874
ACH-000163,-0.983924271762
ACH-000167,-0.427786370348
ACH-000168,-0.182484536803
ACH-000169,-0.281600994798
ACH-000178,-0.234188389187
ACH-000182,-0.74333828903
ACH-000183,-0.4956324663
ACH-000188,-0.6009418952800001
ACH-000189,-0.321651464481
ACH-000190,-0.517280488141
ACH-000198,-0.46707084645900004
ACH-000204,-0.767077533493
ACH-000206,-0.921422619526
ACH-000207,-0.49207637753100003
ACH-000211,-0.321617032798
ACH-000215,-0.505910568068
ACH-000221,-0.34319674528899996
ACH-000222,-0.558185422331
ACH-000223,-0.629816374243
ACH-000226,-0.5947740812919999
ACH-000227,-0.5243803245709999
ACH-000228,-0.935837799812
ACH-000231,-0.43180545538599996
ACH-000232,-0.308613817865
ACH-000233,-0.596577885507
ACH-000234,-0.47961314365
ACH-000235,-0.548331207036
ACH-000237,-0.449384733965
ACH-000238,-0.361264808659
ACH-000243,-0.49716522180399997
ACH-000244,-0.541669692529
ACH-000246,-0.49323101957800003
ACH-000248,-0.433964804526
ACH-000250,-0.555397870182
ACH-000251,-0.837370726568
ACH-000253,-0.5691167918469999
ACH-000255,-0.46572701871699995
ACH-000256,-0.415589811808
ACH-000257,-0.200666405176
ACH-000258,-0.636913230928
ACH-000259,-0.552914912469
ACH-000260,-0.578296415491
ACH-000261,-0.520268636094
ACH-000262,-0.733524580626
ACH-000263,-0.525792849953
ACH-000264,-0.453196654671
ACH-000265,-0.5769758603190001
ACH-000266,-0.531700026442
ACH-000272,-0.5213039830489999
ACH-000273,-0.48401895260300004
ACH-000274,-0.242303583117
ACH-000277,-0.47638374006300005
ACH-000278,-0.709228225474
ACH-000279,-0.132723016326
ACH-000280,-0.36243366473399996
ACH-000281,-0.49641607918999997
ACH-000288,-0.456588054493
ACH-000291,-0.49162191427900004
ACH-000293,-0.500770991301
ACH-000294,-0.306924816581
ACH-000295,-0.34653872039399997
