,YAP1 (10413)
ACH-000004,-0.127496155142
ACH-000007,-0.7448450098739999
ACH-000009,-0.5719631944269999
ACH-000011,-0.166366904475
ACH-000012,-0.051208798898
ACH-000013,-0.23677215943000005
ACH-000014,0.04797749837669999
ACH-000015,-0.495001330361
ACH-000017,-0.808521409824
ACH-000018,-0.472726394881
ACH-000019,-0.384280843184
ACH-000021,-1.26466891095
ACH-000022,-0.43248208968199997
ACH-000025,-0.198557630271
ACH-000028,-0.331713252709
ACH-000030,-0.24251381890700002
ACH-000035,-0.26307308703000004
ACH-000036,-0.154038263521
ACH-000037,-0.050491741977
ACH-000039,-0.061809706987300005
ACH-000040,-0.295453363272
ACH-000041,-0.0712111361121
ACH-000042,-0.31540639020100003
ACH-000045,-0.45923022579499995
ACH-000047,-0.251642510388
ACH-000052,-0.214776991989
ACH-000053,-0.176900936858
ACH-000054,-0.196464095788
ACH-000055,-0.0201732211953
ACH-000060,-0.174884075832
ACH-000067,-0.526714110361
ACH-000070,-0.17783767244000004
ACH-000075,-0.049539649989800004
ACH-000078,-0.333590171392
ACH-000082,-0.332386538748
ACH-000085,-0.348783115054
ACH-000086,-0.577053544958
ACH-000087,-0.341939138727
ACH-000092,-0.360993645388
ACH-000095,-0.235779511268
ACH-000097,-0.769549580527
ACH-000098,-0.275445093899
ACH-000099,-0.252036327274
ACH-000108,-0.381464562191
ACH-000113,-0.289157907223
ACH-000115,0.0741347234554
ACH-000116,-0.826224368225
ACH-000118,-0.07352707158010001
ACH-000120,-0.24132272737100002
ACH-000123,-0.31544242209
ACH-000127,-0.342056146302
ACH-000128,-0.28964558304
ACH-000132,-1.21325077946
ACH-000133,-0.30961224234900003
ACH-000137,-0.127512044154
ACH-000138,0.00912511910869
ACH-000142,-0.561147839095
ACH-000143,-0.08384817893730001
ACH-000146,-0.0666870426724
ACH-000148,-0.20119804405699998
ACH-000150,-0.5115201758510001
ACH-000152,-0.584004867402
ACH-000153,-1.2061194984
ACH-000159,-0.0904824936607
ACH-000160,0.218162252287
ACH-000163,-0.116636083532
ACH-000167,0.146320589526
ACH-000168,-0.18929095065200002
ACH-000169,-0.23237337020399998
ACH-000178,-0.337897681868
ACH-000182,-0.279757032339
ACH-000183,-0.289043208144
ACH-000188,-0.657772136933
ACH-000189,-0.131753347556
ACH-000190,-0.00863247404544
ACH-000198,-0.32826370002
ACH-000204,-0.262415966592
ACH-000206,-0.111537991559
ACH-000207,-0.418215613387
ACH-000211,-0.134634627796
ACH-000215,-0.289318062982
ACH-000221,-0.25425760560800004
ACH-000222,-0.48883027747900004
ACH-000223,-0.256034389477
ACH-000226,-0.274705310746
ACH-000227,-0.0350934705534
ACH-000228,-0.8663118214740001
ACH-000231,-0.19554783165999998
ACH-000232,-0.210098950732
ACH-000233,-0.541059147147
ACH-000234,0.008786476501139999
ACH-000235,-0.5634621342
ACH-000237,-0.2860858076
ACH-000238,-0.0603879758318
ACH-000243,-0.0485770480203
ACH-000244,-0.531970789866
ACH-000246,-0.34669728481299994
ACH-000248,-0.577026493554
ACH-000250,-0.07254358700569999
ACH-000251,-0.335332309452
ACH-000253,-0.27396076707
ACH-000255,-0.408196813635
ACH-000256,-0.7716689257260001
ACH-000257,-0.09349401285469999
ACH-000258,-0.0193415018752
ACH-000259,-0.243024919711
ACH-000260,-0.250245305052
ACH-000261,-0.763117065521
ACH-000262,-0.16215597435
ACH-000263,-0.129951642442
ACH-000264,-0.113402737091
ACH-000265,-0.23668277947900002
ACH-000266,-0.6351955900249999
ACH-000272,-0.111703707214
ACH-000273,-0.46579116358
ACH-000274,-0.11749671489600001
ACH-000277,-0.214503602309
ACH-000278,0.037552067580699997
ACH-000279,-0.21209753986299998
ACH-000280,-0.487754125482
ACH-000281,-0.659557939195
ACH-000288,-0.35179996085500004
ACH-000291,-0.8417845734389999
ACH-000293,-0.245241699308
ACH-000294,-0.351887059891
ACH-000295,-0.257918266798
ACH-000296,-0.555829426518
ACH-000302,-0.307336519355
ACH-000304,-0.306938862273
ACH-000307,-0.45547354545900004
ACH-000308,-0.328890600456
ACH-000310,-0.276061732971
ACH-000311,-0.621026109661
ACH-000312,-0.294653407943
ACH-000315,-0.39404980790399996
ACH-000316,-0.595580346842
ACH-000317,-0.0208071974352
ACH-000318,-0.239409056106
ACH-000319,-0.507869075305
ACH-000320,-0.185328542125
ACH-000322,-0.0870109315655
ACH-000323,-0.317364721759
ACH-000324,-0.17725890120700002
ACH-000329,-0.108568392749
ACH-000330,0.14257768013
ACH-000331,-0.525075663329
ACH-000332,-0.21218364394900002
