,RAD51D (5892)
ACH-000004,-1.07073220856
ACH-000007,-0.956275606862
ACH-000009,-1.15072409373
ACH-000011,-1.3053772024899999
ACH-000012,-1.05063607124
ACH-000013,-0.631372938792
ACH-000014,-1.04238937285
ACH-000015,-0.887941151414
ACH-000017,-0.800159205371
ACH-000018,-1.18122870668
ACH-000019,-1.1681251634899998
ACH-000021,-1.07225518445
ACH-000022,-1.3024638478100001
ACH-000025,-1.08832500681
ACH-000028,-1.12392401492
ACH-000030,-1.0635641004799998
ACH-000035,-0.907179112115
ACH-000036,-1.08223157794
ACH-000037,-0.5220348362439999
ACH-000039,-1.01910401419
ACH-000040,-0.8144262942049999
ACH-000041,-0.953178971954
ACH-000042,-0.697166222382
ACH-000045,-1.0100276784
ACH-000047,-1.23673115164
ACH-000052,-1.2474233986399998
ACH-000053,-0.615627878898
ACH-000054,-0.8624883552429999
ACH-000055,-1.10483425371
ACH-000060,-1.03316322113
ACH-000067,-1.29237646815
ACH-000070,-1.0784420407200002
ACH-000075,-1.02316679596
ACH-000078,-0.656910424723
ACH-000082,-1.087665081
ACH-000085,-0.864351331454
ACH-000086,-0.5893723317289999
ACH-000087,-1.32314132653
ACH-000092,-0.78027648819
ACH-000095,-0.630736405973
ACH-000097,-0.8741407954899999
ACH-000098,-0.896520601304
ACH-000099,-0.8141080810369999
ACH-000108,-0.879997286923
ACH-000113,-0.845656599146
ACH-000115,-0.840176542314
ACH-000116,-0.993695763373
ACH-000118,-1.3527965921399998
ACH-000120,-1.07472071843
ACH-000123,-1.02649437263
ACH-000127,-1.03536961707
ACH-000128,-0.905315357059
ACH-000132,-0.913715540995
ACH-000133,-0.917784916385
ACH-000137,-1.0391269961
ACH-000138,-0.692517783349
ACH-000142,-0.8797268317479999
ACH-000143,-1.1987453886700001
ACH-000146,-0.566126881275
ACH-000148,-1.5082836440799998
ACH-000150,-1.03737904749
ACH-000152,-0.941549273465
ACH-000153,-1.7569524660799998
ACH-000159,-0.9245961822840001
ACH-000160,-1.34848996822
ACH-000163,-1.18080632275
ACH-000167,-0.8343158172730001
ACH-000168,-1.3480123141999998
ACH-000169,-0.9746605528360001
ACH-000178,-1.13464105976
ACH-000182,-0.539154929545
ACH-000183,-1.15723682265
ACH-000188,-1.1653250618000002
ACH-000189,-0.901160602713
ACH-000190,-0.976955206116
ACH-000198,-0.981391388908
