,PRAM1 (84106)
ACH-000004,-0.0777679686394
ACH-000007,-0.117034808191
ACH-000009,-0.179471971076
ACH-000011,-0.154424764266
ACH-000012,-0.286098088187
ACH-000013,-0.482129133553
ACH-000014,-0.197312480891
ACH-000015,-0.42750141239600004
ACH-000017,-0.211370515066
ACH-000018,-0.0661050450012
ACH-000019,-0.39068507261200003
ACH-000021,-0.231862589552
ACH-000022,-0.255418539166
ACH-000025,-0.22815977180999997
ACH-000028,-0.24313829957199998
ACH-000030,-0.33698666034900004
ACH-000035,-0.159831487606
ACH-000036,-0.191267607023
ACH-000037,0.00823308370452
ACH-000039,-0.300657030825
ACH-000040,-0.183025224239
ACH-000041,-0.224754828048
ACH-000042,-0.28989967191300003
ACH-000045,-0.42791623879100005
ACH-000047,-0.164200243819
ACH-000052,-0.359207674016
ACH-000053,-0.0770308395459
ACH-000054,-0.22474522781300002
ACH-000055,-0.285573488788
ACH-000060,-0.182705360945
ACH-000067,-0.20250071113200002
ACH-000070,-0.309645915619
ACH-000075,-0.591307977087
ACH-000078,-0.12078870762800001
ACH-000082,-0.495648839515
ACH-000085,0.232085053728
ACH-000086,-0.39403483716300003
ACH-000087,-0.38359314296499997
ACH-000092,-0.20699411577500001
ACH-000095,-0.33966872092699996
ACH-000097,-0.28276337887499997
ACH-000098,-0.515084963941
ACH-000099,-0.23161682764199998
ACH-000108,-0.18973219535500002
ACH-000113,-0.292053153851
ACH-000115,-0.16785774755
ACH-000116,-0.306778164412
ACH-000118,-0.173993945915
ACH-000120,-0.143893565437
ACH-000123,-0.331614767378
ACH-000127,-0.2812216636
ACH-000128,-0.18524510912
ACH-000132,-0.295356197388
ACH-000133,-0.23618789341
ACH-000137,-0.177474790436
ACH-000138,-0.147683467629
ACH-000142,-0.121631890814
ACH-000143,-0.363608923743
ACH-000146,-0.277051477732
ACH-000148,-0.08632886590260001
ACH-000150,-0.08737235780449999
ACH-000152,-0.11863716825899999
ACH-000153,-0.43971556707099996
ACH-000159,-0.283874251301
ACH-000160,-0.257406885208
ACH-000163,-0.36667954384900003
ACH-000167,-0.503135667756
ACH-000168,-0.197827627621
ACH-000169,-0.325569953494
ACH-000178,-0.40939354292499996
ACH-000182,-0.164513882651
ACH-000183,-0.121132916156
ACH-000188,-0.49597267071400003
ACH-000189,-0.536355551436
ACH-000190,-0.43869987066699995
ACH-000198,-0.251960226698
ACH-000204,-0.295600681387
ACH-000206,-0.224812361928
ACH-000207,-0.031154118539400002
ACH-000211,-0.250643751724
ACH-000215,-0.360822583086
ACH-000221,-0.368879889426
ACH-000222,0.045580902971
ACH-000223,-0.311821440066
ACH-000226,-0.383006198848
ACH-000227,-0.277555352277
ACH-000228,-0.342777339672
ACH-000231,-0.266491730026
ACH-000232,-0.19823844536899998
ACH-000233,-0.292564944125
ACH-000234,-0.322867691341
ACH-000235,-0.185178197397
ACH-000237,-0.27595700323000005
ACH-000238,-0.29536085117
ACH-000243,-0.209562690243
ACH-000244,-0.503665530493
ACH-000246,-0.258672894366
ACH-000248,-0.263787935759
ACH-000250,-0.305631054281
ACH-000251,-0.12670465240700002
ACH-000253,-0.265118468307
ACH-000255,-0.34665750767
ACH-000256,-0.377005139011
ACH-000257,-0.190022687914
ACH-000258,-0.229873138777
ACH-000259,-0.184875448957
ACH-000260,-0.335868754292
ACH-000261,-0.368715227207
ACH-000262,-0.351790359029
ACH-000263,-0.328658244976
ACH-000264,-0.463156783794
ACH-000265,-0.187725258397
ACH-000266,-0.232820877849
ACH-000272,-0.322887152092
ACH-000273,-0.160864423223
ACH-000274,-0.295355732177
ACH-000277,0.0668545890063
ACH-000278,-0.18554724744399997
ACH-000279,-0.09398911616399999
ACH-000280,-0.198497798424
ACH-000281,-0.38878978346999993
ACH-000288,-0.284399368143
ACH-000291,-0.242561327684
ACH-000293,-0.582210947844
ACH-000294,-0.23850030927299998
ACH-000295,-0.21750788694200002
ACH-000296,-0.112957869738
ACH-000302,-0.21167533880800002
ACH-000304,-0.164131088125
ACH-000307,-0.18858196416499998
ACH-000308,-0.14668384490999997
ACH-000310,-0.44317048736000003
ACH-000311,-0.048713406976399996
ACH-000312,-0.27149907101799997
ACH-000315,-0.341736663753
ACH-000316,-0.10676194876700001
ACH-000317,-0.296888802307
ACH-000318,-0.226306229761
ACH-000319,-0.334375747976
ACH-000320,0.0320241319793
ACH-000322,-0.223511101789
ACH-000323,-0.308949411925
