,CKS1B (1163)
ACH-000004,-0.17863012045600002
ACH-000007,-0.19096180114999997
ACH-000009,-0.304714064184
ACH-000011,-0.158729509209
ACH-000012,-0.6256093413480001
ACH-000013,-0.661124706449
ACH-000014,-0.0408274891364
ACH-000015,-0.45151356328000003
ACH-000017,-0.176173256868
ACH-000018,-0.329613795238
ACH-000019,-0.628092597226
ACH-000021,-0.41207631900200004
ACH-000022,-0.277731491375
ACH-000025,-0.350887847513
ACH-000028,-0.42104749380199996
ACH-000030,-0.027120908202400002
ACH-000035,-0.32939189665699997
ACH-000036,-0.312188380736
ACH-000037,-0.484697715036
ACH-000039,-0.23674391637400002
ACH-000040,-0.581747601887
ACH-000041,-0.320535909725
ACH-000042,-0.17638405910100002
ACH-000045,-0.29814233051399996
ACH-000047,-0.638762918591
ACH-000052,-0.46647821732199996
ACH-000053,-0.148949080945
ACH-000054,-0.19509368365600002
ACH-000055,-0.369814540884
ACH-000060,-0.669821347347
ACH-000067,-0.477185760836
ACH-000070,-0.31122155957
ACH-000075,-0.0878025757632
ACH-000078,-0.22422977492600002
ACH-000082,-0.09496773803
ACH-000085,0.00197128897235
ACH-000086,-0.621322830339
ACH-000087,-0.185630260795
ACH-000092,-0.0421153128784
ACH-000095,-0.301076501628
ACH-000097,-0.234857498134
ACH-000098,-0.26916941576299996
ACH-000099,-0.258834175794
ACH-000108,-0.094719824864
ACH-000113,-0.164898156347
ACH-000115,-0.602546593161
ACH-000116,-0.471154599857
ACH-000118,-0.245203936765
ACH-000120,-0.26303203362
ACH-000123,-0.278199483086
ACH-000127,-0.299517096298
ACH-000128,-0.601191784434
ACH-000132,-0.244170496888
ACH-000133,-0.542701312035
ACH-000137,-0.496450139232
ACH-000138,-0.134723806107
ACH-000142,-0.503945564899
ACH-000143,-0.501788550506
ACH-000146,-0.295768435263
ACH-000148,-0.34379536064000005
ACH-000150,-0.321732695282
ACH-000152,-0.895729102497
ACH-000153,-0.545798736751
ACH-000159,-0.5601342412820001
ACH-000160,0.132526070085
ACH-000163,-0.0148111705957
ACH-000167,-0.370842078926
ACH-000168,0.0923640656663
ACH-000169,-0.35454204410499995
ACH-000178,-0.231335513884
ACH-000182,-0.0195722435197
ACH-000183,-0.015073886322299999
ACH-000188,-0.224508079498
ACH-000189,-0.317869284016
ACH-000190,-0.125019443176
ACH-000198,-0.415063341232
ACH-000204,-0.374933363524
ACH-000206,-0.189438723346
ACH-000207,-0.0494725150194
ACH-000211,-0.37303847960000003
ACH-000215,-0.38085387586400005
ACH-000221,0.0153950682852
ACH-000222,-0.307227083767
ACH-000223,-0.6927826370579999
ACH-000226,-0.039911815872999995
ACH-000227,-0.251120652364
ACH-000228,-0.39870833165799996
ACH-000231,-1.00936550222
ACH-000232,-0.5071404274669999
ACH-000233,0.015259285167
ACH-000234,-0.35402532091399996
ACH-000235,0.0265307686802
ACH-000237,-0.490315132565
ACH-000238,-0.274971857082
ACH-000243,-0.20069251654399997
ACH-000244,-0.36850355499
ACH-000246,-0.47216816759999997
ACH-000248,-0.312315037436
ACH-000250,0.0325973283547
ACH-000251,-0.203444285729
ACH-000253,0.045031652772000004
ACH-000255,-0.190594626474
ACH-000256,-0.5675195363100001
ACH-000257,-0.9790644498100001
ACH-000258,-0.472706508599
ACH-000259,-0.47840393862499997
ACH-000260,-0.431931165185
ACH-000261,-0.124339593287
ACH-000262,-0.408991737433
ACH-000263,-0.394098908092
ACH-000264,-0.278409379191
ACH-000265,-0.22043089060600002
ACH-000266,-0.11803110194599999
ACH-000272,-0.369523129001
ACH-000273,-0.7752626750489999
ACH-000274,-0.7109917480399999
ACH-000277,-0.180452671267
ACH-000278,-0.3406499575
ACH-000279,0.0475318009552
ACH-000280,-0.179086139217
ACH-000281,-0.00919166068409
ACH-000288,-0.779882361886
ACH-000291,-0.426731949511
ACH-000293,-0.44881192486999993
ACH-000294,0.039898788472699995
ACH-000295,-0.12823279597200002
ACH-000296,-0.283372726176
ACH-000302,-0.7153923176360001
ACH-000304,-0.220366379526
ACH-000307,-0.43741543558799995
ACH-000308,-0.41018289601700003
ACH-000310,-0.27053376245099997
ACH-000311,-0.280140695636
ACH-000312,-0.37172817102600003
ACH-000315,-0.208129599408
ACH-000316,0.06236925689669999
ACH-000317,0.11768165875900001
ACH-000318,-0.242044040504
ACH-000319,-0.378303874906
ACH-000320,-0.06607030202019999
ACH-000322,-0.14321817572999998
ACH-000323,-0.622384794106
ACH-000324,-0.229934729312
ACH-000329,-0.24123653735
ACH-000330,-0.18497615720600002
ACH-000331,-0.518528358822
ACH-000332,-0.0199050591248
ACH-000334,-0.0742846080595
ACH-000335,-0.406759980982
ACH-000336,-0.19365489816
ACH-000337,-0.37132286781199997
ACH-000339,-0.0789435168051
ACH-000341,-0.869935461803
ACH-000348,-0.0937109753458
ACH-000350,-0.357808775008
ACH-000352,-0.427065053155
