,ESF1 (51575)
ACH-000004,-1.20472543376
ACH-000007,-1.18911296204
ACH-000009,-1.27949200656
ACH-000011,-1.2325977588700001
ACH-000012,-1.0922992066600001
ACH-000013,-0.7948332571439999
ACH-000014,-1.12010379578
ACH-000015,-1.03265678838
ACH-000017,-0.7759166272750001
ACH-000018,-0.9683771078219999
ACH-000019,-0.6842358453820001
ACH-000021,-1.25102563408
ACH-000022,-1.2036909528
ACH-000025,-0.99352702029
ACH-000028,-0.9666753276350001
ACH-000030,-1.00284032351
ACH-000035,-0.868550167554
ACH-000036,-0.866407616866
ACH-000037,-0.50980540526
ACH-000039,-0.932079463884
ACH-000040,-1.01820654566
ACH-000041,-0.9205372944910001
ACH-000042,-1.06133642596
ACH-000045,-1.1507961998
ACH-000047,-1.07697450939
ACH-000052,-0.990864824813
ACH-000053,-1.12737544185
ACH-000054,-1.29023630421
ACH-000055,-1.07215272574
ACH-000060,-1.05005689006
ACH-000067,-0.966640066059
ACH-000070,-0.923109927531
ACH-000075,-1.2582876811900001
ACH-000078,-0.95740528026
ACH-000082,-1.27469589476
ACH-000085,-1.53522817518
ACH-000086,-1.25436159221
ACH-000087,-1.0805012476
ACH-000092,-1.00189612094
ACH-000095,-1.0679334784799999
ACH-000097,-1.1971400055099999
ACH-000098,-1.05765977719
ACH-000099,-1.0825166993000002
ACH-000108,-1.3028702106899999
ACH-000113,-1.0938872676
ACH-000115,-0.909376979528
ACH-000116,-1.25413390693
ACH-000118,-1.19056158675
ACH-000120,-1.1467821013600001
ACH-000123,-1.10003461872
ACH-000127,-0.810597260461
ACH-000128,-1.01386176466
ACH-000132,-1.21124734848
ACH-000133,-1.02742664373
ACH-000137,-1.2129573685
ACH-000138,-1.07897147815
ACH-000142,-0.676977725303
ACH-000143,-0.585895556905
ACH-000146,-1.76892116659
ACH-000148,-1.02011601991
ACH-000150,-0.703413266249
ACH-000152,-0.988019366659
ACH-000153,-1.28355552874
ACH-000159,-0.76402686878
ACH-000160,-1.2587409429
ACH-000163,-1.13438218519
ACH-000167,-1.06458583382
ACH-000168,-1.08463401308
ACH-000169,-1.19297989872
ACH-000178,-0.8995296971510001
ACH-000182,-0.949660156033
ACH-000183,-1.07883788991
ACH-000188,-0.904007337591
ACH-000189,-1.42725924292
ACH-000190,-1.044274236
ACH-000198,-1.1557900830399999
ACH-000204,-0.9896268204880001
ACH-000206,-1.08541235873
ACH-000207,-0.72990866193
ACH-000211,-1.19168829878
ACH-000215,-1.1057087452399998
ACH-000221,-1.12669543179
ACH-000222,-1.3551522452200002
ACH-000223,-0.889442065554
ACH-000226,-1.24360778207
ACH-000227,-0.569348547888
ACH-000228,-1.18459937053
ACH-000231,-1.1875234603799998
ACH-000232,-1.2041411399
ACH-000233,-1.07602968602
ACH-000234,-1.18748703052
ACH-000235,-1.1172033446
ACH-000237,-0.997839575041
ACH-000238,-1.1629758502399998
ACH-000243,-1.29194453392
ACH-000244,-1.18499212969
ACH-000246,-0.862852691032
ACH-000248,-0.91512300214
ACH-000250,-0.923208626081
ACH-000251,-1.58348898527
ACH-000253,-0.7839913216399998
ACH-000255,-1.2222479947
ACH-000256,-1.04040624444
ACH-000257,-0.89361312037
ACH-000258,-1.40886812315
ACH-000259,-1.08266974059
ACH-000260,-0.9601781456209999
ACH-000261,-1.14179617567
ACH-000262,-0.7155409309990001
ACH-000263,-0.649807198777
ACH-000264,-1.2259980398399999
ACH-000265,-1.1968535727299998
ACH-000266,-1.1183300912799998
ACH-000272,-0.815248268913
ACH-000273,-0.97330421376
ACH-000274,-1.2470587697700002
ACH-000277,-1.20366287011
ACH-000278,-1.36631004586
ACH-000279,-1.0375314690700002
ACH-000280,-1.1831492918700002
ACH-000281,-0.901762798558
ACH-000288,-0.7505028360100001
ACH-000291,-1.03284687921
ACH-000293,-1.0515277087100001
ACH-000294,-1.10790231232
ACH-000295,-0.9424766261040001
ACH-000296,-1.37506049144
ACH-000302,-1.06581416611
ACH-000304,-1.1784818910700001
ACH-000307,-0.733971076701
ACH-000308,-1.3965624236
ACH-000310,-1.37798165255
ACH-000311,-1.3732488868900001
ACH-000312,-1.07455934254
ACH-000315,-1.1816294313700002
ACH-000316,-0.929965543416
ACH-000317,-1.02576108177
ACH-000318,-1.1360686598799998
ACH-000319,-1.10880924143
ACH-000320,-1.09895326301
ACH-000322,-1.3981011717899998
ACH-000323,-0.895311171139
ACH-000324,-0.9930496500299999
ACH-000329,-0.890103179471
ACH-000330,-0.959836950582
ACH-000331,-1.12520495876
ACH-000332,-1.34357984708
ACH-000334,-1.0312469860200002
ACH-000335,-1.35266654354
ACH-000336,-1.4270658938799998
ACH-000337,-0.629085697862
ACH-000339,-1.23537032596
ACH-000341,-1.42202098944
ACH-000348,-0.9533308396089999
ACH-000350,-1.187165506
ACH-000352,-1.3432176973299998
ACH-000356,-1.2719203119
ACH-000361,-1.1103282157799998
ACH-000362,-1.09444008031
ACH-000363,-1.37459499912
ACH-000364,-1.32704444162
ACH-000365,-0.882944656943
ACH-000366,-0.855286346563
ACH-000368,-0.883986406133
ACH-000374,-0.8233858213899999
ACH-000375,-1.07042913187
ACH-000376,-1.00321701558
ACH-000381,-1.31860137935
ACH-000383,-0.937823458762
ACH-000387,-1.18774038265
ACH-000389,-0.9737377169050001
ACH-000390,-0.63383754251
ACH-000393,-0.99897147076
ACH-000395,-0.785553720943
ACH-000397,-0.699382436274
ACH-000401,-1.15055386956
ACH-000402,-0.554654059652
ACH-000403,-1.30820628178
ACH-000404,-0.997340971796
ACH-000406,-1.11068021432
ACH-000407,-0.827513128998
ACH-000408,-1.2601426948999999
ACH-000410,-1.11304861703
ACH-000411,-1.30726565854
ACH-000414,-1.28758506646
ACH-000415,-0.999803626383
ACH-000416,-1.08309608995
ACH-000420,-1.12274470031
ACH-000421,-1.45224015887
ACH-000424,-0.959877296173
ACH-000425,-1.16820071938
ACH-000426,-0.859013084046
ACH-000427,-1.1092758002299998
ACH-000433,-1.5293596819
ACH-000436,-1.2541433696700002
ACH-000444,-1.30101904119
ACH-000445,-1.03006613869
ACH-000448,-0.9715066055830001
ACH-000450,-0.8460357663060001
ACH-000452,-1.14182767339
ACH-000454,-1.01468931975
ACH-000458,-1.10942968713
ACH-000459,-1.04915739484
