,MDN1 (23195)
ACH-000004,-0.9856425318240001
ACH-000007,-1.4998885104
ACH-000009,-1.14316596356
ACH-000011,-1.30406176561
ACH-000012,-1.3947843514899998
ACH-000013,-1.43903020375
ACH-000014,-1.5434729168999999
ACH-000015,-1.5271197466
ACH-000017,-1.17718889422
ACH-000018,-1.40607153262
ACH-000019,-1.0929735071
ACH-000021,-1.06952129947
ACH-000022,-1.32578883438
ACH-000025,-1.2097192858399999
ACH-000028,-1.20290994948
ACH-000030,-1.4037716554700002
ACH-000035,-1.5580807962099998
ACH-000036,-1.33987482479
ACH-000037,-1.5869394961899999
ACH-000039,-1.2804268088
ACH-000040,-1.4399827460799999
ACH-000041,-1.4913118570200001
ACH-000042,-1.4333472982299997
ACH-000045,-1.6406425123800001
ACH-000047,-1.4660581717200003
ACH-000052,-1.24463992292
ACH-000053,-1.25472120083
ACH-000054,-1.6056995633500002
ACH-000055,-1.07192837331
ACH-000060,-1.4754632948800002
ACH-000067,-1.16519052451
ACH-000070,-1.2338893464899998
ACH-000075,-1.32326403488
ACH-000078,-1.4497532269600002
ACH-000082,-1.5501825310799997
ACH-000085,-1.7671409294
ACH-000086,-1.5201260802
ACH-000087,-1.35615865564
ACH-000092,-1.3573507844100001
ACH-000095,-1.53543678125
ACH-000097,-1.40911476537
ACH-000098,-1.00483313593
ACH-000099,-1.12974870067
ACH-000108,-1.5438488907700003
ACH-000113,-1.30882383829
ACH-000115,-1.0875149077600001
ACH-000116,-1.25708830514
ACH-000118,-1.3219913743
ACH-000120,-1.1468549071
ACH-000123,-1.29604949044
ACH-000127,-1.1936677378799998
ACH-000128,-0.862386862326
ACH-000132,-1.20627946509
ACH-000133,-1.56202412106
ACH-000137,-1.26347157181
ACH-000138,-1.49428349393
ACH-000142,-1.45929206766
ACH-000143,-1.3527574625
ACH-000146,-1.31745576863
ACH-000148,-1.3785584135799998
ACH-000150,-1.2905369314200001
ACH-000152,-1.1406594497
ACH-000153,-1.70602496783
ACH-000159,-1.45322681915
ACH-000160,-1.17783945642
ACH-000163,-1.39213692723
ACH-000167,-1.54592565567
ACH-000168,-1.37281670011
ACH-000169,-1.35265523396
ACH-000178,-1.34423020556
ACH-000182,-1.34375463644
ACH-000183,-1.1880675295
ACH-000188,-1.4036315827799999
ACH-000189,-1.3686745420500002
ACH-000190,-1.532981168
ACH-000198,-1.07410863812
ACH-000204,-1.86527903907
ACH-000206,-0.78639144885
ACH-000207,-0.464151851823
ACH-000211,-1.32588352507
ACH-000215,-1.14008496161
ACH-000221,-1.51731696139
ACH-000222,-1.5908370062900001
ACH-000223,-1.5280780044100002
ACH-000226,-1.24527732148
ACH-000227,-1.15594172581
ACH-000228,-1.4952493867899999
ACH-000231,-1.1849292436799999
ACH-000232,-1.2665975021
ACH-000233,-1.2784257242700001
ACH-000234,-1.16887196024
ACH-000235,-1.4364900821899997
ACH-000237,-1.47714128097
ACH-000238,-1.45513934152
ACH-000243,-1.18427022658
ACH-000244,-1.1449417864799998
ACH-000246,-1.3320841146
ACH-000248,-1.27322921065
ACH-000250,-1.20272513358
ACH-000251,-1.0029262008
ACH-000253,-1.4723345253
ACH-000255,-1.29204511644
ACH-000256,-1.05442460613
ACH-000257,-1.0183070351999999
ACH-000258,-2.16808159656
ACH-000259,-1.5650912402700001
ACH-000260,-1.2397865617000001
ACH-000261,-1.28132264962
ACH-000262,-1.2994952504100001
ACH-000263,-1.0501338204700001
ACH-000264,-1.04411329995
ACH-000265,-1.43122997741
ACH-000266,-1.56366924211
ACH-000272,-1.3172661223200002
ACH-000273,-1.29208328367
ACH-000274,-1.6239928732299997
ACH-000277,-1.42653972429
ACH-000278,-1.7315172724099999
ACH-000279,-1.08600063222
ACH-000280,-1.5837154394400002
ACH-000281,-1.77871170045
ACH-000288,-1.27932228896
ACH-000291,-1.14169454026
ACH-000293,-1.28381845649
ACH-000294,-1.0225920987700001
ACH-000295,-1.4343218813799998
ACH-000296,-1.48003435565
ACH-000302,-1.2830801633600002
ACH-000304,-1.15819650935
ACH-000307,-1.32482065281
ACH-000308,-1.2043716975399998
ACH-000310,-1.3028789561
ACH-000311,-1.6545004197600002
ACH-000312,-1.3998921530700001
ACH-000315,-1.11716190934
ACH-000316,-1.11551207955
ACH-000317,-1.5436907901499999
ACH-000318,-1.48916373697
ACH-000319,-1.31384112563
ACH-000320,-1.5849307629700002
ACH-000322,-1.34219217636
ACH-000323,-1.44771681895
ACH-000324,-1.38134403724
ACH-000329,-1.01453867735
ACH-000330,-1.07330828
ACH-000331,-1.30120968888
ACH-000332,-1.4249843379499998
ACH-000334,-1.3793092434099998
ACH-000335,-1.45950553609
ACH-000336,-1.74528654895
