,EIF4EBP1 (1978)
ACH-000004,-0.800215560379
ACH-000007,-0.295999433692
ACH-000009,-0.12334486317900001
ACH-000011,-0.431897931976
ACH-000012,-0.24893517703200002
ACH-000013,-0.343460828318
ACH-000014,-0.23403557983399997
ACH-000015,-0.351629347588
ACH-000017,-0.319102840729
ACH-000018,-0.350502774454
ACH-000019,-0.478725102166
ACH-000021,-0.267791230895
ACH-000022,-0.37431563252800004
ACH-000025,-0.5796280253989999
ACH-000028,-0.42956478478200005
ACH-000030,-0.30035752222
ACH-000035,-0.202637754427
ACH-000036,-0.5808370803630001
ACH-000037,-0.541014870849
ACH-000039,-0.222502184703
ACH-000040,-0.244946869123
ACH-000041,-0.707293786855
ACH-000042,-0.234935549344
ACH-000045,-0.37205312315800004
ACH-000047,-0.454956693349
ACH-000052,-0.261847402211
ACH-000053,-0.255888944678
ACH-000054,-0.44239096059699995
ACH-000055,-0.317038381067
ACH-000060,-0.555352325592
ACH-000067,-0.49449337496600004
ACH-000070,-0.240039987901
ACH-000075,-0.157807682321
ACH-000078,-0.46161402728100004
ACH-000082,-0.563482178853
ACH-000085,-0.37412563986599995
ACH-000086,-0.43467972410800004
ACH-000087,-0.23661539875799997
ACH-000092,-0.401197822283
ACH-000095,-0.023303656998299997
ACH-000097,-0.61225104761
ACH-000098,-0.323589293634
ACH-000099,-0.219842331595
ACH-000108,-0.245691561626
ACH-000113,-0.480599431996
ACH-000115,-0.322998979098
ACH-000116,-0.33874801076600003
ACH-000118,-0.407324168706
ACH-000120,-0.543008358346
ACH-000123,-0.415240811183
ACH-000127,-0.420610464148
ACH-000128,-0.219440198115
ACH-000132,-0.418717431744
ACH-000133,-0.43024134910499995
ACH-000137,-0.5532332726820001
ACH-000138,-0.303622459568
ACH-000142,-0.34638741348499996
ACH-000143,-0.43885894116499996
ACH-000146,-0.317175730268
ACH-000148,-0.457258014908
ACH-000150,-0.43863011183399997
ACH-000152,-0.392520142947
ACH-000153,-0.57371317177
ACH-000159,-0.22934277456
ACH-000160,-0.432778882051
ACH-000163,-0.32911528013700003
ACH-000167,-0.696852587412
ACH-000168,-0.475806886402
ACH-000169,-0.136211387841
ACH-000178,-0.26044746331
ACH-000182,-0.351103921322
ACH-000183,-0.38877816588299996
ACH-000188,-0.585020337532
ACH-000189,-0.588174066906
ACH-000190,-0.576757707946
ACH-000198,-0.065615461139
ACH-000204,-0.48241510784999997
ACH-000206,-0.634200735048
ACH-000207,-0.153547628299
ACH-000211,-0.574239082595
ACH-000215,-0.484231947745
ACH-000221,-0.33816732779299996
ACH-000222,-0.308302506759
ACH-000223,-0.49789789466300005
ACH-000226,-0.325559020543
ACH-000227,-0.557441457077
ACH-000228,-0.241422665327
ACH-000231,-0.301259888288
ACH-000232,-0.24421894657200002
ACH-000233,-0.47782503508900004
ACH-000234,-0.102184066095
ACH-000235,-0.231566849967
ACH-000237,-0.40849998008599997
ACH-000238,-0.307448441647
ACH-000243,-0.45421642779
ACH-000244,-0.582321961264
ACH-000246,-0.36464179163099997
ACH-000248,-0.579223051716
ACH-000250,-0.439032084217
ACH-000251,-0.7509236839319999
ACH-000253,-0.249676004065
ACH-000255,-0.321026255508
ACH-000256,-0.36656150703100004
ACH-000257,-0.347415032422
ACH-000258,-0.362730602661
ACH-000259,-0.199174843559
ACH-000260,-0.295777020171
ACH-000261,-0.38770776744499996
ACH-000262,-0.736815910051
ACH-000263,-0.150566385425
ACH-000264,-0.403668188952
ACH-000265,-0.728206591188
ACH-000266,-0.175294242377
ACH-000272,-0.14795304056
ACH-000273,-0.0886189831992
ACH-000274,-0.295562145565
ACH-000277,-0.41303463837
ACH-000278,-0.501845661264
ACH-000279,-0.341465290088
ACH-000280,-0.407851944138
ACH-000281,-0.0301932183599
ACH-000288,-0.283763672717
ACH-000291,-0.482300540561
ACH-000293,-0.290356563377
ACH-000294,-0.605291441101
ACH-000295,-0.110341657855
ACH-000296,-0.5055869906600001
ACH-000302,-0.06532403721959999
ACH-000304,-0.42207701564499994
ACH-000307,-0.28830232978799997
ACH-000308,-0.35953789467200004
ACH-000310,-0.251833350821
ACH-000311,-0.282228829826
ACH-000312,-0.147934955052
ACH-000315,0.0541306582126
ACH-000316,-0.189511004511
ACH-000317,-0.298738453819
ACH-000318,-0.5345837749369999
ACH-000319,-0.537245637218
ACH-000320,0.171640109908
ACH-000322,-0.43752712702
ACH-000323,-0.26554713292599996
ACH-000324,-0.36244307476099996
ACH-000329,-0.476856530083
ACH-000330,-0.211172587982
ACH-000331,-0.464849936381
ACH-000332,-0.34172683780199997
ACH-000334,-0.112871197418
ACH-000335,-0.28164719390299997
ACH-000336,-0.529598955809
ACH-000337,-0.590349633436
ACH-000339,-0.370304821379
ACH-000341,-0.307357392922
ACH-000348,-0.338822396782
