,RBFA (79863)
ACH-000004,-0.31738481034899996
ACH-000007,-0.318397035255
ACH-000009,-0.31787594016
ACH-000011,-0.20985069433200002
ACH-000012,-0.282923207049
ACH-000013,-0.38333445093699997
ACH-000014,-0.227583182045
ACH-000015,-0.378652362917
ACH-000017,-0.322493309694
ACH-000018,-0.537511293415
ACH-000019,-0.541358108508
ACH-000021,-0.20449383576400001
ACH-000022,-0.28164278746
ACH-000025,-0.45328404988300003
ACH-000028,-0.38498176842200005
ACH-000030,-0.242803638256
ACH-000035,-0.526771378429
ACH-000036,-0.211399181274
ACH-000037,-0.33898968901999993
ACH-000039,-0.43277355688600005
ACH-000040,-0.33842058270400005
ACH-000041,-0.113708833468
ACH-000042,-0.221088386003
ACH-000045,-0.110829102489
ACH-000047,-0.453837754415
ACH-000052,-0.160009971172
ACH-000053,-0.132610664659
ACH-000054,-0.154563740153
ACH-000055,-0.308991045066
ACH-000060,-0.40431209478
ACH-000067,-0.142544383613
ACH-000070,-0.280662250904
ACH-000075,-0.217127724831
ACH-000078,-0.260937675726
ACH-000082,-0.233529799987
ACH-000085,-0.12464427126800001
ACH-000086,-0.264948785262
ACH-000087,-0.221551188044
ACH-000092,-0.309443182773
ACH-000095,-0.24409251598099999
ACH-000097,-0.07526329824969999
ACH-000098,-0.22795092474
ACH-000099,-0.170202289424
ACH-000108,-0.181986971382
ACH-000113,-0.148260058338
ACH-000115,-0.394945703081
ACH-000116,-0.150575198887
ACH-000118,-0.184613888685
ACH-000120,-0.168819333959
ACH-000123,-0.28896042865800003
ACH-000127,-0.31381867560800003
ACH-000128,-0.16542623250299998
ACH-000132,-0.438493323109
ACH-000133,-0.12003512281999999
ACH-000137,-0.0427519286588
ACH-000138,-0.20808418958500002
ACH-000142,-0.301594177792
ACH-000143,-0.499195820009
ACH-000146,-0.26473316205499997
ACH-000148,-0.33126610408
ACH-000150,-0.501757997914
ACH-000152,-0.119305496006
ACH-000153,-0.151709791245
ACH-000159,-0.198507507799
ACH-000160,-0.502289232722
ACH-000163,-0.19219444503199998
ACH-000167,-0.22847597059500002
ACH-000168,-0.453898477791
ACH-000169,-0.326943852927
ACH-000178,-0.203864738125
ACH-000182,-0.49009339035
ACH-000183,-0.265459006939
ACH-000188,-0.207012037922
ACH-000189,-0.330420885283
ACH-000190,-0.650267815354
ACH-000198,-0.296538757973
ACH-000204,-0.369391181189
ACH-000206,-0.449768868589
ACH-000207,-0.47383206024400004
ACH-000211,-0.22469514945799998
ACH-000215,-0.278819774273
ACH-000221,-0.49704779389200004
ACH-000222,0.029380547582799996
ACH-000223,-0.612260761406
ACH-000226,-0.09428367176210001
ACH-000227,-0.417462430337
ACH-000228,-0.306233062966
ACH-000231,-0.15402202033600002
ACH-000232,-0.585269078817
ACH-000233,-0.22846720873100002
ACH-000234,-0.331083381402
ACH-000235,-0.162090722227
ACH-000237,-0.173352374747
ACH-000238,-0.35010369353200005
ACH-000243,-0.135649382076
ACH-000244,-0.3742846575
ACH-000246,-0.405549141078
ACH-000248,-0.203675750262
ACH-000250,-0.190613903887
ACH-000251,-0.353509122748
ACH-000253,-0.20785472523600002
ACH-000255,-0.156627103212
ACH-000256,-0.313937510965
ACH-000257,-0.345966661929
ACH-000258,-0.280228220664
ACH-000259,-0.205837239388
ACH-000260,-0.117233901297
ACH-000261,-0.205493139967
ACH-000262,-0.06244356218330001
ACH-000263,-0.37729546306999995
ACH-000264,-0.266709446567
ACH-000265,-0.29549769154100003
ACH-000266,-0.176130605719
ACH-000272,-0.176945176689
ACH-000273,-0.33704585917400004
ACH-000274,-0.314215984934
ACH-000277,-0.308677218982
ACH-000278,-0.134895650308
ACH-000279,-0.165809511677
ACH-000280,-0.290504442704
ACH-000281,-0.419878995972
ACH-000288,-0.16769366596
ACH-000291,-0.34586029817100006
ACH-000293,-0.346441984518
ACH-000294,-0.150465743106
ACH-000295,-0.386689308116
ACH-000296,-0.181607954188
ACH-000302,-0.356613512324
ACH-000304,-0.557996925575
ACH-000307,-0.397066504217
ACH-000308,-0.468419593938
ACH-000310,-0.293680301896
ACH-000311,-0.163001187512
ACH-000312,-0.501286867752
ACH-000315,0.161722888417
ACH-000316,-0.12323974833799999
ACH-000317,-0.324039990094
ACH-000318,-0.212033531966
ACH-000319,-0.258002964661
ACH-000320,0.09753216343689998
ACH-000322,-0.454207653685
