,APCS (325)
ACH-000004,-0.277407244582
ACH-000007,-0.33055450348000004
ACH-000009,-0.33666427854599995
ACH-000011,0.0371536332549
ACH-000012,-0.158782715635
ACH-000013,-0.121552532818
ACH-000014,-0.0489073840335
ACH-000015,-0.114780665106
ACH-000017,-0.0807314754679
ACH-000018,-0.32145605636
ACH-000019,-0.245235187192
ACH-000021,-0.180131543114
ACH-000022,-0.350989420065
ACH-000025,-0.167239386991
ACH-000028,-0.10478815003900001
ACH-000030,-0.209420394046
ACH-000035,-0.233139919479
ACH-000036,-0.254058523418
ACH-000037,-0.0792119115996
ACH-000039,-0.336772441981
ACH-000040,-0.21664865757500001
ACH-000041,-0.273389549159
ACH-000042,-0.225282008677
ACH-000045,-0.128269399558
ACH-000047,-0.27205571151700003
ACH-000052,-0.300784143348
ACH-000053,-0.210193740747
ACH-000054,-0.19459018889600002
ACH-000055,-0.049995243417499995
ACH-000060,-0.156423573329
ACH-000067,-0.166973183044
ACH-000070,-0.072304165518
ACH-000075,-0.32570296787700004
ACH-000078,-0.234184927063
ACH-000082,-0.17107472425099998
ACH-000085,-0.136630162149
ACH-000086,-0.25552007853
ACH-000087,0.0552513203658
ACH-000092,-0.340225212028
ACH-000095,-0.220556550268
ACH-000097,-0.103352714707
ACH-000098,-0.145564300293
ACH-000099,-0.158824929901
ACH-000108,-0.17600659822999998
ACH-000113,-0.229470168512
ACH-000115,-0.0064035732417899996
ACH-000116,-0.17660420617
ACH-000118,-0.137194625379
ACH-000120,-0.220652860851
ACH-000123,-0.260136943062
ACH-000127,-0.208359830302
ACH-000128,0.0209086687778
ACH-000132,-0.20489844827999998
ACH-000133,-0.193387351132
ACH-000137,-0.279249345862
ACH-000138,-0.116114169388
ACH-000142,0.11337012104699999
ACH-000143,-0.231781119545
ACH-000146,-0.200478426961
ACH-000148,-0.273729511792
ACH-000150,0.0531858858127
ACH-000152,-0.127035402287
ACH-000153,-0.100155507073
ACH-000159,-0.191721025506
ACH-000160,-0.05767288351369999
ACH-000163,-0.0729767436235
ACH-000167,-0.0723137367648
ACH-000168,-0.08558143303369999
ACH-000169,0.0266140912286
ACH-000178,-0.176782884625
ACH-000182,-0.179920417343
ACH-000183,-0.0598698438478
ACH-000188,-0.0489155726148
ACH-000189,-0.0225275867362
ACH-000190,-0.17742573693
ACH-000198,-0.19812484622499998
ACH-000204,-0.42204354498499996
ACH-000206,-0.0617972902078
ACH-000207,0.141854129914
ACH-000211,-0.25016345924600003
ACH-000215,-0.18782416742600003
ACH-000221,-0.048659654228400004
ACH-000222,-0.132964219776
ACH-000223,-0.318790931112
ACH-000226,-0.298331258708
